name,price,product_url,image_url,category,subcategory,brand,size,canonical_brand
Size 6 Nappies 16-25kg 40 Pack,$11.49,https://www.aldi.com.au/products/mamia-size-6-nappies-16-25kg-40-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/e81beaf9-b366-4d8e-81d5-e328eb8ae5fd/mamia-size-6-nappies-16-25kg-40-pack,Baby,Baby Nappies & Wipes,MAMIA,40,MAMIA
Size 1 Nappies Newborn Up to 5kg 28 Pack,$4.89,https://www.aldi.com.au/products/mamia-size-1-nappies-newborn-up-to-5kg-28-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/29fa5b69-5c3b-4ee5-91ac-b60c6f7aa76b/mamia-size-1-nappies-newborn-up-to-5kg-28-pack,Baby,Baby Nappies & Wipes,MAMIA,28,MAMIA
Size 2 Nappies 4-8kg 56 Pack,$11.49,https://www.aldi.com.au/products/mamia-size-2-nappies-4-8kg-56-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/0f316b6f-4d6c-4c37-a191-f73d1587f539/mamia-size-2-nappies-4-8kg-56-pack,Baby,Baby Nappies & Wipes,MAMIA,56,MAMIA
Size 3 Nappies 6-11kg 56 Pack,$11.49,https://www.aldi.com.au/products/mamia-size-3-nappies-6-11kg-56-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/d1919deb-505f-443e-8ba6-10187482bcd9/mamia-size-3-nappies-6-11kg-56-pack,Baby,Baby Nappies & Wipes,MAMIA,56,MAMIA
Size 5 Nappies 13-18kg 44 Pack,$11.49,https://www.aldi.com.au/products/mamia-size-5-nappies-13-18kg-44-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/04b59b5c-99c4-45fb-bea6-f646a31c6044/mamia-size-5-nappies-13-18kg-44-pack,Baby,Baby Nappies & Wipes,MAMIA,44,MAMIA
Size 4 Nappies 10-15kg 50 Pack,$11.49,https://www.aldi.com.au/products/mamia-size-4-nappies-10-15kg-50-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/429ec92f-9a1c-47ca-9d8d-deed73e5d0b6/mamia-size-4-nappies-10-15kg-50-pack,Baby,Baby Nappies & Wipes,MAMIA,50,MAMIA
Creamy Porridge 6+ Months Baby Food 120g,$0.95,https://www.aldi.com.au/products/mamia-creamy-porridge-6-months-baby-food-120g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/47d9ded5-2d87-4514-92c5-ea2e1d0d9717/mamia-creamy-porridge-6-months-baby-food-120g,Baby,Baby Food,MAMIA,120g,MAMIA
Apple & Oatmeal 6+ Months Baby Food 120g,$0.95,https://www.aldi.com.au/products/mamia-apple-oatmeal-6-months-baby-food-120g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/65d480c9-45b9-431b-8cab-45005ab2b718/mamia-apple-oatmeal-6-months-baby-food-120g,Baby,Baby Food,MAMIA,120g,MAMIA
Chocolate Custard 6+ Months Baby Food 120g,$0.95,https://www.aldi.com.au/products/mamia-chocolate-custard-6-months-baby-food-120g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/924c7f18-6653-4f3c-829b-e1e4e5a4de49/mamia-chocolate-custard-6-months-baby-food-120g,Baby,Baby Food,MAMIA,120g,MAMIA
Vanilla Custard 6+ Months Baby Food 120g,$0.95,https://www.aldi.com.au/products/mamia-vanilla-custard-6-months-baby-food-120g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/7556304f-8a31-4f37-9aac-f1f4c6d4a4cf/mamia-vanilla-custard-6-months-baby-food-120g,Baby,Baby Food,MAMIA,120g,MAMIA
