name,price,product_url,image_url,category,subcategory,brand,size,canonical_brand
Chocolate Chip Brioche Milk Rolls 8 Pack 280g,$4.99,https://www.aldi.com.au/products/bon-appetit-chocolate-chip-brioche-milk-rolls-8-pack-280g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/f2efa456-39e2-4bc9-93c5-5ff8030239f2/bon-appetit-chocolate-chip-brioche-milk-rolls-8-pack-280g,Bakery,Speciality Breads & Rolls,BON APPETIT,280g,BON APPETIT
Pains Au Chocolat 6 Pack 270g,$4.69,https://www.aldi.com.au/products/bon-appetit-pains-au-chocolat-6-pack-270g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/2f8b1aaa-0a6c-46a1-86f2-c48eb5ff9eec/bon-appetit-pains-au-chocolat-6-pack-270g,Bakery,"Muffins, Cakes & Other",BON APPETIT,270g,BON APPETIT
Brioche Hot Dog Rolls 6 Pack 270g,$3.79,https://www.aldi.com.au/products/bon-appetit-brioche-hot-dog-rolls-6-pack-270g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/dd493802-3633-476e-adbd-0486bf223b35/bon-appetit-brioche-hot-dog-rolls-6-pack-270g,Bakery,Speciality Breads & Rolls,BON APPETIT,6,BON APPETIT
Sliced Brioche Burger Buns 4 Pack 200g,$3.59,https://www.aldi.com.au/products/bon-appetit-sliced-brioche-burger-buns-4-pack-200g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/38f42d65-60d8-4f09-a76e-7b1f2fced526/bon-appetit-sliced-brioche-burger-buns-4-pack-200g,Bakery,Speciality Breads & Rolls,BON APPETIT,4,BON APPETIT
Sliced Brioche Burger Buns with Sesame Seeds 4 Pack 200g,$3.59,https://www.aldi.com.au/products/bon-appetit-sliced-brioche-burger-buns-with-sesame-seeds-4-pack-200g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/a1a9a130-f953-4f0b-8b91-237a4f1fb0a6/bon-appetit-sliced-brioche-burger-buns-with-sesame-seeds-4-pack-200g,Bakery,Speciality Breads & Rolls,BON APPETIT,4,BON APPETIT
Belgian Waffles 4 Pack 360g,$5.69,https://www.aldi.com.au/products/bakers-life-belgian-waffles-4-pack-360g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/b095c2c9-8ee3-486e-adca-b36d3cef5bc6/bakers-life-belgian-waffles-4-pack-360g,Bakery,"Muffins, Cakes & Other",BAKERS LIFE,360g,BAKERS LIFE
White Sandwich Sliced Bread 650g,$2.29,https://www.aldi.com.au/products/bakers-life-white-sandwich-sliced-bread-650g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/a2373bab-eb58-4075-9464-68c4d3d0d12d/bakers-life-white-sandwich-sliced-bread-650g,Bakery,Sliced Breads,BAKERS LIFE,650g,BAKERS LIFE
White Toast Sliced Bread 650g,$2.59,https://www.aldi.com.au/products/bakers-life-white-toast-sliced-bread-650g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/c0facebd-dccd-419f-a5e4-75523e7d3bc9/bakers-life-white-toast-sliced-bread-650g,Bakery,Sliced Breads,BAKERS LIFE,650g,BAKERS LIFE
Wholemeal Sandwich Sliced Bread 650g,$2.59,https://www.aldi.com.au/products/bakers-life-wholemeal-sandwich-sliced-bread-650g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/706c9685-3e4f-4516-a106-28c522328b91/bakers-life-wholemeal-sandwich-sliced-bread-650g,Bakery,Sliced Breads,BAKERS LIFE,650g,BAKERS LIFE
Multigrain Sandwich Sliced Bread 650g,$2.59,https://www.aldi.com.au/products/bakers-life-multigrain-sandwich-sliced-bread-650g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/6e884152-d03e-4b6f-b4ad-4f728d73d8de/bakers-life-multigrain-sandwich-sliced-bread-650g,Bakery,Sliced Breads,BAKERS LIFE,650g,BAKERS LIFE
