name,price,product_url,image_url,category,subcategory,brand,size,canonical_brand
Slider Bags 25 Pack,$2.59,https://www.aldi.com.au/products/goliath-slider-bags-25-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/19afad1c-2de3-4f2d-b10f-25c8b11f493a/goliath-slider-bags-25-pack,Cleaning & Household,Kitchen,GOLIATH,25,GOLIATH
C-Baby Core Batteries,$6.49,https://www.aldi.com.au/products/activ-energy-c-baby-core-batteries,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/c8a10c53-ac11-49b4-91f3-bcdab2eb5e60/activ-energy-c-baby-core-batteries,Cleaning & Household,Home Essentials,ACTIV ENERGY,4,ACTIV ENERGY
D Batteries 4 Pack,$5.99,https://www.aldi.com.au/products/activ-energy-d-batteries-4-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/b029d317-b189-4248-b248-9eaea82f55ba/activ-energy-d-batteries-4-pack,Cleaning & Household,Home Essentials,ACTIV ENERGY,4,ACTIV ENERGY
AA Batteries 10 Pack,$5.49,https://www.aldi.com.au/products/activ-energy-aa-batteries-10-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/bedf9a9d-0b08-41fc-8599-1ecc05391ec9/activ-energy-aa-batteries-10-pack,Cleaning & Household,Home Essentials,ACTIV ENERGY,10,ACTIV ENERGY
9V Batteries 4 Pack,$7.99,https://www.aldi.com.au/products/activ-energy-9v-batteries-4-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/904b114a-28ec-4845-adb4-dd1de4b5b5b1/activ-energy-9v-batteries-4-pack,Cleaning & Household,Home Essentials,ACTIV ENERGY,4,ACTIV ENERGY
AAA Batteries 14 Pack,$6.99,https://www.aldi.com.au/products/activ-energy-aaa-batteries-14-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/d5b68d4d-918d-4eef-a209-10aeabfd2a0c/activ-energy-aaa-batteries-14-pack,Cleaning & Household,Home Essentials,ACTIV ENERGY,14,ACTIV ENERGY
Flying Insect Spray Fast Knockdown 300g,$2.79,https://www.aldi.com.au/products/atlas-kill-protect-flying-insect-spray-fast-knockdown-300g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/5540544c-69c2-4f9c-ba4b-8db394671f88/atlas-kill-protect-flying-insect-spray-fast-knockdown-300g,Cleaning & Household,Pest Control,ATLAS KILL & PROTECT,300g,ATLAS KILL & PROTECT
High Performance Crawling Insect Spray 350g,$3.29,https://www.aldi.com.au/products/atlas-kill-protect-high-performance-crawling-insect-spray-350g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/73ebd1fe-b6a2-4029-a356-eebc2bcec1f4/atlas-kill-protect-high-performance-crawling-insect-spray-350g,Cleaning & Household,Pest Control,ATLAS KILL & PROTECT,350g,ATLAS KILL & PROTECT
Automatic Dishwashing Powder 1kg,$3.69,https://www.aldi.com.au/products/logix-automatic-dishwashing-powder-1kg,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/b6dfc46e-3081-428b-9fc8-bf8697a8a0d1/logix-automatic-dishwashing-powder-1kg,Cleaning & Household,Kitchen,LOGIX,1000g,LOGIX
Disposable Gloves 25 Pack,$2.89,https://www.aldi.com.au/products/power-force-disposable-gloves-25-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/0fca3542-456b-4ed5-ae79-449ac84bd8bf/power-force-disposable-gloves-25-pack,Cleaning & Household,Cleaning,POWER FORCE,25,POWER FORCE
Rapid Kill Multi Insect Spray 350g,$3.79,https://www.aldi.com.au/products/atlas-rapid-kill-multi-insect-spray-350g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/9f2ea97e-4190-4f92-a73e-9cb40ef8f413/atlas-rapid-kill-multi-insect-spray-350g,Cleaning & Household,Pest Control,ATLAS,350g,ATLAS
Mesh Sponge Scourer Non Scratch 5 Pack,$2.49,https://www.aldi.com.au/products/power-force-mesh-sponge-scourer-non-scratch-5-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/f32e8d84-e7e1-4eac-9511-07515fe1ef9f/power-force-mesh-sponge-scourer-non-scratch-5-pack,Cleaning & Household,Cleaning,POWER FORCE,5,POWER FORCE
Thick Sponges 4 Pack,$3.69,https://www.aldi.com.au/products/power-force-thick-sponges-4-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/ed17c349-1e93-460d-9368-ca11ca31e96b/power-force-thick-sponges-4-pack,Cleaning & Household,Cleaning,POWER FORCE,4,POWER FORCE
Baking Paper Roll 20m,$3.39,https://www.aldi.com.au/products/goliath-baking-paper-roll-20m,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/94a14904-010a-4a88-923c-fd3621468109/goliath-baking-paper-roll-20m,Cleaning & Household,Kitchen,GOLIATH,20m,GOLIATH
Disinfectant Wipes 120 Pack,$4.29,https://www.aldi.com.au/products/power-force-pro-disinfectant-wipes-120-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/a32611e6-f83a-4e93-a2c3-0b34dfd92570/power-force-pro-disinfectant-wipes-120-pack,Cleaning & Household,Cleaning,POWER FORCE PRO,120,POWER FORCE PRO
Mould Away 500ml,$2.79,https://www.aldi.com.au/products/power-force-mould-away-500ml,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/36d15c47-46f1-4e1d-9d25-3fb92ac8e7ce/power-force-mould-away-500ml,Cleaning & Household,Cleaning,POWER FORCE,500ml,POWER FORCE
Aloe Vera Tissues 80 Pack,$2.19,https://www.aldi.com.au/products/kleenex-aloe-vera-tissues-80-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/e1e57bf8-409c-47f1-b387-354bde6a933c/kleenex-aloe-vera-tissues-80-pack,Cleaning & Household,"Toilet Paper, Tissues & Paper Towels",KLEENEX,80 sheets,Kleenex
Ultra Paper Towel 3 Pack,$4.99,https://www.aldi.com.au/products/handee-ultra-paper-towel-3-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/06ad0c2d-103e-42d6-9aab-ef62a35e66c9/handee-ultra-paper-towel-3-pack,Cleaning & Household,"Toilet Paper, Tissues & Paper Towels",HANDEE,180 sheets,Handee
Toilet Tissue 18 Pack,$8.49,https://www.aldi.com.au/products/kleenex-toilet-tissue-18-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/aad26236-d910-439c-b47c-5bbbf57ede4e/kleenex-toilet-tissue-18-pack,Cleaning & Household,"Toilet Paper, Tissues & Paper Towels",KLEENEX,3060 sheets,Kleenex
Eucalyptus Oil 200ml,$12.99,https://www.aldi.com.au/products/essential-health-eucalyptus-oil-200ml,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/19c76969-85bd-46f4-a685-e20e8507ddd9/essential-health-eucalyptus-oil-200ml,Cleaning & Household,Cleaning,ESSENTIAL HEALTH,200ml,ESSENTIAL HEALTH
Paper Towels 3ply 3 Pack,$2.99,https://www.aldi.com.au/products/confidence-paper-towels-3ply-3-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/07d18022-05e2-4001-baab-b1ad4e18ee24/confidence-paper-towels-3ply-3-pack,Cleaning & Household,"Toilet Paper, Tissues & Paper Towels",CONFIDENCE,180 sheets,CONFIDENCE
Toilet Tissue 3 Ply 24 Pack,$9.39,https://www.aldi.com.au/products/confidence-toilet-tissue-3-ply-24-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/4bf689a6-9c8f-45db-878d-063f3cd04fd1/confidence-toilet-tissue-3-ply-24-pack,Cleaning & Household,"Toilet Paper, Tissues & Paper Towels",CONFIDENCE,4320 sheets,CONFIDENCE
Toilet Tissue Double Length 3 Ply 8 Pack,$7.39,https://www.aldi.com.au/products/confidence-toilet-tissue-double-length-3-ply-8-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/13a4f8d7-7eef-4b18-b6ea-2146f77a0af0/confidence-toilet-tissue-double-length-3-ply-8-pack,Cleaning & Household,"Toilet Paper, Tissues & Paper Towels",CONFIDENCE,2880 sheets,CONFIDENCE
Toilet Tissue Double Length 3 Ply 4 Pack,$3.79,https://www.aldi.com.au/products/confidence-toilet-tissue-double-length-3-ply-4-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/a49637a6-8c4f-4440-b83c-820397d02e9c/confidence-toilet-tissue-double-length-3-ply-4-pack,Cleaning & Household,"Toilet Paper, Tissues & Paper Towels",CONFIDENCE,1440 sheets,CONFIDENCE
Toilet Tissue Hypoallergenic 8 Pack,$4.99,https://www.aldi.com.au/products/confidence-toilet-tissue-hypoallergenic-8-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/08308b83-3cbf-45f1-8394-f2df95916841/confidence-toilet-tissue-hypoallergenic-8-pack,Cleaning & Household,"Toilet Paper, Tissues & Paper Towels",CONFIDENCE,1120 sheets,CONFIDENCE
Napkins 1 Ply 200 Pack,$1.89,https://www.aldi.com.au/products/confidence-napkins-1-ply-200-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/67f9abc2-5e7f-4d0d-92d6-568be314f12f/confidence-napkins-1-ply-200-pack,Cleaning & Household,"Toilet Paper, Tissues & Paper Towels",CONFIDENCE,200 sheets,CONFIDENCE
