name,price,product_url,image_url,category,subcategory,brand,size,canonical_brand
Spanish Stuffed Green Olives 450g,$2.99,https://www.aldi.com.au/products/deli-originals-spanish-stuffed-green-olives-450g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/8675cc3e-0c24-4d63-9355-0f43b0d10c02/deli-originals-spanish-stuffed-green-olives-450g,Deli & Chilled Meats,Antipasto,DELI ORIGINALS,0.45kg,DELI ORIGINALS
Salmon Gravlax 250g,$9.99,https://www.aldi.com.au/products/the-fishmonger-salmon-gravlax-250g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/71875ec5-6848-4658-a850-f43f7d3038f8/the-fishmonger-salmon-gravlax-250g,Deli & Chilled Meats,Deli Meats,THE FISHMONGER,0.25kg,THE FISHMONGER
Smoked Salmon 500g,$19.99,https://www.aldi.com.au/products/the-fishmonger-smoked-salmon-500g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/c0616e60-14c2-4edf-bee0-64de9600352f/the-fishmonger-smoked-salmon-500g,Deli & Chilled Meats,Deli Meats,THE FISHMONGER,0.5kg,THE FISHMONGER
Green Sliced Jalapenos 480g,$2.79,https://www.aldi.com.au/products/deli-originals-green-sliced-jalapenos-480g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/34fe7a00-df7e-4675-88cb-6ae6e6639c85/deli-originals-green-sliced-jalapenos-480g,Deli & Chilled Meats,Antipasto,DELI ORIGINALS,0.48kg,DELI ORIGINALS
Firm Tofu 450g,$2.59,https://www.aldi.com.au/products/earth-grown-firm-tofu-450g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/4cf5e967-8b1d-4631-8d3e-73f1791be637/earth-grown-firm-tofu-450g,Deli & Chilled Meats,Vegetarian & Vegan,EARTH GROWN,450g,EARTH GROWN
Pepperoni Salami 200g,$5.99,https://www.aldi.com.au/products/berg-pepperoni-salami-200g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/f21fce15-e9a8-4e10-b9aa-910b7dac35c7/berg-pepperoni-salami-200g,Deli & Chilled Meats,Deli Meats,BERG,0.2kg,Berg
Multipack Hommus Dip 3 Pack 65g,$2.49,https://www.aldi.com.au/products/deli-originals-fresh-multipack-hommus-dip-3-pack-65g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/d986a8c1-3246-49de-bcab-8a25177ae1fa/deli-originals-fresh-multipack-hommus-dip-3-pack-65g,Deli & Chilled Meats,Dips & Spreads,DELI ORIGINALS FRESH,195g,DELI ORIGINALS FRESH
Australian Leg Ham Off The Bone 175g,$5.49,https://www.aldi.com.au/products/berg-australian-leg-ham-off-the-bone-175g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/05c218cd-9ce4-4ce7-801d-492a2ad74c0b/berg-australian-leg-ham-off-the-bone-175g,Deli & Chilled Meats,Deli Meats,BERG,0.175kg,Berg
Australian Leg Ham Off The Bone Shaved 150g,$4.99,https://www.aldi.com.au/products/berg-australian-leg-ham-off-the-bone-shaved-150g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/939b813e-e5a2-4ab0-b702-0cf1723fe099/berg-australian-leg-ham-off-the-bone-shaved-150g,Deli & Chilled Meats,Deli Meats,BERG,0.15kg,Berg
Specially Selected Quince Paste 100g,$2.89,https://www.aldi.com.au/products/specially-selected-specially-selected-quince-paste-100g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/09d9ece8-983e-4aea-824f-0fa89a96adf6/specially-selected-specially-selected-quince-paste-100g,Deli & Chilled Meats,Antipasto,SPECIALLY SELECTED,100g,SPECIALLY SELECTED
Cabanossi 300g,$4.49,https://www.aldi.com.au/products/berg-cabanossi-300g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/654671f4-d3cd-4bc2-b5cc-27ae1c49dc9a/berg-cabanossi-300g,Deli & Chilled Meats,Deli Meats,BERG,0.3kg,Berg
