name,price,product_url,image_url,category,subcategory,brand,size,canonical_brand
Decaffeinated Instant Coffee 100g,$4.99,https://www.aldi.com.au/products/alcafe-gold-decaffeinated-instant-coffee-100g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/cacd7437-968e-4fb9-bd0b-acda837aedb2/alcafe-gold-decaffeinated-instant-coffee-100g,Drinks,"Tea, Coffee & Hot Chocolate",ALCAFE GOLD,100g,ALCAFE GOLD
Italian Mineral Water 1.5L,$2.19,https://www.aldi.com.au/products/san-benedetto-italian-mineral-water-1-5l,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/62c87fa6-be70-4584-9516-ade28babd4e0/san-benedetto-italian-mineral-water-1-5l,Drinks,Water,SAN BENEDETTO,1.5l,SAN BENEDETTO
Coke Coca Cola Soft Drink 600ml,$3.99,https://www.aldi.com.au/products/coca-cola-coke-coca-cola-soft-drink-600ml,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/aa57968d-26c3-44dd-8dfa-752d343337f9/coca-cola-coke-coca-cola-soft-drink-600ml,Drinks,Soft Drinks,COCA-COLA,0.6l,Coca-Cola 
No Sugar Cola Soft Drink 600ml,$3.99,https://www.aldi.com.au/products/pepsi-max-no-sugar-cola-soft-drink-600ml,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/6aa3b8bb-1a6c-4f57-98ff-85ef879f5ad3/pepsi-max-no-sugar-cola-soft-drink-600ml,Drinks,Soft Drinks,PEPSI MAX,0.6l,Pepsi Max
Apple And Mango Juice 2L,$2.59,https://www.aldi.com.au/products/westcliff-apple-and-mango-juice-2l,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/d0b1c842-f2a7-4f6e-88f5-88161f7daef9/westcliff-apple-and-mango-juice-2l,Drinks,Juices & Cordials,WESTCLIFF,2l,WESTCLIFF
Apple Juice 2L,$2.59,https://www.aldi.com.au/products/westcliff-apple-juice-2l,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/5139fad6-246b-4b25-9776-0f1447a023fb/westcliff-apple-juice-2l,Drinks,Juices & Cordials,WESTCLIFF,2l,WESTCLIFF
Apple And Blackcurrant Juice 2L,$2.59,https://www.aldi.com.au/products/westcliff-apple-and-blackcurrant-juice-2l,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/e08435f0-2e60-4cf2-bc1c-cd401ad4fc32/westcliff-apple-and-blackcurrant-juice-2l,Drinks,Juices & Cordials,WESTCLIFF,2l,WESTCLIFF
Apple Raspberry Cordial 1L,$2.29,https://www.aldi.com.au/products/westcliff-apple-raspberry-cordial-1l,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/21e0ba2f-9879-4906-aa5e-65b7eb65029e/westcliff-apple-raspberry-cordial-1l,Drinks,Juices & Cordials,WESTCLIFF,1l,WESTCLIFF
Natural Australian Still Spring Water 1.5L,$0.75,https://www.aldi.com.au/products/northbrook-natural-australian-still-spring-water-1-5l,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/dfdfe1a2-bfb3-4053-a003-04f9cf631096/northbrook-natural-australian-still-spring-water-1-5l,Drinks,Water,NORTHBROOK,1.5l,NORTHBROOK
Cola 99.99% Sugar Free 1.25L,$1.09,https://www.aldi.com.au/products/regal-cola-99-99-sugar-free-1-25l,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/92812c7a-3649-4d2c-a33b-150a62541fd8/regal-cola-99-99-sugar-free-1-25l,Drinks,Soft Drinks,REGAL,1.25l,Regal
Lemonade 1.25L,$1.09,https://www.aldi.com.au/products/fizzi-lemonade-1-25l,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/14453a1f-747a-429f-ac5e-ee7f2204b118/fizzi-lemonade-1-25l,Drinks,Soft Drinks,FIZZI,1.25l,FIZZI
Lemon Soft Drink 1.25L,$1.09,https://www.aldi.com.au/products/jump-lemon-soft-drink-1-25l,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/e8a6ad33-931b-46c3-8271-3e9f4a94a3df/jump-lemon-soft-drink-1-25l,Drinks,Soft Drinks,JUMP,1.25l,JUMP
Orange Soft Drink 1.25L,$1.09,https://www.aldi.com.au/products/sunlit-orange-soft-drink-1-25l,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/8da14607-1cd0-439e-a178-a9df93b18a1b/sunlit-orange-soft-drink-1-25l,Drinks,Soft Drinks,SUNLIT,1.25l,SUNLIT
Sparkling Natural Mineral Water 1.25 Litre,$1.09,https://www.aldi.com.au/products/northbrook-sparkling-natural-mineral-water-1-25-litre,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/2cf1e884-7d20-480f-a7c0-3519f08a326b/northbrook-sparkling-natural-mineral-water-1-25-litre,Drinks,Water,NORTHBROOK,1.25l,NORTHBROOK
Soda Water 1.25L,$1.09,https://www.aldi.com.au/products/regal-soda-water-1-25l,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/afe4ca54-ac9e-4d28-b11b-2cf5f578b3fc/regal-soda-water-1-25l,Drinks,Soft Drinks,REGAL,1.25l,Regal
Cola 1.25L,$1.09,https://www.aldi.com.au/products/regal-cola-1-25l,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/dc45215c-accc-4aa2-8851-23ddf45b0413/regal-cola-1-25l,Drinks,Soft Drinks,REGAL,1.25l,Regal
Coke Coca Cola 1.5L,$2.59,https://www.aldi.com.au/products/coca-cola-coke-coca-cola-1-5l,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/dcf77609-f012-42d3-a950-f09792736d13/coca-cola-coke-coca-cola-1-5l,Drinks,Soft Drinks,COCA-COLA,1.5l,Coca-Cola 
Multi Vitamin Juice 2L,$2.59,https://www.aldi.com.au/products/westcliff-multi-vitamin-juice-2l,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/83358f45-ca95-41c7-b6ff-66e2cc470b64/westcliff-multi-vitamin-juice-2l,Drinks,Juices & Cordials,WESTCLIFF,2l,WESTCLIFF
Coconut Water 1L,$2.59,https://www.aldi.com.au/products/cocolicious-coconut-water-1l,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/0aa78f50-ae95-4766-93f5-bec4a46b7489/cocolicious-coconut-water-1l,Drinks,Juices & Cordials,COCOLICIOUS,1l,COCOLICIOUS
