name,price,product_url,image_url,category,subcategory,brand,size,canonical_brand
Chocolate Hot Cross Buns 6 Pack 450g,$3.99,https://www.aldi.com.au/products/bakers-life-chocolate-hot-cross-buns-6-pack-450g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/ceddc55c-71b8-4401-b3a2-91eef3203ddb/bakers-life-chocolate-hot-cross-buns-6-pack-450g,Easter,,BAKERS LIFE,6,BAKERS LIFE
Mini Fruit Hot Cross Buns 9 Pack 450g,$3.99,https://www.aldi.com.au/products/bakers-life-mini-fruit-hot-cross-buns-9-pack-450g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/7bfb4fc7-4b31-4d42-aadf-e37f58380442/bakers-life-mini-fruit-hot-cross-buns-9-pack-450g,Easter,,BAKERS LIFE,9,BAKERS LIFE
Fruit Hot Cross Buns 6 Pack 450g,$3.99,https://www.aldi.com.au/products/bakers-life-fruit-hot-cross-buns-6-pack-450g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/ded403c6-fc35-4be9-b093-c2baeb2b26b3/bakers-life-fruit-hot-cross-buns-6-pack-450g,Easter,,BAKERS LIFE,6,BAKERS LIFE
Fruitless  Hot Cross Buns 6 Pack 410g,$3.99,https://www.aldi.com.au/products/bakers-life-fruitless-hot-cross-buns-6-pack-410g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/f7fc75eb-4539-49af-8580-327ee7a552c5/bakers-life-fruitless-hot-cross-buns-6-pack-410g,Easter,,BAKERS LIFE,6,BAKERS LIFE
Indulgent Apple & Cinnamon Hot Cross Buns 4 Pack 300g,$3.99,https://www.aldi.com.au/products/bakers-life-indulgent-apple-cinnamon-hot-cross-buns-4-pack-300g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/70e05f36-479e-4ac7-b256-6f979c13c245/bakers-life-indulgent-apple-cinnamon-hot-cross-buns-4-pack-300g,Easter,,BAKERS LIFE,4,BAKERS LIFE
Indulgent Banoffee Inspired Hot Cross Buns 4 Pack 300g,$4.49,https://www.aldi.com.au/products/bakers-life-indulgent-banoffee-inspired-hot-cross-buns-4-pack-300g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/ed25811b-ff70-4593-a282-a6a6a1e9ea40/bakers-life-indulgent-banoffee-inspired-hot-cross-buns-4-pack-300g,Easter,,BAKERS LIFE,4,BAKERS LIFE
Indulgent Brioche Style Hot Cross Buns 4 Pack 300g,$3.99,https://www.aldi.com.au/products/bakers-life-indulgent-brioche-style-hot-cross-buns-4-pack-300g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/3abadd81-0add-4b78-b214-a5d576486668/bakers-life-indulgent-brioche-style-hot-cross-buns-4-pack-300g,Easter,,BAKERS LIFE,4,BAKERS LIFE
Rocky Road Hot Cross Buns 4 Pack 300g,$4.49,https://www.aldi.com.au/products/bakers-life-rocky-road-hot-cross-buns-4-pack-300g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/e0411a26-496d-4184-886d-aefeb94844ae/bakers-life-rocky-road-hot-cross-buns-4-pack-300g,Easter,,BAKERS LIFE,300g,BAKERS LIFE
Gluten Free Chocolate Hot Cross Buns 3 Pack 180g,$3.99,https://www.aldi.com.au/products/bakers-life-gluten-free-chocolate-hot-cross-buns-3-pack-180g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/41b11a13-f510-41ac-93c9-467718ed575f/bakers-life-gluten-free-chocolate-hot-cross-buns-3-pack-180g,Easter,,BAKERS LIFE,3,BAKERS LIFE
Gluten Free Fruit Hot Cross Buns 3 Pack 180g,$3.99,https://www.aldi.com.au/products/bakers-life-gluten-free-fruit-hot-cross-buns-3-pack-180g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/f11f09c2-555e-47f5-8e55-043b1c09c9bc/bakers-life-gluten-free-fruit-hot-cross-buns-3-pack-180g,Easter,,BAKERS LIFE,3,BAKERS LIFE
