name,price,product_url,image_url,category,subcategory,brand,size,canonical_brand
Crumbed Calamari Rings 400g,$4.69,https://www.aldi.com.au/products/ocean-royale-crumbed-calamari-rings-400g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/7394db98-937c-4bfb-a7ad-b4b61034bc03/ocean-royale-crumbed-calamari-rings-400g,Freezer,Frozen Meat & Seafood,OCEAN ROYALE,0.4kg,OCEAN ROYALE
Salt & Pepper Squid 360g,$5.29,https://www.aldi.com.au/products/ocean-royale-salt-pepper-squid-360g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/1ab83c58-8430-457a-8486-8a0fd53393b2/ocean-royale-salt-pepper-squid-360g,Freezer,Frozen Meat & Seafood,OCEAN ROYALE,0.36kg,OCEAN ROYALE
Basa Fillets 1kg,$6.99,https://www.aldi.com.au/products/ocean-royale-basa-fillets-1kg,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/3b9d6613-2b96-48bc-8ea5-658f7d21042b/ocean-royale-basa-fillets-1kg,Freezer,Frozen Meat & Seafood,OCEAN ROYALE,1kg,OCEAN ROYALE
Barramundi Fillets 1kg,$20.99,https://www.aldi.com.au/products/ocean-royale-barramundi-fillets-1kg,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/5ab42d82-8d94-4dfe-bd8a-3188841c7d32/ocean-royale-barramundi-fillets-1kg,Freezer,Frozen Meat & Seafood,OCEAN ROYALE,1kg,OCEAN ROYALE
Atlantic Salmon Portions 1kg,$27.99,https://www.aldi.com.au/products/ocean-royale-atlantic-salmon-portions-1kg,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/87c285dc-e20c-4225-9b66-1461e4e8f35b/ocean-royale-atlantic-salmon-portions-1kg,Freezer,Frozen Meat & Seafood,OCEAN ROYALE,1kg,OCEAN ROYALE
Stir Fry Vegetables 850g,$3.99,https://www.aldi.com.au/products/market-fare-stir-fry-vegetables-850g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/beb74d54-b612-426f-a883-01279c24344d/market-fare-stir-fry-vegetables-850g,Freezer,Frozen Fruit & Vegetables,MARKET FARE,0.85kg,MARKET FARE
Cooked Peeled Prawn Cutlets 500g,$12.99,https://www.aldi.com.au/products/ocean-royale-cooked-peeled-prawn-cutlets-500g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/c7664fa7-cf8f-4189-a139-d52a5eff7974/ocean-royale-cooked-peeled-prawn-cutlets-500g,Freezer,Frozen Meat & Seafood,OCEAN ROYALE,0.5kg,OCEAN ROYALE
Raw Prawn Cutlets 500g,$15.99,https://www.aldi.com.au/products/ocean-royale-raw-prawn-cutlets-500g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/1e4d44be-906b-4b9e-b0b0-7744a66b3e8c/ocean-royale-raw-prawn-cutlets-500g,Freezer,Frozen Meat & Seafood,OCEAN ROYALE,0.5kg,OCEAN ROYALE
"Peas, Carrots & Super Sweet Corn 1kg",$3.59,https://www.aldi.com.au/products/market-fare-peas-carrots-super-sweet-corn-1kg,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/730329cf-24ba-490d-aa49-99af08412b92/market-fare-peas-carrots-super-sweet-corn-1kg,Freezer,Frozen Fruit & Vegetables,MARKET FARE,1kg,MARKET FARE
Beef Lasagne 400g,$3.29,https://www.aldi.com.au/products/international-cuisine-beef-lasagne-400g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/dce23079-f3a1-4d4d-b9f8-166417c06d62/international-cuisine-beef-lasagne-400g,Freezer,Frozen Ready Meals,INTERNATIONAL CUISINE,400g,INTERNATIONAL CUISINE
Vanilla Bean Ice Cream 1L,$7.99,https://www.aldi.com.au/products/kapiti-vanilla-bean-ice-cream-1l,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/1a8b24fb-c71d-4460-94c4-a1f96b2d02c3/kapiti-vanilla-bean-ice-cream-1l,Freezer,Ice Cream Tubs,KAPITI,1000ml,KAPITI
White Chocolate & Raspberry Ice Cream 1L,$7.99,https://www.aldi.com.au/products/kapiti-white-chocolate-raspberry-ice-cream-1l,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/54925885-e099-4beb-bd97-12b82ef9eeb8/kapiti-white-chocolate-raspberry-ice-cream-1l,Freezer,Ice Cream Tubs,KAPITI,1000ml,KAPITI
Vanilla Bean Gourmet Ice Cream 1L,$5.99,https://www.aldi.com.au/products/indulge-vanilla-bean-gourmet-ice-cream-1l,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/d6c2e155-d6e9-45be-80dd-aa9b8ad49641/indulge-vanilla-bean-gourmet-ice-cream-1l,Freezer,Ice Cream Tubs,INDULGE,1000ml,Indulge
Marinara Mix 800g,$13.49,https://www.aldi.com.au/products/ocean-royale-marinara-mix-800g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/ea672c39-dae2-4e2d-a1f0-ed3181f4589b/ocean-royale-marinara-mix-800g,Freezer,Frozen Meat & Seafood,OCEAN ROYALE,0.8kg,OCEAN ROYALE
Mix Bix 8 Pack 631ml,$4.99,https://www.aldi.com.au/products/milfina-mix-bix-8-pack-631ml,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/7d893015-8411-4ae3-890b-3d8f18eefc6f/milfina-mix-bix-8-pack-631ml,Freezer,Ice Cream Snacks,MILFINA,631ml,MILFINA
