name,price,product_url,image_url,category,subcategory,brand,size,canonical_brand
Lemon Each,$1.49,https://www.aldi.com.au/products/no-brand-lemon-each,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/621e4b32-f5cc-4e0c-951e-0c654a64c7be/no-brand-lemon-each,Fruits & Vegetables,Fresh Fruits,,1,Unknown
Red Seedless Grapes Loose,$5.39,https://www.aldi.com.au/products/no-brand-red-seedless-grapes-loose,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/21fc6e90-eef6-46ab-8ee2-acc522a6c7d6/no-brand-red-seedless-grapes-loose,Fruits & Vegetables,Fresh Fruits,,0.9kg per piece,Unknown
Strawberries 250g,$2.99,https://www.aldi.com.au/products/no-brand-strawberries-250g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/181f9f09-9d24-49d5-918e-785caaf7f7dc/no-brand-strawberries-250g,Fruits & Vegetables,Fresh Fruits,,0.25kg,Unknown
Garlic 3 Pack,$2.99,https://www.aldi.com.au/products/no-brand-garlic-3-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/9ebfaab5-0f3d-492e-a81b-418a6c81b731/no-brand-garlic-3-pack,Fruits & Vegetables,Fresh Herbs,,3,Unknown
Garlic Loose,$1.80,https://www.aldi.com.au/products/no-brand-garlic-loose,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/c63ba3b6-6724-4717-946b-2146f411be24/no-brand-garlic-loose,Fruits & Vegetables,Fresh Herbs,,0.06kg per piece,Unknown
Ginger Loose,$3.60,https://www.aldi.com.au/products/no-brand-ginger-loose,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/63ede333-42c3-4421-8596-e43a9799027a/no-brand-ginger-loose,Fruits & Vegetables,Fresh Herbs,,0.12kg per piece,Unknown
Gold Kiwifruit 6 Pack,$6.99,https://www.aldi.com.au/products/no-brand-gold-kiwifruit-6-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/7e4ee1a2-4a4c-4d4c-8428-95db27cae3a7/no-brand-gold-kiwifruit-6-pack,Fruits & Vegetables,Fresh Fruits,,6,Unknown
Gold Kiwifruit Loose,$1.35,https://www.aldi.com.au/products/no-brand-gold-kiwifruit-loose,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/332ddd1d-22ce-4211-9bf9-e462863d8cdd/no-brand-gold-kiwifruit-loose,Fruits & Vegetables,Fresh Fruits,,0.15kg per piece,Unknown
Gold Sweet Potatoes Loose,$1.80,https://www.aldi.com.au/products/no-brand-gold-sweet-potatoes-loose,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/e7ec530d-174b-43fa-bccf-f1fe49725165/no-brand-gold-sweet-potatoes-loose,Fruits & Vegetables,Fresh Vegetables,,0.45kg per piece,Unknown
Gourmet Tomatoes 500g,$4.49,https://www.aldi.com.au/products/no-brand-gourmet-tomatoes-500g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/51f42fc0-5943-4b40-a3e0-9a439cc10a29/no-brand-gourmet-tomatoes-500g,Fruits & Vegetables,Fresh Vegetables,,0.5kg,Unknown
Gourmet Tomatoes Loose,$0.84,https://www.aldi.com.au/products/no-brand-gourmet-tomatoes-loose,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/8aaeeb80-2fa8-4d68-9117-ae6bfcd16d07/no-brand-gourmet-tomatoes-loose,Fruits & Vegetables,Fresh Vegetables,,0.14kg per piece,Unknown
Granny Smith Apples 1kg,$5.49,https://www.aldi.com.au/products/no-brand-granny-smith-apples-1kg,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/f1327587-5735-4c04-8a11-c9df32a4dad0/no-brand-granny-smith-apples-1kg,Fruits & Vegetables,Fresh Fruits,,1kg,Unknown
Granny Smith Apples Loose,$0.93,https://www.aldi.com.au/products/no-brand-granny-smith-apples-loose,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/bceaca6c-7e31-4ff0-8321-d70e52bae4d0/no-brand-granny-smith-apples-loose,Fruits & Vegetables,Fresh Fruits,,0.17kg per piece,Unknown
Green Capsicum Loose,$1.50,https://www.aldi.com.au/products/no-brand-green-capsicum-loose,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/f227984e-937f-4777-b987-58abb1c1e1be/no-brand-green-capsicum-loose,Fruits & Vegetables,Fresh Vegetables,,0.25kg per piece,Unknown
Hass Avocado Each,$1.99,https://www.aldi.com.au/products/no-brand-hass-avocado-each,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/a371202a-83f3-4617-a4ef-e8b0c37cac9e/no-brand-hass-avocado-each,Fruits & Vegetables,Fresh Fruits,,1,Unknown
Hass Avocados 5 Pack,$6.49,https://www.aldi.com.au/products/no-brand-hass-avocados-5-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/7420041c-8e3b-4d65-9b1c-46656dfc4b93/no-brand-hass-avocados-5-pack,Fruits & Vegetables,Fresh Fruits,,5,Unknown
Honey Gold Mango Each,$2.99,https://www.aldi.com.au/products/no-brand-honey-gold-mango-each,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/0ab82dc3-47a1-4f6b-b858-433928e5512d/no-brand-honey-gold-mango-each,Fruits & Vegetables,Fresh Fruits,,1,Unknown
Iceberg Bagged Lettuce Each,$2.29,https://www.aldi.com.au/products/no-brand-iceberg-bagged-lettuce-each,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/d78f0be4-3379-4ba6-a36e-87801320d37b/no-brand-iceberg-bagged-lettuce-each,Fruits & Vegetables,Fresh Vegetables,,1,Unknown
Iceberg Blend Salad Mix 300g,$2.49,https://www.aldi.com.au/products/the-fresh-salad-co-iceberg-blend-salad-mix-300g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/f7a7dbce-bf5f-4caf-ba56-5293ebf6ab62/the-fresh-salad-co-iceberg-blend-salad-mix-300g,Fruits & Vegetables,Salads,THE FRESH SALAD CO,0.3kg,THE FRESH SALAD CO
Jalapeno Chillies 80g,$3.49,https://www.aldi.com.au/products/the-herb-garden-jalapeno-chillies-80g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/1c2a443c-b924-44e6-97ed-263402043be7/the-herb-garden-jalapeno-chillies-80g,Fruits & Vegetables,Fresh Vegetables,THE HERB GARDEN,80g,THE HERB GARDEN
Kale Bunch,$3.49,https://www.aldi.com.au/products/no-brand-kale-bunch,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/cf588a51-a8b3-430f-825f-ca74ce2aa473/no-brand-kale-bunch,Fruits & Vegetables,Fresh Vegetables,,1,Unknown
Kanzi Apples Loose,$1.22,https://www.aldi.com.au/products/no-brand-kanzi-apples-loose,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/d00374c3-febe-4319-b15e-8498445654a5/no-brand-kanzi-apples-loose,Fruits & Vegetables,Fresh Fruits,,0.175kg per piece,Unknown
Kensington Pride Mango Each,$2.99,https://www.aldi.com.au/products/no-brand-kensington-pride-mango-each,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/086faccc-d069-4715-acb6-1675fa9124ce/no-brand-kensington-pride-mango-each,Fruits & Vegetables,Fresh Fruits,,1,Unknown
Kent Pumpkins Loose,$2.49,https://www.aldi.com.au/products/no-brand-kent-pumpkins-loose,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/856e59e5-0998-4726-8c8a-63c4b2c117a8/no-brand-kent-pumpkins-loose,Fruits & Vegetables,Fresh Vegetables,,1kg per piece,Unknown
Lebanese Cucumbers 600g,$3.99,https://www.aldi.com.au/products/no-brand-lebanese-cucumbers-600g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/7b0f13d7-b914-4eb6-a017-d61e4a7191ff/no-brand-lebanese-cucumbers-600g,Fruits & Vegetables,Fresh Vegetables,,0.6kg,Unknown
Lebanese Cucumbers Loose,$1.26,https://www.aldi.com.au/products/no-brand-lebanese-cucumbers-loose,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/13fab124-3e38-48df-9a70-70aae62dab99/no-brand-lebanese-cucumbers-loose,Fruits & Vegetables,Fresh Vegetables,,0.21kg per piece,Unknown
Leek Each,$2.49,https://www.aldi.com.au/products/no-brand-leek-each,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/81530595-c151-427f-9796-2f3026bdc1b0/no-brand-leek-each,Fruits & Vegetables,Fresh Vegetables,,1,Unknown
Lemons 5 Pack,$5.99,https://www.aldi.com.au/products/no-brand-lemons-5-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/42f70063-7a53-45af-b10c-0271178432dd/no-brand-lemons-5-pack,Fruits & Vegetables,Fresh Fruits,,5,Unknown
Lime Each,$0.99,https://www.aldi.com.au/products/no-brand-lime-each,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/1331a9b0-f9df-4c6e-b529-4c239da83804/no-brand-lime-each,Fruits & Vegetables,Fresh Fruits,,1,Unknown
Limes 400g,$4.49,https://www.aldi.com.au/products/no-brand-limes-400g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/bd1c136b-75ab-4c9f-91c6-e439c70064b1/no-brand-limes-400g,Fruits & Vegetables,Fresh Fruits,,0.4kg,Unknown
Mandarins 1kg,$4.49,https://www.aldi.com.au/products/no-brand-mandarins-1kg,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/ef347f32-d8b2-47a7-a75b-1edf1cbfa855/no-brand-mandarins-1kg,Fruits & Vegetables,Fresh Fruits,,1kg,Unknown
Mexican Style Salad Kit 400g,$4.99,https://www.aldi.com.au/products/the-fresh-salad-co-mexican-style-salad-kit-400g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/402af089-100e-4201-8e1f-4970ec603817/the-fresh-salad-co-mexican-style-salad-kit-400g,Fruits & Vegetables,Salads,THE FRESH SALAD CO,0.4kg,THE FRESH SALAD CO
Microwave Potatoes 500g,$2.69,https://www.aldi.com.au/products/no-brand-microwave-potatoes-500g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/0fcb1eac-a092-4b40-a533-73c9dbefbb32/no-brand-microwave-potatoes-500g,Fruits & Vegetables,Prepared Vegetables,,0.5kg,Unknown
Mini Capsicums 175g,$4.99,https://www.aldi.com.au/products/no-brand-mini-capsicums-175g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/049c0b0c-654d-46e9-adc7-eb5cf80a3a53/no-brand-mini-capsicums-175g,Fruits & Vegetables,Fresh Vegetables,,0.175kg,Unknown
