name,price,product_url,image_url,category,subcategory,brand,size,canonical_brand
Calibre 6 Blade Replacement Cartridges 4 Pack,$5.99,https://www.aldi.com.au/products/prince-calibre-6-blade-replacement-cartridges-4-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/68776473-8aa8-4da2-a0f0-d52dc4f3a8a0/prince-calibre-6-blade-replacement-cartridges-4-pack,Health & Beauty,Hair Removal,PRINCE,4,PRINCE
Triple Action Toothpaste 210g,$4.39,https://www.aldi.com.au/products/colgate-triple-action-toothpaste-210g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/649157bb-2d2b-4cad-8fa9-89e3cc26bc5f/colgate-triple-action-toothpaste-210g,Health & Beauty,Dental Care,COLGATE,210g,Colgate
Total Original Active Prevention Toothpaste 220g,$5.99,https://www.aldi.com.au/products/colgate-total-original-active-prevention-toothpaste-220g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/de2237ff-b470-4c18-80b8-a02166a4ade2/colgate-total-original-active-prevention-toothpaste-220g,Health & Beauty,Dental Care,COLGATE,220g,Colgate
Calibre 6 Blade Razor System,$9.99,https://www.aldi.com.au/products/prince-calibre-6-blade-razor-system,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/03c7b2b5-8dc2-4407-b5bd-67781e9c910a/prince-calibre-6-blade-razor-system,Health & Beauty,Hair Removal,PRINCE,,PRINCE
Rich Moisturising Body Lotion 625ml,$7.39,https://www.aldi.com.au/products/nivea-rich-moisturising-body-lotion-625ml,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/203703ee-daca-4622-bb03-22eec180c025/nivea-rich-moisturising-body-lotion-625ml,Health & Beauty,Sun & Skin Care,NIVEA,625ml,Nivea
Advanced Whitening Tartar Control Toothpaste 2 Pack 115g,$8.49,https://www.aldi.com.au/products/colgate-advanced-whitening-tartar-control-toothpaste-2-pack-115g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/e3123d21-160c-472d-9150-33092c218e68/colgate-advanced-whitening-tartar-control-toothpaste-2-pack-115g,Health & Beauty,Dental Care,COLGATE,230g,Colgate
Ibuprofen Liquid Gel Capsules 20 Pack 200mg,$2.39,https://www.aldi.com.au/products/hedafen-ibuprofen-liquid-gel-capsules-20-pack-200mg,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/5b526671-d4b9-4a75-8785-5e96645431b0/hedafen-ibuprofen-liquid-gel-capsules-20-pack-200mg,Health & Beauty,First Aid & Medicinal,HEDAFEN,20,HEDAFEN
Ibuprofen Tablets 24 Pack 200mg,$1.39,https://www.aldi.com.au/products/hedafen-ibuprofen-tablets-24-pack-200mg,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/e4ef489d-69f6-4b2d-915c-0be0fa164717/hedafen-ibuprofen-tablets-24-pack-200mg,Health & Beauty,First Aid & Medicinal,HEDAFEN,24,HEDAFEN
Women's High Potency Multivitamins 60 Pack,$7.49,https://www.aldi.com.au/products/essential-health-women-s-high-potency-multivitamins-60-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/1144eeb6-1313-4a0f-b28b-dbf6423949a4/essential-health-women-s-high-potency-multivitamins-60-pack,Health & Beauty,First Aid & Medicinal,ESSENTIAL HEALTH,60,ESSENTIAL HEALTH
Activated B Complex Vitamins 60 Pack,$9.99,https://www.aldi.com.au/products/essential-health-activated-b-complex-vitamins-60-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/149c7ae8-3a19-425f-847c-7e2a609be228/essential-health-activated-b-complex-vitamins-60-pack,Health & Beauty,First Aid & Medicinal,ESSENTIAL HEALTH,60,ESSENTIAL HEALTH
Triple Strength Fish Oil Mini Caps 60 Pack,$9.99,https://www.aldi.com.au/products/essential-health-triple-strength-fish-oil-mini-caps-60-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/23cf6962-5a57-4472-879f-b7e59e2e4943/essential-health-triple-strength-fish-oil-mini-caps-60-pack,Health & Beauty,First Aid & Medicinal,ESSENTIAL HEALTH,60,ESSENTIAL HEALTH
Men's Multi Vitamins 60 Pack,$7.49,https://www.aldi.com.au/products/essential-health-men-s-multi-vitamins-60-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/32861a61-f325-4022-9794-7a4dbe781c4c/essential-health-men-s-multi-vitamins-60-pack,Health & Beauty,First Aid & Medicinal,ESSENTIAL HEALTH,60,ESSENTIAL HEALTH
Vitamins CoQ10 60 Pack 150mg,$9.99,https://www.aldi.com.au/products/essential-health-vitamins-coq10-60-pack-150mg,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/43a84f6a-2549-4bef-a13e-ce97bd8ace55/essential-health-vitamins-coq10-60-pack-150mg,Health & Beauty,First Aid & Medicinal,ESSENTIAL HEALTH,60,ESSENTIAL HEALTH
Vitamins Glucosamine 60 Pack,$6.99,https://www.aldi.com.au/products/essential-health-vitamins-glucosamine-60-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/1aaa54b6-faef-4104-b2b9-a4963acca085/essential-health-vitamins-glucosamine-60-pack,Health & Beauty,First Aid & Medicinal,ESSENTIAL HEALTH,60,ESSENTIAL HEALTH
Beauty Cream Cleansing Bar 3 Pack 90g,$4.39,https://www.aldi.com.au/products/dove-beauty-cream-cleansing-bar-3-pack-90g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/35c968c7-9227-4e40-baf6-138b5995408c/dove-beauty-cream-cleansing-bar-3-pack-90g,Health & Beauty,Sun & Skin Care,DOVE,270g,Dove
Dentitex Advanced Whitening Toothpaste 200g,$2.09,https://www.aldi.com.au/products/dentitex-dentitex-advanced-whitening-toothpaste-200g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/8e23dcc7-a502-48c6-9bde-0be756a923a0/dentitex-dentitex-advanced-whitening-toothpaste-200g,Health & Beauty,Dental Care,DENTITEX,200g,DENTITEX
