name,price,product_url,image_url,category,subcategory,brand,size,canonical_brand
Ice Cream Cup Cones 24 Pack,$2.69,https://www.aldi.com.au/products/brookdale-ice-cream-cup-cones-24-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/f9714f6a-0bcf-4eb9-a6ca-bb565778c055/brookdale-ice-cream-cup-cones-24-pack,Limited Time Only,,BROOKDALE,24,BROOKDALE
Rainbow Smoked Trout 200g,$9.99,https://www.aldi.com.au/products/the-fishmonger-rainbow-smoked-trout-200g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/e39e78cf-b457-4a2b-bffc-9e770119bc35/the-fishmonger-rainbow-smoked-trout-200g,Limited Time Only,,THE FISHMONGER,0.2kg,THE FISHMONGER
Crispy Fried Noodles 100g,$1.49,https://www.aldi.com.au/products/simplee-crispy-fried-noodles-100g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/8db2fb04-0fe4-4e68-b34b-e856b3f5da27/simplee-crispy-fried-noodles-100g,Limited Time Only,,SIMPLEE,100g,SIMPLEE
Cheese and Jalapeno Wing Nibbles 600g,$7.99,https://www.aldi.com.au/products/ready-set-cook-cheese-and-jalapeno-wing-nibbles-600g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/a8a8af5a-069e-4509-9159-4a9c479f37e5/ready-set-cook-cheese-and-jalapeno-wing-nibbles-600g,Limited Time Only,,"READY, SET…COOK!",0.6kg,"READY, SET…COOK!"
Sweet & Sour Pork Meal Kit 800g,$14.99,https://www.aldi.com.au/products/ready-set-cook-sweet-sour-pork-meal-kit-800g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/8cdd3b62-20f0-43c6-83cd-e2e268a7c674/ready-set-cook-sweet-sour-pork-meal-kit-800g,Limited Time Only,,"READY, SET…COOK!",0.8kg,"READY, SET…COOK!"
Ice Bag 2kg,$1.99,https://www.aldi.com.au/products/bells-pure-ice-ice-bag-2kg,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/a550c258-a731-46bf-a8ee-5fe0ca1b7e82/bells-pure-ice-ice-bag-2kg,Limited Time Only,,BELLS PURE ICE,2kg,BELLS PURE ICE
Damora Crisps Sea Salt 150g,$2.99,https://www.aldi.com.au/products/damora-damora-crisps-sea-salt-150g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/d5f5da50-3736-43d1-8217-fb6c2a9b4e57/damora-damora-crisps-sea-salt-150g,Limited Time Only,,DAMORA,150g,DAMORA
Damora Crisps Sweet Chilli 150g,$2.99,https://www.aldi.com.au/products/damora-damora-crisps-sweet-chilli-150g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/1e565163-d363-4f57-b728-1ecee90a1463/damora-damora-crisps-sweet-chilli-150g,Limited Time Only,,DAMORA,150g,DAMORA
Chicken Breast Pub Schnitzel 480g,$8.49,https://www.aldi.com.au/products/ready-set-cook-chicken-breast-pub-schnitzel-480g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/a0f3f7e9-6020-4522-9253-0857c5b47dfb/ready-set-cook-chicken-breast-pub-schnitzel-480g,Limited Time Only,,"READY, SET…COOK!",0.48kg,"READY, SET…COOK!"
Sticky Thai Style RSPCA Approved Chicken Rice Bowl Meal Kit 785g,$14.99,https://www.aldi.com.au/products/ready-set-cook-sticky-thai-style-rspca-approved-chicken-rice-bowl-meal-kit-785g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/29edc287-19ba-403c-b999-dcb7aeda0a69/ready-set-cook-sticky-thai-style-rspca-approved-chicken-rice-bowl-meal-kit-785g,Limited Time Only,,"READY, SET…COOK!",0.785kg,"READY, SET…COOK!"
