name,price,product_url,image_url,category,subcategory,brand,size,canonical_brand
Rioja Reserva Tempranillo Graciano 750ml,$12.99,https://www.aldi.com.au/products/marques-del-atrio-rioja-reserva-tempranillo-graciano-750ml,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/6be7550c-b931-419f-838b-ee5bf9a6097f/marques-del-atrio-rioja-reserva-tempranillo-graciano-750ml,Liquor,Red Wine,MARQUES DEL ATRIO,,MARQUES DEL ATRIO
Irish Country Cream 700ml,$15.99,https://www.aldi.com.au/products/o-donnells-irish-country-cream-700ml,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/e0bbfeb0-2a6a-4b7f-83e4-5dfd303f0787/o-donnells-irish-country-cream-700ml,Liquor,Spirits,O'DONNELLS,,O'DONNELLS
Irish Cream Salted Caramel Liqueur 700ml,$15.99,https://www.aldi.com.au/products/o-donnells-irish-cream-salted-caramel-liqueur-700ml,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/f3f1c1d8-a45c-4c89-8a68-82c188dbf150/o-donnells-irish-cream-salted-caramel-liqueur-700ml,Liquor,Spirits,O'DONNELLS,,O'DONNELLS
Prosecco Spumante DOC 750ml,$11.99,https://www.aldi.com.au/products/corte-carista-prosecco-spumante-doc-750ml,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/dd1dc40b-98c6-4524-be48-5d68fe109041/corte-carista-prosecco-spumante-doc-750ml,Liquor,Sparkling & Champagne,CORTE CARISTA,,CORTE CARISTA
Sparkling Wine 750ml,$8.99,https://www.aldi.com.au/products/veuve-olivier-sparkling-wine-750ml,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/762078a1-59fa-46aa-b63b-beb0659bec7a/veuve-olivier-sparkling-wine-750ml,Liquor,Sparkling & Champagne,VEUVE OLIVIER,,VEUVE OLIVIER
Bordeaux 750ml,$12.99,https://www.aldi.com.au/products/chateau-les-maurins-bordeaux-750ml,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/bcbb1f06-b100-4941-aaeb-bb89b2f95ae1/chateau-les-maurins-bordeaux-750ml,Liquor,Red Wine,CHATEAU LES MAURINS,,CHATEAU LES MAURINS
Champagne Brut 750ml,$34.99,https://www.aldi.com.au/products/veuve-monsigny-champagne-brut-750ml,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/4164df99-fa31-43e1-8bac-932b66ea94c7/veuve-monsigny-champagne-brut-750ml,Liquor,Sparkling & Champagne,VEUVE MONSIGNY,,VEUVE MONSIGNY
Prosecco Rosé DOC Millesimato 750ml,$11.99,https://www.aldi.com.au/products/corte-carista-prosecco-rose-doc-millesimato-750ml,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/beeab8fd-3807-455c-89da-1fad8e72c6ac/corte-carista-prosecco-rose-doc-millesimato-750ml,Liquor,Sparkling & Champagne,CORTE CARISTA,,CORTE CARISTA
Sparkling Cuvée NV 750ml,$16.99,https://www.aldi.com.au/products/vallee-des-secrets-sparkling-cuvee-nv-750ml,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/d733bccf-ba25-4a93-8e1c-794416b93232/vallee-des-secrets-sparkling-cuvee-nv-750ml,Liquor,Sparkling & Champagne,VALLEE DES SECRETS,,VALLEE DES SECRETS
Cabernet Sauvignon 750ml,$5.99,https://www.aldi.com.au/products/the-pond-cabernet-sauvignon-750ml,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/bb2d6e3a-1ad2-4d32-b3be-e143e28886c3/the-pond-cabernet-sauvignon-750ml,Liquor,Red Wine,THE POND,,THE POND
