name,price,product_url,image_url,category,subcategory,brand,size,canonical_brand
Smoked Salmon 200g,$9.99,https://www.aldi.com.au/products/the-fishmonger-smoked-salmon-200g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/e685d4d7-bb55-4acb-8eba-dee628daf286/the-fishmonger-smoked-salmon-200g,Meat & Seafood,Seafood,THE FISHMONGER,0.2kg,THE FISHMONGER
Wagyu Beef Burgers 400g,$8.99,https://www.aldi.com.au/products/ready-set-cook-wagyu-beef-burgers-400g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/1f404d63-84ae-47ef-9d12-e9e65f508468/ready-set-cook-wagyu-beef-burgers-400g,Meat & Seafood,Beef,"READY, SET…COOK!",0.4kg,"READY, SET…COOK!"
"Pork, Pepper and Oregano Gourmet Sausages 500g",$8.00,https://www.aldi.com.au/products/specially-selected-pork-pepper-and-oregano-gourmet-sausages-500g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/d7f3eae8-0cf5-4929-917b-49e7aa825cd7/specially-selected-pork-pepper-and-oregano-gourmet-sausages-500g,Meat & Seafood,Sausage,SPECIALLY SELECTED,0.5kg,SPECIALLY SELECTED
"Chicken, Fetta & Parsley Sausages 500g",$8.00,https://www.aldi.com.au/products/specially-selected-chicken-fetta-parsley-sausages-500g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/d18f790b-ca1b-4918-af41-fa283895e496/specially-selected-chicken-fetta-parsley-sausages-500g,Meat & Seafood,Sausage,SPECIALLY SELECTED,0.5kg,SPECIALLY SELECTED
5 Star Beef Mince 500g,$10.49,https://www.aldi.com.au/products/jindurra-station-5-star-beef-mince-500g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/91bec25f-bfee-4c2e-a37b-da8688c1dfdf/jindurra-station-5-star-beef-mince-500g,Meat & Seafood,Beef,JINDURRA STATION,0.5kg,JINDURRA STATION
Pork Mince 500g,$4.59,https://www.aldi.com.au/products/ironbark-pork-pork-mince-500g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/c995a84c-e54e-42a8-9c39-3f8285b6409e/ironbark-pork-pork-mince-500g,Meat & Seafood,Pork,IRONBARK PORK,0.5kg,IRONBARK PORK
RSPCA Approved Chicken Thigh Bulk,$15.03,https://www.aldi.com.au/products/broad-oak-farms-rspca-approved-chicken-thigh-bulk,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/38e00b63-eae8-4da7-9371-d286091455bb/broad-oak-farms-rspca-approved-chicken-thigh-bulk,Meat & Seafood,Poultry,BROAD OAK FARMS,1.157kg per package,BROAD OAK FARMS
Marinated Chicken Roasting Pieces,$11.68,https://www.aldi.com.au/products/ready-set-cook-marinated-chicken-roasting-pieces,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/d84ae505-8fd9-49e6-9bf0-4ffb2d95400e/ready-set-cook-marinated-chicken-roasting-pieces,Meat & Seafood,Poultry,"READY, SET…COOK!",1.8kg per package,"READY, SET…COOK!"
Chicken Drumsticks Bulk Pack 2kg,$6.89,https://www.aldi.com.au/products/broad-oak-farms-chicken-drumsticks-bulk-pack-2kg,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/4635a7fd-30b8-4490-8863-de8cb4bd06ae/broad-oak-farms-chicken-drumsticks-bulk-pack-2kg,Meat & Seafood,Poultry,BROAD OAK FARMS,2kg,BROAD OAK FARMS
3 Star Beef Mince 500g,$7.29,https://www.aldi.com.au/products/jindurra-station-3-star-beef-mince-500g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/6aab46af-d60c-4eff-9619-0ac173f7b40b/jindurra-station-3-star-beef-mince-500g,Meat & Seafood,Beef,JINDURRA STATION,0.5kg,JINDURRA STATION
