name,price,product_url,image_url,category,subcategory,brand,size,canonical_brand
Mega Roulette 45g,$0.99,https://www.aldi.com.au/products/haribo-mega-roulette-45g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/f565efbc-67cf-4f99-bbcc-20145ad72315/haribo-mega-roulette-45g,Pantry,Confectionery,HARIBO,45g,Haribo
Organic Extra Virgin Olive Oil 500ml,$8.99,https://www.aldi.com.au/products/oh-so-natural-organic-organic-extra-virgin-olive-oil-500ml,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/ce18a1c2-0a82-4534-88d3-a83ebab3db92/oh-so-natural-organic-organic-extra-virgin-olive-oil-500ml,Pantry,Health Foods,OH SO NATURAL ORGANIC,500ml,OH SO NATURAL ORGANIC
Sunflower Oil 1L,$4.99,https://www.aldi.com.au/products/pure-vita-sunflower-oil-1l,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/f315fe90-7075-4f29-b0cb-5abad7510ad9/pure-vita-sunflower-oil-1l,Pantry,Oils & Vinegars,PURE VITA,1000ml,PURE VITA
Baked Beans in Tomato Sauce 420g,$1.09,https://www.aldi.com.au/products/corale-baked-beans-in-tomato-sauce-420g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/052753ed-d194-4344-be26-b99946f66710/corale-baked-beans-in-tomato-sauce-420g,Pantry,Canned Food,CORALE,420g,CORALE
Pure Maple Syrup 250ml,$5.49,https://www.aldi.com.au/products/brookdale-pure-maple-syrup-250ml,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/92ab7023-6cb8-43c0-a258-a4fb5645c959/brookdale-pure-maple-syrup-250ml,Pantry,Baking,BROOKDALE,250ml,BROOKDALE
Jasmine Rice 1kg,$3.19,https://www.aldi.com.au/products/imperial-grain-jasmine-rice-1kg,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/f8c80679-b4ba-46fe-af9f-058b76d5cf08/imperial-grain-jasmine-rice-1kg,Pantry,"Pasta, Rice & Grains",IMPERIAL GRAIN,1000g,IMPERIAL GRAIN
Basmati Rice 1kg,$3.99,https://www.aldi.com.au/products/imperial-grain-basmati-rice-1kg,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/a560b507-81e7-4363-8287-50db45da54a0/imperial-grain-basmati-rice-1kg,Pantry,"Pasta, Rice & Grains",IMPERIAL GRAIN,1000g,IMPERIAL GRAIN
Long Grain Rice 2kg,$3.59,https://www.aldi.com.au/products/imperial-grain-long-grain-rice-2kg,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/f741576a-2c44-4fa6-98ce-06a083c58a94/imperial-grain-long-grain-rice-2kg,Pantry,"Pasta, Rice & Grains",IMPERIAL GRAIN,2000g,IMPERIAL GRAIN
Pitted Prunes 500 g,$5.69,https://www.aldi.com.au/products/sweet-vine-pitted-prunes-500-g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/85581f2f-c0b5-422b-93d2-8a73c8b5415c/sweet-vine-pitted-prunes-500-g,Pantry,"Dried Fruits, Nuts & Jerky",SWEET VINE,0.5kg,SWEET VINE
Basil Pesto 190g,$1.89,https://www.aldi.com.au/products/remano-basil-pesto-190g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/811290eb-12a1-4bca-afb8-ee096da0bbe7/remano-basil-pesto-190g,Pantry,Condiments & Dressings,REMANO,190g,REMANO
Sundried Tomato Pesto 190g,$1.89,https://www.aldi.com.au/products/remano-sundried-tomato-pesto-190g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/dd61ce2d-fb6f-416a-abb8-cc5622d93393/remano-sundried-tomato-pesto-190g,Pantry,Condiments & Dressings,REMANO,190g,REMANO
