name,price,product_url,image_url,category,subcategory,brand,size,canonical_brand
Dog Treat Beef Straps 180g,$1.99,https://www.aldi.com.au/products/julius-dog-treat-beef-straps-180g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/635326f8-45c1-4baa-b19a-4ed321f3d475/julius-dog-treat-beef-straps-180g,Pets,Dogs & Puppy,JULIUS,180g,JULIUS
"Adult Dog Food Homestyle with Lamb, Pasta & Vegetables 700g",$2.29,https://www.aldi.com.au/products/julius-adult-dog-food-homestyle-with-lamb-pasta-vegetables-700g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/9708436d-3fbf-4aa8-ae95-e5de9c6c9f45/julius-adult-dog-food-homestyle-with-lamb-pasta-vegetables-700g,Pets,Dogs & Puppy,JULIUS,700g,JULIUS
"Adult Dog Food Casserole with Beef, Vegetables & Gravy 700g",$2.29,https://www.aldi.com.au/products/julius-adult-dog-food-casserole-with-beef-vegetables-gravy-700g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/99fdea64-2015-4498-af26-da7ef517e2cd/julius-adult-dog-food-casserole-with-beef-vegetables-gravy-700g,Pets,Dogs & Puppy,JULIUS,700g,JULIUS
"Adult Dog Food Casserole with Beef, Vegetables & Gravy 1.2kg",$2.89,https://www.aldi.com.au/products/julius-adult-dog-food-casserole-with-beef-vegetables-gravy-1-2kg,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/677a4bba-2237-4a79-889d-6d420f4b8d69/julius-adult-dog-food-casserole-with-beef-vegetables-gravy-1-2kg,Pets,Dogs & Puppy,JULIUS,1200g,JULIUS
"Adult Dog Food Homestyle with Lamb, Pasta & Vegetables 1.2kg",$2.89,https://www.aldi.com.au/products/julius-adult-dog-food-homestyle-with-lamb-pasta-vegetables-1-2kg,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/124998e3-35bd-4457-b909-a5b1b6d81b3c/julius-adult-dog-food-homestyle-with-lamb-pasta-vegetables-1-2kg,Pets,Dogs & Puppy,JULIUS,1200g,JULIUS
Marrobones 737g,$9.99,https://www.aldi.com.au/products/schmackos-marrobones-737g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/50984962-efee-445f-bc07-1abc6dadef18/schmackos-marrobones-737g,Pets,Dogs & Puppy,SCHMACKOS,737g,Schmackos
Pigs Ears 10 Pack,$19.99,https://www.aldi.com.au/products/gourmet-dog-treats-bow-wow-pigs-ears-10-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/01bc4416-2761-4feb-9037-ce0aa18f0905/gourmet-dog-treats-bow-wow-pigs-ears-10-pack,Pets,Dogs & Puppy,GOURMET DOG TREATS BOW WOW,10,GOURMET DOG TREATS BOW WOW
Dog Treat Pigs Ears 5 Pack,$13.49,https://www.aldi.com.au/products/julius-dog-treat-pigs-ears-5-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/630e1b1a-e9ca-41f1-9e51-8aff6426eadc/julius-dog-treat-pigs-ears-5-pack,Pets,Dogs & Puppy,JULIUS,5,JULIUS
Dentastix Large 28 Pack,$14.99,https://www.aldi.com.au/products/pedigree-dentastix-large-28-pack,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/07f62f90-5d12-46b1-9229-aba45e622058/pedigree-dentastix-large-28-pack,Pets,Dogs & Puppy,PEDIGREE,28,Pedigree
"Dog Food Meatballs Chicken with Rice, Carrot and Spinach 900g",$5.99,https://www.aldi.com.au/products/natural-elements-pet-nutrition-dog-food-meatballs-chicken-with-rice-carrot-and-spinach-900g,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/1500/6938a689-0f5a-4194-937e-622d3f73836a/natural-elements-pet-nutrition-dog-food-meatballs-chicken-with-rice-carrot-and-spinach-900g,Pets,Dogs & Puppy,NATURAL ELEMENTS PET NUTRITION,900g,NATURAL ELEMENTS PET NUTRITION
