name,price,product_url,image_url,category,subcategory,product_id,size,brand
Tasmanian Heritage Double Cream Brie | 200g,$5.90,https://www.coles.com.au/product/tasmanian-heritage-double-cream-brie-200g-7670395,https://cdn.productimages.coles.com.au/productimages/7/7670395.jpg,Deli,,7670395,200g,Tasmanian Heritage
Kenilworth Roast Garlic & Cracked Pepper Cheddar | 165g,$4.80,https://www.coles.com.au/product/kenilworth-roast-garlic-and-cracked-pepper-cheddar-165g-1988438,https://cdn.productimages.coles.com.au/productimages/1/1988438.jpg,Deli,,1988438,165g,Kenilworth
Mersey Valley Club Original Cheddar Cheese | 235g,$9.90,https://www.coles.com.au/product/mersey-valley-club-original-cheddar-cheese-235g-6533005,https://cdn.productimages.coles.com.au/productimages/6/6533005.jpg,Deli,,6533005,235g,Mersey Valley
Tasmanian Heritage Triple Cream Brie Oval | 125g,$7.50,https://www.coles.com.au/product/tasmanian-heritage-triple-cream-brie-oval-125g-7766155,https://cdn.productimages.coles.com.au/productimages/7/7766155.jpg,Deli,,7766155,125g,Tasmanian Heritage
Kenilworth Cheddar Mango & Macadamia | 165g,$4.80,https://www.coles.com.au/product/kenilworth-cheddar-mango-and-macadamia-165g-1988460,https://cdn.productimages.coles.com.au/productimages/1/1988460.jpg,Deli,,1988460,165g,Kenilworth
Kenilworth Pickled Onion & Chives Cheddar | 165g,$4.80,https://www.coles.com.au/product/kenilworth-pickled-onion-and-chives-cheddar-165g-3039454,https://cdn.productimages.coles.com.au/productimages/3/3039454.jpg,Deli,,3039454,165g,Kenilworth
Tasmanian Heritage Camembert | 200g,$5.90,https://www.coles.com.au/product/tasmanian-heritage-camembert-200g-7670410,https://cdn.productimages.coles.com.au/productimages/7/7670410.jpg,Deli,,7670410,200g,Tasmanian Heritage
Kenilworth Sweet Chilli Sour Cream & Bell Peppers Club Che ... 165g,$4.80,https://www.coles.com.au/product/kenilworth-sweet-chilli-sour-cream-and-bell-peppers-club-cheddar-cheese-165g-1988529,https://cdn.productimages.coles.com.au/productimages/1/1988529.jpg,Deli,,1988529,165g,Kenilworth
Mersey Valley Club Classic Cheddar Cheese | 235g,$9.90,https://www.coles.com.au/product/mersey-valley-club-classic-cheddar-cheese-235g-4513200,https://cdn.productimages.coles.com.au/productimages/4/4513200.jpg,Deli,,4513200,235g,Mersey Valley
Tasmanian Heritage Camembert Oval | 125g,$7.50,https://www.coles.com.au/product/tasmanian-heritage-camembert-oval-125g-91673,https://cdn.productimages.coles.com.au/productimages/9/91673.jpg,Deli,,91673,125g,Tasmanian Heritage
D'Argental Washed Rind Brie | approx. 100g,$6.22,https://www.coles.com.au/product/d'argental-washed-rind-brie-approx.-100g-3089394,https://cdn.productimages.coles.com.au/productimages/3/3089394.jpg,Deli,,3089394,approx. 100g,D'Argental
Primo Champagne Leg Ham | 100g,$3.95,https://www.coles.com.au/product/primo-champagne-leg-ham-100g-3055086,https://cdn.productimages.coles.com.au/productimages/3/3055086.jpg,Deli,,3055086,100g,Primo
Primo Gluten Free Thinly Sliced Double Smoked Leg Ham | 100g,$3.95,https://www.coles.com.au/product/primo-gluten-free-thinly-sliced-double-smoked-leg-ham-100g-2819436,https://cdn.productimages.coles.com.au/productimages/2/2819436.jpg,Deli,,2819436,100g,Primo
Primo English Sliced Ham | 100g,$3.95,https://www.coles.com.au/product/primo-english-sliced-ham-100g-8145856,https://cdn.productimages.coles.com.au/productimages/8/8145856.jpg,Deli,,8145856,100g,Primo
Primo Manuka Honey Leg Ham | 100g,$3.95,https://www.coles.com.au/product/primo-manuka-honey-leg-ham-100g-9065548,https://cdn.productimages.coles.com.au/productimages/9/9065548.jpg,Deli,,9065548,100g,Primo
Coles Semi Dried Tomatoes Fresh Basil | 135g,$3.75,https://www.coles.com.au/product/coles-semi-dried-tomatoes-fresh-basil-135g-6481444,https://cdn.productimages.coles.com.au/productimages/6/6481444.jpg,Deli,,6481444,135g,Coles
