name,price,product_url,image_url,category,subcategory,product_id,size,brand
Coles Strawberries Berries | 250g,$2.50,https://www.coles.com.au/product/coles-strawberries-berries-250g-5191256,https://cdn.productimages.coles.com.au/productimages/5/5191256.jpg,Fruit & Vegetables,,5191256,250g,Coles
Coles Hass Avocados | 1 Each,$2.00,https://www.coles.com.au/product/coles-hass-avocados-1-each-5900530,https://cdn.productimages.coles.com.au/productimages/5/5900530.jpg,Fruit & Vegetables,,5900530,1,Coles
Coles Gold Kiwifruit | 1 Each,$1.70,https://www.coles.com.au/product/coles-gold-kiwifruit-1-each-6979376,https://cdn.productimages.coles.com.au/productimages/6/6979376.jpg,Fruit & Vegetables,,6979376,1,Coles
Coles Green Kiwifruit | 1 each,$0.90,https://www.coles.com.au/product/coles-green-kiwifruit-1-each-4425883,https://cdn.productimages.coles.com.au/productimages/4/4425883.jpg,Fruit & Vegetables,,4425883,1,Coles
Coles Lemons | 1 Each,$1.60,https://www.coles.com.au/product/coles-lemons-1-each-5318302,https://cdn.productimages.coles.com.au/productimages/5/5318302.jpg,Fruit & Vegetables,,5318302,1,Coles
Coles Baby Spinach | 120g,$3.00,https://www.coles.com.au/product/coles-baby-spinach-120g-1499340,https://cdn.productimages.coles.com.au/productimages/1/1499340.jpg,Fruit & Vegetables,,1499340,120g,Coles
Coles Sleeved Herbs Coriander | 1 Bunch,$3.20,https://www.coles.com.au/product/coles-sleeved-herbs-coriander-1-bunch-4575321,https://cdn.productimages.coles.com.au/productimages/4/4575321.jpg,Fruit & Vegetables,,4575321,1 Bunch,Coles
Coles Sliced Mushrooms | 200g,$4.00,https://www.coles.com.au/product/coles-sliced-mushrooms-200g-5750960,https://cdn.productimages.coles.com.au/productimages/5/5750960.jpg,Fruit & Vegetables,,5750960,200g,Coles
Coles 4 Leaf Salad Mix | 200g,$3.00,https://www.coles.com.au/product/coles-4-leaf-salad-mix-200g-8209722,https://cdn.productimages.coles.com.au/productimages/8/8209722.jpg,Fruit & Vegetables,,8209722,200g,Coles
Coles Lettuce Baby Rocket | 120g,$3.30,https://www.coles.com.au/product/coles-lettuce-baby-rocket-120g-1499475,https://cdn.productimages.coles.com.au/productimages/1/1499475.jpg,Fruit & Vegetables,,1499475,120g,Coles
