name,price,product_url,image_url,category,subcategory,product_id,size,brand
Oral B Io 3 Series Ultimate Clean Electric Toothbrush | 1 Pack,$99.50,https://www.coles.com.au/product/oral-b-io-3-series-ultimate-clean-electric-toothbrush-1-pack-5930098,https://cdn.productimages.coles.com.au/productimages/5/5930098.jpg,Health & Beauty,,5930098,1,Oral-B Parts
Pantene Pro-v Miracle Oil Treatment | 90mL,$20.00,https://www.coles.com.au/product/pantene-pro-v-miracle-oil-treatment-90ml-3979686,https://cdn.productimages.coles.com.au/productimages/3/3979686.jpg,Health & Beauty,,3979686,90mL,Pantene
Sukin Signature Travel Pack | 5 Pack,$22.00,https://www.coles.com.au/product/sukin-signature-travel-pack-5-pack-3768705,https://cdn.productimages.coles.com.au/productimages/3/3768705.jpg,Health & Beauty,,3768705,5,Sukin
Pantene Love Your Smooth Leave In Crme Treatment | 270mL,$15.00,https://www.coles.com.au/product/pantene-love-your-smooth-leave-in-crme-treatment-270ml-3979711,https://cdn.productimages.coles.com.au/productimages/3/3979711.jpg,Health & Beauty,,3979711,270mL,Pantene
Rexona Men Deodorant 72hr Advanced Aerosol Sport | 220mL,$10.50,https://www.coles.com.au/product/rexona-men-deodorant-72hr-advanced-aerosol-sport-220ml-3660811,https://cdn.productimages.coles.com.au/productimages/3/3660811.jpg,Health & Beauty,,3660811,220mL,Rexona
Rexona Clinical Protection Summer Strength | 180mL,$6.00,https://www.coles.com.au/product/rexona-clinical-protection-summer-strength-180ml-3363940,https://cdn.productimages.coles.com.au/productimages/3/3363940.jpg,Health & Beauty,,3363940,180mL,Rexona
Rexona Men Deodorant 48hr Aerosol Sport Fresh | 250mL,$4.25,https://www.coles.com.au/product/rexona-men-deodorant-48hr-aerosol-sport-fresh-250ml-3054072,https://cdn.productimages.coles.com.au/productimages/3/3054072.jpg,Health & Beauty,,3054072,250mL,Rexona
Head & Shoulders Itchy Scalp 2 In 1 Shampoo & Conditioner | 350mL,$15.00,https://www.coles.com.au/product/head-and-shoulders-itchy-scalp-2-in-1-shampoo-and-conditioner-350ml-3980200,https://cdn.productimages.coles.com.au/productimages/3/3980200.jpg,Health & Beauty,,3980200,350mL,Head & Shoulders
Dove Women Deodorant 48hr Aerosol Fresh | 250mL,$9.50,https://www.coles.com.au/product/dove-women-deodorant-48hr-aerosol-fresh-250ml-8082574,https://cdn.productimages.coles.com.au/productimages/8/8082574.jpg,Health & Beauty,,8082574,250mL,Dove
Claratyne Allergy Hayfever Relief Antihistamine ... 10 pack,$10.50,https://www.coles.com.au/product/claratyne-allergy-hayfever-relief-antihistamine-tablets-10-pack-2861738,https://cdn.productimages.coles.com.au/productimages/2/2861738.jpg,Health & Beauty,,2861738,,Claratyne
E.l.f. Lip Liner Pinky Swear | 1g,$6.00,https://www.coles.com.au/product/e.l.f.-lip-liner-pinky-swear-1g-8077596,https://cdn.productimages.coles.com.au/productimages/8/8077596.jpg,Health & Beauty,,8077596,1g,E.l.f.
Oral B Io2 Electric Toothbrush White | 1 Pack,$80.00,https://www.coles.com.au/product/oral-b-io2-electric-toothbrush-white-1-pack-9069083,https://cdn.productimages.coles.com.au/productimages/9/9069083.jpg,Health & Beauty,,9069083,1,Oral-B Parts
Oral B Io2 Electric Toothbrush Black | 1 Pack,$80.00,https://www.coles.com.au/product/oral-b-io2-electric-toothbrush-black-1-pack-9069072,https://cdn.productimages.coles.com.au/productimages/9/9069072.jpg,Health & Beauty,,9069072,1,Oral-B Parts
Oral B Pro 1500x Sensitive Clean Electric Toothbrush Whi ... 1 Pack,$65.00,https://www.coles.com.au/product/oral-b-pro-1500x-sensitive-clean-electric-toothbrush-white-1-pack-7535571,https://cdn.productimages.coles.com.au/productimages/7/7535571.jpg,Health & Beauty,,7535571,,Oral-B Parts
Oral B Pro 800 Cross Action Electric Toothbrush Black | 1 Pack,$50.00,https://www.coles.com.au/product/oral-b-pro-800-cross-action-electric-toothbrush-black-1-pack-3986353,https://cdn.productimages.coles.com.au/productimages/3/3986353.jpg,Health & Beauty,,3986353,1,Oral-B Parts
Oral B Pro 100 Deep Clean Electric Toothbrush + 4 ... 1 Pack,$49.50,https://www.coles.com.au/product/oral-b-pro-100-deep-clean-electric-toothbrush-+-4-replacement-head-starter-kit-1-pack-8785858,https://cdn.productimages.coles.com.au/productimages/8/8785858.jpg,Health & Beauty,,8785858,,Oral-B Parts
Oral B Pro 100 Gum Care Electric Toothbrush White | 1 Pack,$40.00,https://www.coles.com.au/product/oral-b-pro-100-gum-care-electric-toothbrush-white-1-pack-3411078,https://cdn.productimages.coles.com.au/productimages/3/3411078.jpg,Health & Beauty,,3411078,1x100G,Oral-B Parts
Oral B Pro100 Cross Action Electric Toothbrush Bla ... 1 Pack,$40.00,https://www.coles.com.au/product/oral-b-pro100-cross-action-electric-toothbrush-black-1-pack-3401813,https://cdn.productimages.coles.com.au/productimages/3/3401813.jpg,Health & Beauty,,3401813,,Oral-B Parts
