name,price,product_url,image_url,category,subcategory,product_id,size,brand
Coles Graze Lamb Leg Roast Half | approx. 1.8kg,$27.00,https://www.coles.com.au/product/coles-graze-lamb-leg-roast-half-approx.-1.8kg-3693843,https://cdn.productimages.coles.com.au/productimages/3/3693843.jpg,Meat & Seafood,,3693843,approx. 1.8kg,Coles
Huon Premium Tasmanian Salmon Steak Skin On 200g | 200g,$9.50,https://www.coles.com.au/product/huon-premium-tasmanian-salmon-steak-skin-on-200g-200g-7991457,https://cdn.productimages.coles.com.au/productimages/7/7991457.jpg,Meat & Seafood,,7991457,200g,Huon
Huon Japanese Infusion Salmon Portion | 200g,$9.50,https://www.coles.com.au/product/huon-japanese-infusion-salmon-portion-200g-8909349,https://cdn.productimages.coles.com.au/productimages/8/8909349.jpg,Meat & Seafood,,8909349,200g,Huon
Tassal Salmon Portions Skin On | 300g,$18.00,https://www.coles.com.au/product/tassal-salmon-portions-skin-on-300g-5285371,https://cdn.productimages.coles.com.au/productimages/5/5285371.jpg,Meat & Seafood,,5285371,300g,Tassal
Tassal Fresh Tassie Salmon Portions Skin Off | 300g,$15.00,https://www.coles.com.au/product/tassal-fresh-tassie-salmon-portions-skin-off-300g-5285280,https://cdn.productimages.coles.com.au/productimages/5/5285280.jpg,Meat & Seafood,,5285280,300g,Tassal
The Bare Bird Whole Chicken | approx. 1.6kg,$12.00,https://www.coles.com.au/product/the-bare-bird-whole-chicken-approx.-1.6kg-each-3091126,https://cdn.productimages.coles.com.au/productimages/3/3091126.jpg,Meat & Seafood,,3091126,approx. 1.6kg,The Bare Bird
The Bare Bird Chicken Tenderloins | 480g,$13.50,https://www.coles.com.au/product/the-bare-bird-chicken-tenderloins-480g-7382528,https://cdn.productimages.coles.com.au/productimages/7/7382528.jpg,Meat & Seafood,,7382528,480g,The Bare Bird
The Bare Bird Boneless Butterflied Chicken | 800g,$13.50,https://www.coles.com.au/product/the-bare-bird-boneless-butterflied-chicken-800g-4462020,https://cdn.productimages.coles.com.au/productimages/4/4462020.jpg,Meat & Seafood,,4462020,800g,The Bare Bird
Tassal Salmon Portions Mustard And Dill | 300g,$18.00,https://www.coles.com.au/product/tassal-salmon-portions-mustard-and-dill-300g-5286625,https://cdn.productimages.coles.com.au/productimages/5/5286625.jpg,Meat & Seafood,,5286625,300g,Tassal
Tassal Tasmanian Smoked Salmon | 250g,$15.00,https://www.coles.com.au/product/tassal-tasmanian-smoked-salmon-250g-3477123,https://cdn.productimages.coles.com.au/productimages/3/3477123.jpg,Meat & Seafood,,3477123,250g,Tassal
Coles Finest Lamb Backstrap | approx. 226g,$10.17,https://www.coles.com.au/product/coles-finest-lamb-backstrap-approx.-226g-6841324,https://cdn.productimages.coles.com.au/productimages/6/6841324.jpg,Meat & Seafood,,6841324,approx. 226g,Coles Finest
Coles Finest Lamb Hand Cut Frenched Cutlets | approx. 208g,$8.32,https://www.coles.com.au/product/coles-finest-lamb-hand-cut-frenched-cutlets-approx.-208g-6841357,https://cdn.productimages.coles.com.au/productimages/6/6841357.jpg,Meat & Seafood,,6841357,approx. 208g,Coles Finest
Coles RSPCA Approved Chicken Mince | 500g,$6.00,https://www.coles.com.au/product/coles-rspca-approved-chicken-mince-500g-4352145,https://cdn.productimages.coles.com.au/productimages/4/4352145.jpg,Meat & Seafood,,4352145,500g,Coles
Coles The Original Beef Sausages | 550g,$6.50,https://www.coles.com.au/product/coles-the-original-beef-sausages-550g-3923626,https://cdn.productimages.coles.com.au/productimages/3/3923626.jpg,Meat & Seafood,,3923626,550g,Coles
Coles RSPCA Approved Chicken Breast Mince | 500g,$7.50,https://www.coles.com.au/product/coles-rspca-approved-chicken-breast-mince-500g-8428646,https://cdn.productimages.coles.com.au/productimages/8/8428646.jpg,Meat & Seafood,,8428646,500g,Coles
