title,price,size,productUrl,imageUrl,category,brand
Alula Advance+ Stage 1 Newborn Infant Formula 0-6 Months,$44.00,800g,https://www.igashop.com.au/product/647080,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/647080.jpg",Birth to 6 Months,Alula
Alula Advance+ Stage 2 Follow-On Formula 6-12 Months,$44.00,800g,https://www.igashop.com.au/product/647103,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/647103.jpg",6-12 Months,Alula
Alula Gold Reflux Infant Formula 0-12 Months,$32.00,900g,https://www.igashop.com.au/product/160000018228,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000018228.jpg",6-12 Months,Alula
Alula Gold Soy Infant Formula 0-12 Months,$29.00,900g,https://www.igashop.com.au/product/933575,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/933575.jpg",6-12 Months,Alula
Alula S-26 Gold Lactose Intolerance Infant Formula 0-12 Months,$28.80,900g,https://www.igashop.com.au/product/150000007693,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/150000007693.jpg",6-12 Months,Alula
Alula S-26 Gold Stage 2 Follow-On Formula 6-12 Months,$28.50,900g,https://www.igashop.com.au/product/170000004671,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/170000004671.jpg",6-12 Months,Alula
Alula S-26 Gold Stage 3 Toddler Milk Drink 1 Year+,$24.50,900g,https://www.igashop.com.au/product/170000004672,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/170000004672.jpg",12+ Months,Alula
Alula S-26 Gold Stage 4 Junior Milk Drink 2 Years+,$24.50,900g,https://www.igashop.com.au/product/170000004673,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/170000004673.jpg",12+ Months,Alula
Alula S-26 Original Stage 1 Newborn Infant Formula 0-6 Months,$20.00,900g,https://www.igashop.com.au/product/170000004674,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/170000004674.jpg",6-12 Months,Alula
Alula S-26 Original Stage 2 Follow-On Formula 6-12 Months,$20.00,900g,https://www.igashop.com.au/product/170000004675,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/170000004675.jpg",6-12 Months,Alula
Alula S-26 Original Stage 3 Toddler Milk Drink 1 Year+,$20.00,900g,https://www.igashop.com.au/product/170000004670,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/170000004670.jpg",12+ Months,Alula
Amolin Baby Nappy Rash Cream,$8.00,100g,https://www.igashop.com.au/product/53192,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/53192.jpg",Baby Wipes and Changing,Amolin
Annabel Karmel Meals Cottage Pie,$4.30,200g,https://www.igashop.com.au/product/431560,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/431560.jpg",12+ Months,Annabel Karmel
Aptamil Gold+ 1 Pronutra Biotik Baby Infant Formula From Birth to 6 Months,$30.00,900g,https://www.igashop.com.au/product/88715,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/88715.jpg",Birth to 6 Months,Aptamil
