title,price,size,productUrl,imageUrl,category,brand
Abbott's Bakery Country Grains Bread,$5.20,800g,https://www.igashop.com.au/product/442626,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/442626.jpg",Packaged Bread,Abbott's Bakery
Abbott's Bakery Farmhouse Wholemeal Bread,$5.20,750g,https://www.igashop.com.au/product/811082,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/811082.jpg",Packaged Bread,Abbott's Bakery
Abbott's Bakery Gluten Free Farmhouse Wholemeal Bread,$7.90,500g,https://www.igashop.com.au/product/808644,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/808644.jpg",Packaged Bread,Abbott's Bakery
Abbott's Bakery Gluten Free Mixed Seeds Bread,$7.90,500g,https://www.igashop.com.au/product/670101,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/670101.jpg",Packaged Bread,Abbott's Bakery
Abbott's Bakery Gluten Free Rustic White,$7.90,500g,https://www.igashop.com.au/product/443949,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/443949.jpg",Packaged Bread,Abbott's Bakery
Abbott's Bakery Gluten Free Sourdough Grains & Seeds Bread,$8.25,500g,https://www.igashop.com.au/product/170000000047,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/170000000047.jpg",Packaged Bread,Abbott's Bakery
Abbott's Bakery Gluten Free Soy & Linseed,$7.90,500g,https://www.igashop.com.au/product/670119,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/670119.jpg",Packaged Bread,Abbott's Bakery
Abbott's Bakery Light Rye Bread,$5.20,680g,https://www.igashop.com.au/product/811090,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/811090.jpg",Packaged Bread,Abbott's Bakery
Abbott's Bakery Rustic White Bread,$5.20,700g,https://www.igashop.com.au/product/442595,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/442595.jpg",Packaged Bread,Abbott's Bakery
Abbott's Bakery Sourdough Rye Loaf,$5.50,760g,https://www.igashop.com.au/product/810167,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/810167.jpg",Packaged Bread,Abbott's Bakery
Abbotts Bakery Bread High Protein Soy Chickpea Quinoa,$5.80,700g,https://www.igashop.com.au/product/1800000069930,,Packaged Bread,Abbott's Bakery
Abbotts Bakery Bread Lower Carb White,$5.80,600g,https://www.igashop.com.au/product/1800000069931,,Packaged Bread,Abbott's Bakery
Abe's Bagel Blueberry,$7.70,4,https://www.igashop.com.au/product/180000000368,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000368.jpg",Rolls and Bagels,Abe's
Abe's Bagel Natural,$7.70,4,https://www.igashop.com.au/product/180000000352,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000352.jpg",Rolls and Bagels,Abe's
Allied Mills Donut Jam Mini,$0.60,25g,https://www.igashop.com.au/product/897596,,Cookies and Donuts,Allied Mills
Baked Provision Cake Carrot Slice,$7.55,135g,https://www.igashop.com.au/product/433800,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/433800.jpg","Cake, Pastries & Desserts",Baked Provisions
Baked Provision Cream & Custard Horn,$7.20,200g,https://www.igashop.com.au/product/251902,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/251902.jpg","Cake, Pastries & Desserts",Baked Provisions
Baked Provision Donut Jam & Cream,$7.20,150g,https://www.igashop.com.au/product/244549,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/244549.jpg",Cookies and Donuts,Baked Provisions
Baked Provision Log Apple Crumble,$9.45,400g,https://www.igashop.com.au/product/305345,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/305345.jpg","Cake, Pastries & Desserts",Baked Provisions
Baked Provision Log Carrot Cake,$9.45,500g,https://www.igashop.com.au/product/305510,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/305510.jpg","Cake, Pastries & Desserts",Baked Provisions
Baked Provisions Apple Pie,$7.20,380g,https://www.igashop.com.au/product/1800000068812,,"Pastries, Cakes and Desserts",Baked Provisions
Baked Provisions Apple Pie,$7.60,360g,https://www.igashop.com.au/product/20000000566,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000000566.jpg","Cake, Pastries & Desserts",Baked Provisions
Baked Provisions Bacon & Cheese Roll,$7.50,300g,https://www.igashop.com.au/product/20000000581,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000000581.jpg",Rolls and Bagels,Baked Provisions
Baked Provisions Beef & Jalapeno Cheese Roll,$7.50,340g,https://www.igashop.com.au/product/180000005025,,Rolls,Baked Provisions
Baked Provisions Beesting Log Cake,$9.45,340g,https://www.igashop.com.au/product/20000000571,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000000571.jpg","Cake, Pastries & Desserts",Baked Provisions
Baked Provisions Caramel Slice,$7.60,220g,https://www.igashop.com.au/product/20000000582,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000000582.jpg","Cake, Pastries & Desserts",Baked Provisions
Baked Provisions Chicken & Curry Pies,$8.20,420g,https://www.igashop.com.au/product/687886,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/687886.jpg","Cake, Pastries & Desserts",Baked Provisions
Baked Provisions Chocolate Fudge Brownie,$7.20,230g,https://www.igashop.com.au/product/20000000567,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000000567.jpg","Cake, Pastries & Desserts",Baked Provisions
Baked Provisions Chocolate Fudge Brownie ,$7.20,220g,https://www.igashop.com.au/product/1800000068814,,"Pastries, Cakes and Desserts",Baked Provisions
Baked Provisions Chocolate Mud Slice 240,$7.20,240g,https://www.igashop.com.au/product/20000000584,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000000584.jpg","Cake, Pastries & Desserts",Baked Provisions
Baked Provisions Cream & Custard Horn,$7.20,170g,https://www.igashop.com.au/product/1800000068957,,Donuts and Cookies,Baked Provisions
Baked Provisions Custard Tart,$7.55,2,https://www.igashop.com.au/product/20000004767,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000004767.jpg","Pastries, Cakes and Desserts",Baked Provisions
Baked Provisions Custard Tart ,$7.20,260g,https://www.igashop.com.au/product/1800000068815,,"Pastries, Cakes and Desserts",Baked Provisions
Baked Provisions Donut Chocolate & Cream,$7.20,150g,https://www.igashop.com.au/product/20000000568,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000000568.jpg","Cake, Pastries & Desserts",Baked Provisions
Baked Provisions Donut Custard Cream,$7.20,150g,https://www.igashop.com.au/product/20000000569,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000000569.jpg","Cake, Pastries & Desserts",Baked Provisions
Baked Provisions Eclair Cream,$7.60,150g,https://www.igashop.com.au/product/248365,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/248365.jpg",Cookies and Donuts,Baked Provisions
Baked Provisions ECLAIR CUST CRM180GM,$7.60,180g,https://www.igashop.com.au/product/20000000570,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000000570.jpg","Cake, Pastries & Desserts",Baked Provisions
Baked Provisions Log Black Forest,$9.45,360g,https://www.igashop.com.au/product/305227,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/305227.jpg","Cake, Pastries & Desserts",Baked Provisions
Baked Provisions Mud Cake Log,$9.45,400g,https://www.igashop.com.au/product/20000000573,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000000573.jpg","Cake, Pastries & Desserts",Baked Provisions
Baked Provisions Mud Choc Slice ,$7.20,210g,https://www.igashop.com.au/product/1800000068813,,"Pastries, Cakes and Desserts",Baked Provisions
Baked Provisions Orange & Poppy Seed Log Cake,$9.45,400g,https://www.igashop.com.au/product/20000000574,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000000574.jpg","Cake, Pastries & Desserts",Baked Provisions
Baked Provisions PIE STK MSHROM 420GM,$8.20,420g,https://www.igashop.com.au/product/20000000577,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000000577.jpg","Cake, Pastries & Desserts",Baked Provisions
Baked Provisions Pork & Fennel Roll,$7.50,340g,https://www.igashop.com.au/product/180000005029,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000005029.jpg",Rolls,Baked Provisions
Baked Provisions Spinach & Ricotta Roll,$7.50,300g,https://www.igashop.com.au/product/20000000585,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000000585.jpg",Rolls and Bagels,Baked Provisions
Baked Provisions Spinach Quiche,$8.20,300g,https://www.igashop.com.au/product/20000000580,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000000580.jpg","Cake, Pastries & Desserts",Baked Provisions
Baked Provisions Steak & Onion Pie,$8.20,420g,https://www.igashop.com.au/product/20000000578,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000000578.jpg","Cake, Pastries & Desserts",Baked Provisions
Baked Provisions Steak & Potato Pie,$8.20,560g,https://www.igashop.com.au/product/20000000579,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000000579.jpg","Cake, Pastries & Desserts",Baked Provisions
Baked Provisions Steak Chilli Pie,$8.20,420g,https://www.igashop.com.au/product/20000000576,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000000576.jpg","Cake, Pastries & Desserts",Baked Provisions
Baker's Choice Passionfruit Kisses,$8.95,200g,https://www.igashop.com.au/product/180000000754,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000754.jpg",Donuts and Cookies,Baker's Choice
Baker's Oven Chocolate Sponge Roll,$4.00,400g,https://www.igashop.com.au/product/906463,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/906463.jpg","Cake, Pastries & Desserts",Baker's Oven
