title,price,size,productUrl,imageUrl,category,brand
A2 Full Cream Milk,$6.90,2l,https://www.igashop.com.au/product/882761,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/882761.jpg",Full Cream,a2
A2 Light Milk,$6.90,2l,https://www.igashop.com.au/product/882614,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/882614.jpg",Skim and Low Fat Milk,a2
A2 Light Milk,$3.90,1l,https://www.igashop.com.au/product/882703,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/882703.jpg",Skim and Low Fat Milk,a2
A2 Milk Full Cream,$3.90,1l,https://www.igashop.com.au/product/882575,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/882575.jpg",Full Cream,a2
A2 Milk Full Cream Milk,$9.90,3l,https://www.igashop.com.au/product/726347,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/726347.jpg",Full Cream,A2 Milk
A2 Milk Lactose Free Full Cream Milk,$6.90,2l,https://www.igashop.com.au/product/87769,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/87769.jpg",Full Cream,a2
A2 Milk Lactose Free Full Cream Milk,$3.90,1l,https://www.igashop.com.au/product/87934,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/87934.jpg",Full Cream,a2
A2 Milk Lactose Free Light Milk,$6.90,2l,https://www.igashop.com.au/product/87895,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/87895.jpg",Skim and Low Fat Milk,a2
A2 Milk Lactose Free Light Milk,$3.90,1l,https://www.igashop.com.au/product/87942,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/87942.jpg",Skim and Low Fat Milk,a2
A2 Milk Light Milk,$9.90,3l,https://www.igashop.com.au/product/449063,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/449063.jpg",Skim and Low Fat Milk,a2
Activa Yoghurt Berries,$6.00,4,https://www.igashop.com.au/product/131262,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/698625.jpg",Flavoured Yoghurt,Activa
Active Expert Lemon Dishwashing Liquid,$3.00,900ml,https://www.igashop.com.au/product/340599,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/340599.jpg",Flavoured Yoghurt,Activia Danone
Allowrie Butter,$5.20,250g,https://www.igashop.com.au/product/128816,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/128816.jpg",Spreads,Allowrie
Allowrie Unsalted Pat Butter,$5.20,250g,https://www.igashop.com.au/product/100402,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/100402.jpg",Spreads,Allowrie
Arnott's Jatz & Tasty Cheese,$3.00,4,https://www.igashop.com.au/product/637807,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/637807.jpg",Snacking Cheese,Arnott's
Ashgrove Herb & Garlic Butter,$9.65,250g,https://www.igashop.com.au/product/9247,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/9247.jpg",Spreads,Ashgrove
Aunt Betty's Chocolate Steamy Puds,$4.00,2,https://www.igashop.com.au/product/794125,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/794125.jpg","Cream, Custards and Desserts",Aunt Betty's
Aunty Kath's 100s & 1000s Cookie Dough,$7.50,450g,https://www.igashop.com.au/product/228852,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/228852.jpg",Chilled Bread,Aunty Kath's
Aunty Kath's Cookie Dough Choc Chip,$8.00,450g,https://www.igashop.com.au/product/190936,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/190936.jpg","Cream, Custards and Desserts",Aunty Kath's
Aunty Kath's Cookie Dough M&Ms,$8.00,450g,https://www.igashop.com.au/product/191089,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/191089.jpg","Cream, Custards and Desserts",Aunty Kath's
Aunty Kath's Peanut Butter Cookie Dough,$7.50,450g,https://www.igashop.com.au/product/228849,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/228849.jpg",Chilled Bread,Aunty Kath's
Australian Gold Long Life Camembert,$4.50,115g,https://www.igashop.com.au/product/183691,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/183691.jpg",Brie and Soft Cheese,Australian Gold
Australian Gold Longlife Creamy Brie,$4.50,115g,https://www.igashop.com.au/product/183688,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/183688.jpg",Brie and Soft Cheese,Australian Gold
Babybel Cheese,$6.25,100g,https://www.igashop.com.au/product/180000006209,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000006209.jpg",Snacking Cheese,Babybel
Babybel Cheese Mini Rolls Original,$7.00,102g,https://www.igashop.com.au/product/1800000068001,,Snacking Cheese,Babybel
Babybel Mini Cheese 5 Portions,$6.25,100g,https://www.igashop.com.au/product/110180,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/110180.jpg",Snacking Cheese,Babybel
Babybel Mini Protein Cheeses,$6.25,100g,https://www.igashop.com.au/product/317614,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/317614.jpg",Snacking Cheese,Babybel
Baked Provisions Chicken & Vegetable Pie,$6.00,420g,https://www.igashop.com.au/product/305078,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/305078.jpg",Ready to Eat Meals,Baked Provisions
Baked Provisions Homestyle Sausage Roll,$7.50,300g,https://www.igashop.com.au/product/256156,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/256156.jpg",Ready to Eat Meals,Baked Provisions
Baked Provisions Meat & Vegetable Pastie,$8.20,2,https://www.igashop.com.au/product/304365,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/304365.jpg",Ready to Eat Meals,Baked Provisions
Baked Provisions Pepper Steak Pie,$8.20,2,https://www.igashop.com.au/product/304446,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/304446.jpg",Ready to Eat Meals,Baked Provisions
Baked Provisions Steak Cheese & Bacon Pie,$8.20,420g,https://www.igashop.com.au/product/304608,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/304608.jpg",Ready to Eat Meals,Baked Provisions
Baked Provisions Steak Curry Pie,$8.20,420g,https://www.igashop.com.au/product/304551,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/304551.jpg",Ready to Eat Meals,Baked Provisions
Baked Provisions Steak Pies Twin Pack,$8.20,420g,https://www.igashop.com.au/product/304399,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/304399.jpg",Ready to Eat Meals,Baked Provisions
Bega Cheese Burger Slices,$5.40,250g,https://www.igashop.com.au/product/735184,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/735184.jpg",Sliced Cheese,Bega
Bega Cheese Slices Regular,$4.80,216g,https://www.igashop.com.au/product/734277,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/734277.jpg",Sliced Cheese,Bega
Bega Cheese So Light Block,$9.50,500g,https://www.igashop.com.au/product/1800000068276,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000068276.jpg",Cheese Blocks,Bega
Bega Cheese Sticks,$5.80,240g,https://www.igashop.com.au/product/502735,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/502735.jpg",Snacking Cheese,Bega
Bega Cheese Toastie,$6.50,250g,https://www.igashop.com.au/product/1800000068142,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000068142.jpg",Cheese Blocks,Bega
Bega Country Light Tasty 25% Less Fat Natural Cheese Slices,$11.00,30,https://www.igashop.com.au/product/180708,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180708.jpg",Sliced Cheese,Bega
Bega Country Light Tasty 50% Less Fat Natural Cheese Slices,$6.50,15,https://www.igashop.com.au/product/180669,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180669.jpg",Sliced Cheese,Bega
Bega Country Light Tasty Grated Cheese,$9.50,500g,https://www.igashop.com.au/product/150897,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/150897.jpg",Grated Cheese,Bega
Bega Country Light Vintage Cheese,$9.50,500g,https://www.igashop.com.au/product/181856,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/181856.jpg",Cheese Blocks,Bega
Bega Easy Melt Colby Natural Cheese Slices,$6.50,15,https://www.igashop.com.au/product/34520,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/34520.jpg",Sliced Cheese,Bega
Bega Farmer's Tasty Cheese Family Value Pack,$16.00,1kg,https://www.igashop.com.au/product/101238,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/101238.jpg",Cheese Blocks,Bega
