title,price,size,productUrl,imageUrl,category,brand
Bacon Streaky,$23.00/kg,1kg,https://www.igashop.com.au/product/80072025,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80072025.jpg","Ham, Bacon, Salami and Sliced Meats",Unknown
Berliner,$20.00/kg,1kg,https://www.igashop.com.au/product/80072004,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80072004.jpg","Ham, Bacon, Salami and Sliced Meats",Unknown
Cabanossi,$21.50/kg,1kg,https://www.igashop.com.au/product/80072074,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80072074.jpg",Sausages and Frankfurts,Unknown
Chilli Chicken Slices,$38.00/kg,1kg,https://www.igashop.com.au/product/80072077,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80072077.jpg","Ham, Bacon, Salami and Sliced Meats",Unknown
Chilli Turkey Slices,$36.00/kg,1kg,https://www.igashop.com.au/product/80072079,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80072079.jpg","Ham, Bacon, Salami and Sliced Meats",Unknown
Devon,$9.50/kg,1kg,https://www.igashop.com.au/product/80072003,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80072003.jpg","Ham, Bacon, Salami and Sliced Meats",Unknown
Ham Deluxe,$23.00/kg,1kg,https://www.igashop.com.au/product/80072064,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80072064.jpg","Ham, Bacon, Salami and Sliced Meats",Unknown
KR Castlemaine Cocktail Frankfurts Skin On,$9.90,2,https://www.igashop.com.au/product/50364,,Sausages and Frankfurts,KR Castlemaine
KR Castlemaine Franks Skin-On,$9.90,2,https://www.igashop.com.au/product/50437,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/50437.jpg",Sausages and Frankfurts,KR Castlemaine
Lite Ham,$18.00/kg,1kg,https://www.igashop.com.au/product/80072065,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80072065.jpg","Ham, Bacon, Salami and Sliced Meats",Unknown
Ocean Blue Smoked Salmon,$13.50,180g,https://www.igashop.com.au/product/160000002405,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000002405.jpg",Smoked Salmon and Seafood,Ocean Blue
Ocean King Smoked Salmon ,$8.00,100g,https://www.igashop.com.au/product/1800000069996,,Smoked Salmon and Seafood,Ocean King
Ocean King Smoked Salmon ,$14.00,200g,https://www.igashop.com.au/product/1800000069997,,Smoked Salmon and Seafood,Ocean King
Primo Reserve Classic Kransky Heat'N'Eat ,$5.80,250g,https://www.igashop.com.au/product/1800000069987,,Sausages and Frankfurts,Primo
Salami Chilli,$32.00/kg,1kg,https://www.igashop.com.au/product/80072026,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80072026.jpg","Ham, Bacon, Salami and Sliced Meats",Unknown
Tassal Salmon Smoked Lemon,$8.45,90g,https://www.igashop.com.au/product/895502,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/895502.jpg",Smoked Salmon and Seafood,Tassal
Tassal Tasmanian Smoked Salmon Slices,$9.30,100g,https://www.igashop.com.au/product/146262,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/146262.jpg",Smoked Salmon and Seafood,Tassal
