title,price,size,productUrl,imageUrl,category,brand
Cadbury Drink Chocolate,$5.50,250g,https://www.igashop.com.au/product/235113,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/235113.jpg",Hot Drinks,Cadbury
Cadbury Drinking Chocolate,$7.00,450g,https://www.igashop.com.au/product/160000011328,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000011328.jpg",Hot Drinks,Cadbury
4 Pines Ultra Low Beer Cans,$12.75,4,https://www.igashop.com.au/product/180000001739,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000001739.jpg",Non-Alcoholic,4 Pines
7Up Lemonade Soda,$2.00,1.25l,https://www.igashop.com.au/product/428622,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/428622.jpg",Flavoured Soft Drinks,7Up
A2 Milk Long Life Full Cream Milk,$3.90,1l,https://www.igashop.com.au/product/574376,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/574376.jpg",Lactose Free Milk,a2
Alani Energy Drink Breezeberry ,$4.50,355ml,https://www.igashop.com.au/product/980242,,Energy Drinks,Alani
Alani Energy Drink Cosmic Stardust ,$4.50,355ml,https://www.igashop.com.au/product/980255,,Energy Drinks,Alani
Alani Energy Drink Dream Float,$4.50,355ml,https://www.igashop.com.au/product/980268,,Energy Drinks,Alani
Alani Energy Drinks Juicy Peach,$4.50,355ml,https://www.igashop.com.au/product/180000005645,,Energy Drinks,Alani
Aleo Mate Original,$5.10,1.5l,https://www.igashop.com.au/product/190000004219,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/190000004219.jpg",Lifestyle Beverages,Aloe Mate
Allpress Coffee Still Iced Coffee,$5.00,4,https://www.igashop.com.au/product/180000002836,,Iced Coffee,Allpress
Aloe Mate Aloe Vera Lychee,$3.40,500ml,https://www.igashop.com.au/product/20000003193,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000003193.jpg",Lifestyle Beverages,Aloe Mate
Aloe Mate Aloe Vera Mango,$3.40,500ml,https://www.igashop.com.au/product/20000003315,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000003315.jpg",Juices,Aloe Mate
Aqua Pura Fruit Splash Tropical,$2.65,1l,https://www.igashop.com.au/product/722123,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/722123.jpg",Flavoured Water,Aqua Pura
Aqua Pura Fruit Splash Wildberry,$2.65,1l,https://www.igashop.com.au/product/722110,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/722110.jpg",Flavoured Water,Aqua Pura
Aqua Pura Pure Water,$2.00,1l,https://www.igashop.com.au/product/722102,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/722102.jpg",Still Water,Aqua Pura
Ardmona Apricot Nectar Fruit Drink,$2.20,405ml,https://www.igashop.com.au/product/863217,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/863217.jpg",Juices,Ardmona
Arkadia Chai Spice,$8.10,240g,https://www.igashop.com.au/product/3497,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/3497.jpg",Hot Drinks,Arkadia
Arkadia Chai Tea Matcha,$7.70,220g,https://www.igashop.com.au/product/160000012719,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000012719.jpg",Hot Drinks,Arkadia
Arkadia Chai Vanilla,$7.70,240g,https://www.igashop.com.au/product/3498,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/3498.jpg",Hot Drinks,Arkadia
Arkadia Dirty Chai Espresso,$8.10,240g,https://www.igashop.com.au/product/608099,,Specialty Coffee,Arkadia
Arkadia Drinking Chocolate,$6.70,250g,https://www.igashop.com.au/product/160000012725,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000012725.jpg",Hot Drinks,Arkadia
