title,price,size,productUrl,imageUrl,category,brand
Altimate Extra Thick Ice Cream Wafers,$4.80,80g,https://www.igashop.com.au/product/20000004747,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000004747.jpg",Multipacks,Altimate
Annabel Karmel Butter Chicken & Rice,$4.30,200g,https://www.igashop.com.au/product/749803,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/749803.jpg",Frozen Meals,Annabel Karmel
Annabel Karmel Macaroni & Cheese,$4.30,200g,https://www.igashop.com.au/product/749780,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/749780.jpg",Frozen Meals,Annabel Karmel
Annabel Karmel Pasta Bake Bolognese,$4.30,200g,https://www.igashop.com.au/product/431502,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/431502.jpg",Frozen Meals,Annabel Karmel
Antoniou Spinach Cheese 4s,$7.10,375g,https://www.igashop.com.au/product/20000004553,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000004553.jpg",Pies and Sausage Rolls,Antoniou
Aunt Betty's Sticky Date Steamy Puds,$4.00,2,https://www.igashop.com.au/product/794167,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/794167.jpg","Pies, Pastries and Puddings",Aunt Betty's
Baked Provisions Bacon & Cheese Roll,$6.00,350g,https://www.igashop.com.au/product/1800000068802,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000068802.jpg",Pies and Sausage Rolls,Baked Provisions
Baked Provisions Beef & Jalapeno Sausage Roll,$7.00,350g,https://www.igashop.com.au/product/1800000068805,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000068805.jpg",Pies and Sausage Rolls,Baked Provisions
Baked Provisions Chicken & Vegetable Pie,$6.00,440g,https://www.igashop.com.au/product/1800000068799,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000068799.jpg",Pies and Sausage Rolls,Baked Provisions
Baked Provisions Chicken Curry Pie ,$6.00,440g,https://www.igashop.com.au/product/1800000068798,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000068798.jpg",Pies and Sausage Rolls,Baked Provisions
Baked Provisions Ham & Cheese Quiche ,$8.00,360g,https://www.igashop.com.au/product/1800000068816,,Pastries and Quiches,Baked Provisions
Baked Provisions Homestyle Sausage Roll,$6.00,350g,https://www.igashop.com.au/product/1800000068800,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000068800.jpg",Pies and Sausage Rolls,Baked Provisions
Baked Provisions Meat & Vegetable Pastie,$8.00,400g,https://www.igashop.com.au/product/1800000068818,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000068818.jpg",Pastries and Quiches,Baked Provisions
Baked Provisions Pork & Fennel Sausage Roll ,$7.00,350g,https://www.igashop.com.au/product/1800000068804,,Pies and Sausage Rolls,Baked Provisions
Baked Provisions Spinach & Ricotta Roll,$6.00,340g,https://www.igashop.com.au/product/1800000068801,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000068801.jpg",Pies and Sausage Rolls,Baked Provisions
Baked Provisions Spinach Quiche ,$8.00,360g,https://www.igashop.com.au/product/1800000068817,,Pastries and Quiches,Baked Provisions
Baked Provisions Steak & Mushroom Pie ,$6.00,440g,https://www.igashop.com.au/product/1800000068793,,Pies and Sausage Rolls,Baked Provisions
Baked Provisions Steak & Onion Pie,$6.00,440g,https://www.igashop.com.au/product/1800000068792,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000068792.jpg",Pies and Sausage Rolls,Baked Provisions
Baked Provisions Steak Chilli Pie,$6.00,440g,https://www.igashop.com.au/product/1800000068795,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000068795.jpg",Pies and Sausage Rolls,Baked Provisions
Baked Provisions Steak Curry Pie,$6.00,440g,https://www.igashop.com.au/product/1800000068796,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000068796.jpg",Pies and Sausage Rolls,Baked Provisions
Baked Provisions Steak Pepper Pie,$6.00,440g,https://www.igashop.com.au/product/1800000068794,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000068794.jpg",Pies and Sausage Rolls,Baked Provisions
Baked Provisions Steak Pies ,$6.00,440g,https://www.igashop.com.au/product/1800000068791,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000068791.jpg",Pies and Sausage Rolls,Baked Provisions
Baked Provisions Steak Potato Pie,$6.00,560g,https://www.igashop.com.au/product/1800000068803,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000068803.jpg",Pies and Sausage Rolls,Baked Provisions
"Baked Provisions Steak, Bacon & Cheese Pies",$6.00,440g,https://www.igashop.com.au/product/1800000068797,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000068797.jpg",Pies and Sausage Rolls,Baked Provisions
Bakers Collection Vol Au Vent Bake-In-Tray ,$6.50,160g,https://www.igashop.com.au/product/1800000067386,,Pastries and Quiches,Bakers Collection
Balfours Sausage Roll Party,$10.20,12,https://www.igashop.com.au/product/184074,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/184074.jpg",Pies and Sausage Rolls,Balfours
Bells Pure Ice Bag,$5.80,5kg,https://www.igashop.com.au/product/272026,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/272026.jpg",Ice,Bellis
Ben & Jerry's Ice Cream Choco-Lotta Cheesecake Sundae,$9.45,427ml,https://www.igashop.com.au/product/1800000068244,,Ice Cream Tubs,Ben & Jerry's
Ben & Jerry's Ice Cream Chocolate Fudge Brownie,$9.45,458ml,https://www.igashop.com.au/product/268108,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/268108.jpg",Ice Cream Tubs,Ben & Jerry's
Ben & Jerry's Ice Cream Cookie Dough,$9.45,458ml,https://www.igashop.com.au/product/268158,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/268158.jpg",Ice Cream Tubs,Ben & Jerry's
Ben & Jerry's Ice Cream Coolection Brookie-Dough,$9.45,4,https://www.igashop.com.au/product/1800000068261,,Ice Cream Tubs,Ben & Jerry's
Ben & Jerry's Ice Cream Half Baked,$9.45,458ml,https://www.igashop.com.au/product/893704,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/893704.jpg",Premium Ice Cream,Ben & Jerry's
Ben & Jerry's Ice Cream Phish Food,$9.45,458ml,https://www.igashop.com.au/product/268462,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/268462.jpg",Ice Cream Tubs,Ben & Jerry's
Ben & Jerry's Ice Cream Spectaculove,$14.50,465ml,https://www.igashop.com.au/product/699977,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/699977.jpg",Premium Ice Cream,Ben & Jerry's
Ben & Jerry's Ice Cream The Tonight Dough,$9.45,458ml,https://www.igashop.com.au/product/268975,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/268975.jpg",Ice Cream Tubs,Ben & Jerry's
Ben & Jerry's Ice Cream Triple Caramel Chunk,$9.45,458ml,https://www.igashop.com.au/product/893699,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/893699.jpg",Ice Cream Tubs,Ben & Jerry's
Ben & Jerry's Non-Dairy Frozen Dessert Oat Chocolate Chip Cookie Dough,$9.45,458ml,https://www.igashop.com.au/product/562471,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/562471.jpg",Ice Cream Tubs,Ben & Jerry's
Bibigo Homestyle Pork Dumplings,$5.15,250g,https://www.igashop.com.au/product/553079,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/553079.jpg",Finger Food,Bibigo
Bibigo Steamed Pork Dumplings,$8.50,280g,https://www.igashop.com.au/product/557316,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/557316.jpg",Finger Food,Bibigo
Birds Eye Air Baked Barramundi,$11.65,250g,https://www.igashop.com.au/product/180000003506,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000003506.jpg",Fish Fillets,Birds Eye
Birds Eye Air Baked Deep Sea Dory,$11.65,380g,https://www.igashop.com.au/product/180000003511,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000003511.jpg",Fish Fillets,Birds Eye
Birds Eye Air Baked Flathead,$11.65,250g,https://www.igashop.com.au/product/180000003507,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000003507.jpg",Fish Fillets,Birds Eye
Birds Eye Air Baked Southern Blue Whiting,$11.65,380g,https://www.igashop.com.au/product/180000003510,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000003510.jpg",Fish Fillets,Birds Eye
Birds Eye Air Baked Whiting Fish Finger,$8.25,350g,https://www.igashop.com.au/product/180000003509,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000003509.jpg",Fish Fingers and Fish Cakes,Birds Eye
Birds Eye Baby Beans,$5.70,825g,https://www.igashop.com.au/product/180000005050,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000005050.jpg","Beans, Peas and Corn",Birds Eye
Birds Eye Baby Peas,$5.70,825g,https://www.igashop.com.au/product/180000005051,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000005051.jpg","Beans, Peas and Corn",Birds Eye
Birds Eye Beer Batter Chips,$5.20,750g,https://www.igashop.com.au/product/149773,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/149773.jpg",Chips,Birds Eye
Birds Eye Beer Battered Wedges,$5.20,750g,https://www.igashop.com.au/product/149561,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/149561.jpg",Wedges,Birds Eye
Birds Eye Birdseye Seasoned Sides Country Garden,$5.60,600g,https://www.igashop.com.au/product/20000006350,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000006350.jpg",Mixed Vegetables,Birds Eye
