title,price,size,productUrl,imageUrl,category,brand
Baby Capsicums,$5.90,175g,https://www.igashop.com.au/product/1800000069176,,"Tomatoes, Avocados, Capsicum and Mushrooms",Unknown
Enoki Mushrooms,$5.90,300g,https://www.igashop.com.au/product/1800000069177,,"Tomatoes, Avocados, Capsicum and Mushrooms",Unknown
Fresh Baby Corn,$4.90,115g,https://www.igashop.com.au/product/1800000069180,,"Peas, Beans, Corn and Asparagus",Unknown
Sweet Corn,$5.90,500g,https://www.igashop.com.au/product/1800000069181,,"Peas, Beans, Corn and Asparagus",Unknown
Alfalfa Beanshoots,$1.90,250g,https://www.igashop.com.au/product/180000000654,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000654.jpg","Garlic, Chillies and Fresh Herbs",Unknown
Apples Missile,$0.05 avg/ea,140g,https://www.igashop.com.au/product/80060229,,"Apples, Pears and Bananas",Unknown
Apricots,$2.98 avg/ea,200g,https://www.igashop.com.au/product/80060139,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80060139.jpg","Peaches, Nectarines, Melons & Mangoes",Unknown
Australian Grown Baby Beetroot,$4.90,250g,https://www.igashop.com.au/product/746033,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/746033.jpg",Carrots and Other Root Vegetables,Australian Grown
Avofresh Avocado,$6.90,160g,https://www.igashop.com.au/product/180000001388,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000001388.jpg","Tomatoes, Avocados, Capsicum and Mushrooms",Avofresh
Avofresh Avocado Lime & Black Pepper,$6.90,160g,https://www.igashop.com.au/product/1800000070501,,"Tomatoes, Avocados, Capsicum and Mushrooms",Avofresh
Avofresh Avocado Smashed,$6.90,160g,https://www.igashop.com.au/product/644561,,"Tomatoes, Avocados, Capsicum and Mushrooms",Avofresh
Avofresh Chunky Lemon,$6.90,160g,https://www.igashop.com.au/product/180000002046,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000002046.jpg","Tomatoes, Avocados, Capsicum and Mushrooms",Avofresh
Avofresh Classic Guacamole,$6.90,160g,https://www.igashop.com.au/product/180000002047,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000002047.jpg","Tomatoes, Avocados, Capsicum and Mushrooms",Avofresh
Avofrsh Avocado Soft Lemon,$6.90,160g,https://www.igashop.com.au/product/180000006115,,"Tomatoes, Avocados, Capsicum and Mushrooms",Avofresh
Baby Beetroot Prepack,$4.90,1,https://www.igashop.com.au/product/80050129,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80050129.jpg",Carrots and Other Root Vegetables,Unknown
Baby Broccoli Bunch,$3.00,1,https://www.igashop.com.au/product/80050001,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80050001.jpg","Broccoli, Cauliflower and Cabbage",Unknown
Baby Corn Prepack,$4.90,1,https://www.igashop.com.au/product/80050130,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80050130.jpg","Peas, Beans, Corn and Asparagus",Unknown
Bananas,$0.88 avg/ea,180g,https://www.igashop.com.au/product/80060017,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80060017.jpg","Apples, Pears and Bananas",Unknown
Basil Bunch,$5.90,1,https://www.igashop.com.au/product/80050078,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80050078.jpg","Garlic, Chillies and Fresh Herbs",Unknown
Bendigo Fresh Midi Cos Lettuce,$3.90,1,https://www.igashop.com.au/product/180000002150,,"Spinach, Lettuce, Greens and Kale",Bendigo Fresh
Blueberry Punnet,$3.90,125g,https://www.igashop.com.au/product/80050023,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80050023.jpg","Berries, Cherries and Grapes",Unknown
Bok Choy Asian Greens,$3.90,1,https://www.igashop.com.au/product/80050005,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80050005.jpg","Spinach, Lettuce, Greens and Kale",Unknown
Broccoli Floret,$2.35 avg/ea,340g,https://www.igashop.com.au/product/80060003,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80060003.jpg","Broccoli, Cauliflower and Cabbage",Unknown
Broccolini Bunch,$3.00,1,https://www.igashop.com.au/product/80050004,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80050004.jpg","Broccoli, Cauliflower and Cabbage",Unknown
Brown Onion,$0.70 avg/ea,180g,https://www.igashop.com.au/product/80060047,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80060047.jpg","Onions, Potatoes and Pumpkin",Unknown
Brushed Potato Prepack 2kg,$8.90,1,https://www.igashop.com.au/product/80050107,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80050107.jpg","Onions, Potatoes and Pumpkin",Unknown
Brushed Potato Prepack 5kg,$15.90,1,https://www.igashop.com.au/product/80050112,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80050112.jpg","Onions, Potatoes and Pumpkin",Unknown
Brushed Potatoes,$1.18 avg/ea,200g,https://www.igashop.com.au/product/80060057,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80060057.jpg","Onions, Potatoes and Pumpkin",Unknown
Brussel Sprouts,$5.73 avg/ea,250g,https://www.igashop.com.au/product/80060097,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80060097.jpg","Spinach, Lettuce, Greens and Kale",Unknown
Calypso Mango,$2.50,1,https://www.igashop.com.au/product/80050083,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80050083.jpg","Peaches, Nectarines, Melons & Mangoes",Unknown
Carrots,$0.49 avg/ea,170g,https://www.igashop.com.au/product/80060016,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80060016.jpg",Carrots and Other Root Vegetables,Unknown
Carrots Prepack 1kg,$1.70,1,https://www.igashop.com.au/product/80050117,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80050117.jpg",Carrots and Other Root Vegetables,Unknown
Celery Bunch,$3.90,1,https://www.igashop.com.au/product/80050018,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80050018.jpg","Spinach, Lettuce, Greens and Kale",Unknown
Cherries,$3.98 avg/ea,250g,https://www.igashop.com.au/product/80060085,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80060085.jpg","Berries, Cherries and Grapes",Unknown
Cherries Punnet 500 grams,$9.90,1,https://www.igashop.com.au/product/80050085,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80050085.jpg","Berries, Cherries and Grapes",Unknown
Cherry Tomato Punnet,$3.90,1,https://www.igashop.com.au/product/80050072,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80050072.jpg","Tomatoes, Avocados, Capsicum and Mushrooms",Unknown
Chinese Broccoli Bunch,$3.90,1,https://www.igashop.com.au/product/80050002,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80050002.jpg","Spinach, Lettuce, Greens and Kale",Unknown
