title,price,size,productUrl,imageUrl,category,brand
 NIVEA 3in1 Refreshing Cleansing Wipes,$7.35,25,https://www.igashop.com.au/product/494526,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/494526.jpg",Cleansers and Skin Care Wipes,Nivea
Advil Children 7-12 Years Chewable Raspberry,$9.00,20,https://www.igashop.com.au/product/611084,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/611084.jpg",Pain Relief,Advil
Advil Liquid 200mg Capsules,$3.00,10,https://www.igashop.com.au/product/533859,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/533859.jpg",Pain Relief,Advil
Advil Liquid Capsules,$5.00,20,https://www.igashop.com.au/product/79350,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/_79350.jpg",Pain Relief,Advil
Advil Minis Liquid,$7.00,20,https://www.igashop.com.au/product/170000000215,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/170000000215.jpg",Pain Relief,Advil
Advil Tablets,$4.95,24,https://www.igashop.com.au/product/350578,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/350578.jpg",Pain Relief,Advil
Alka-Seltzer Lemon Tablet,$11.00,20,https://www.igashop.com.au/product/484848,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/484848.jpg",Antacid and Indigestion,Alka-Seltzer
Aspro Clear Pain Relief Soluble Tablets,$8.00,24,https://www.igashop.com.au/product/374190,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/374190.jpg",Pain Relief,Aspro
Atkins Endulge Bar Caramel Nut Multipack,$17.00,5,https://www.igashop.com.au/product/797238,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/797238.jpg",Protein Bars,Atkins
Atkins Endulge Bar Chcocolate & Coconut,$17.00,5,https://www.igashop.com.au/product/797262,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/797262.jpg",Protein Bars,Atkins
Atkins Endulge Milk Chocolate Malt Bites,$17.00,30g,https://www.igashop.com.au/product/1800000067377,,Diet Snacks and Slimming Aids,Atkins
Atkins Shake Mix Chocolate,$23.00,330g,https://www.igashop.com.au/product/1800000067375,,Diet Snacks and Slimming Aids,Atkins
Atkins Shake Mix Vanilla,$23.00,310g,https://www.igashop.com.au/product/1800000067376,,Diet Snacks and Slimming Aids,Atkins
Australian Botanical Sandalwood Soap,$4.95,200g,https://www.igashop.com.au/product/180000001819,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000001819.jpg",Bar Soap,Aus Botanical
Australian Botanical Soap Goats Milk,$4.95,200g,https://www.igashop.com.au/product/301998,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/301998.jpg",Bar Soap,Australian Botanical
Australian Botanical Soap Lemongrass,$4.95,200g,https://www.igashop.com.au/product/302198,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/302198.jpg",Bar Soap,Australian Botanical
Australian Botanical Soap Olive Oil,$4.95,200g,https://www.igashop.com.au/product/302216,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/302216.jpg",Bar Soap,Australian Botanical
Australian Botanical Soap Rose Geranium,$4.95,200g,https://www.igashop.com.au/product/302143,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/302143.jpg",Bar Soap,Australian Botanical
Aveeno Baby Daily Lotion,$12.50,227ml,https://www.igashop.com.au/product/180000003289,,Shampoo and Conditioner,Aveeno
Aveeno Daily Moisturising Wash,$16.50,532ml,https://www.igashop.com.au/product/878982,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/878982.jpg",Body Wash and Shower Gel,Aveeno
Aveeno Hand Cream Intense Relief,$13.00,100g,https://www.igashop.com.au/product/38587,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/38587.jpg",Hand Moisturiser,Aveeno
Banana Boat After Sun Aloe,$11.00,250ml,https://www.igashop.com.au/product/931099,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/931099.jpg",Medicinal Oil and Ointments,Banana Boat
Banana Boat After Sun Aloe Vera Gel,$10.10,250g,https://www.igashop.com.au/product/929961,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/929961.jpg",Sun Protection,Banana Boat
Banana Boat Dry Balance Clear Spray SPF 50+,$16.80,175g,https://www.igashop.com.au/product/856032,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/856032.jpg",Sun Protection,Banana Boat
Banana Boat Dry Balance Sunscreen Lotion SPF50+,$15.40,200g,https://www.igashop.com.au/product/683125,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/683125.jpg",Sun Protection,Banana Boat
Banana Boat Kids Sunscreen Lotion SPF 50+,$21.00,400g,https://www.igashop.com.au/product/407207,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/407207.jpg",Sun Protection,Banana Boat
Banana Boat Sport Smartmist Sunscreen Spray Spf50+ ,$19.60,200ml,https://www.igashop.com.au/product/1800000068733,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000068733.jpg",Sun Protection,Banana Boat
Banana Boat Sport Sunscreen Lotion SPF 50,$15.40,200g,https://www.igashop.com.au/product/377575,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/377575.jpg",Sun Protection,Banana Boat
Banana Boat Sport Sunscreen Spray SPF 50+,$16.80,175g,https://www.igashop.com.au/product/407168,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/407168.jpg",Sun Protection,Banana Boat
Banana Boat Sunscreen Kids Lotion SPF50+,$15.40,200ml,https://www.igashop.com.au/product/327054,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/327054.jpg",Sun Protection,Banana Boat
Banana Boat Sunscreen Kids Roll On  SPF50,$9.80,75ml,https://www.igashop.com.au/product/377559,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/377559.jpg",Sun Protection,Banana Boat
Banana Boat Ultra Clear SPF 50 Sunscreen Spray,$16.80,175g,https://www.igashop.com.au/product/407142,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/407142.jpg",Sun Protection,Banana Boat
Banana Boat Ultra Sunscreen Lotion SPF 50,$10.50,100g,https://www.igashop.com.au/product/407037,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/407037.jpg",Sun Protection,Banana Boat
Banana Boat Ultra Sunscreen SPF 50+,$21.00,400g,https://www.igashop.com.au/product/190000000070,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/190000000070.jpg",Sun Protection,Banana Boat
Band-aid Advanced Healing Hydro Seal Gel Plasters Regular,$9.35,10,https://www.igashop.com.au/product/936934,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/936934.jpg",Band-aids and Bandages,Band-aid
Band-Aid Aquablock Regular,$6.00,40,https://www.igashop.com.au/product/967236,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/967236.jpg",Band-aids and Bandages,Band-aid
Band-Aid Clear Strips,$5.00,40,https://www.igashop.com.au/product/22557,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/22557.jpg",Band-aids and Bandages,Band-aid
Band-Aid Fabric Strips,$5.00,50,https://www.igashop.com.au/product/996117,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/996117.jpg",Band-aids and Bandages,Band-aid
Band-aid First Aid Non-irritating Paper Tape 2.5cm X 9.1m,$7.50,1,https://www.igashop.com.au/product/51637,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/51637.jpg",Band-aids and Bandages,Band-aid
