title,price,size,productUrl,imageUrl,category,brand
3-In-One Degreaser,$7.80,400g,https://www.igashop.com.au/product/722165,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/722165.jpg",Car Care,3-In-one
3-In-One Silicone Spray,$12.35,300g,https://www.igashop.com.au/product/291834,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/291834.jpg",Car Care,3-In-one
3M Command Picture Hanging Strips Medium White,$5.75,4,https://www.igashop.com.au/product/344519,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/344519.jpg",Home Improvement and Repair,3m
3M Command Wire Backed Picture Hanger White,$4.40,1,https://www.igashop.com.au/product/200749,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/200749.jpg",Home Improvement and Repair,3m
3M Scotchgard Fabric Protector Aerosol Can,$13.15,350g,https://www.igashop.com.au/product/425747,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/425747.jpg","Fabric, Metal and Furniture Care",3m
Active Expert Dishwasher Pods,$11.50,45,https://www.igashop.com.au/product/180000003497,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000003497.jpg",Dishwashing,Active Expert
Active Expert Laundry Liquid,$5.50,2l,https://www.igashop.com.au/product/329182,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/329182.jpg",Laundry Liquid,Active Expert
Active Expert Laundry Pods Regular,$12.00,36,https://www.igashop.com.au/product/180000002832,,Laundry Liquid,Active Expert
Active Expert Laundry Powder,$6.00,2kg,https://www.igashop.com.au/product/190000011601,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/190000011601.jpg",Laundry Powder,Active Expert
Active Expert Lime Dishwashing Liquid,$3.00,900ml,https://www.igashop.com.au/product/180000004488,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000004488.jpg",Dishwashing,Active Expert
Aerogard Aero 40% Deet,$15.00,150g,https://www.igashop.com.au/product/421866,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/421866.jpg",Insect Repellants,Aerogard
Aerogard Fabric Insect Repellent Odourless,$13.50,150g,https://www.igashop.com.au/product/740249,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/740249.jpg",Insect Repellants,Aerogard
Aerogard Home Flying Light Trap Starter ,$21.00,1,https://www.igashop.com.au/product/1800000068911,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000068911.jpg",Flying Insects,Aerogard
Aerogard Home Mosquito Control Plug In Prime,$14.00,25ml,https://www.igashop.com.au/product/705359,,Insect Repellants,Aerogard
Aerogard Home Mosquito Control Plug In Refill,$12.25,35ml,https://www.igashop.com.au/product/715561,,Insect Repellants,Aerogard
Aerogard Insect Repellent Lotion Roll On Tropical,$7.50,50ml,https://www.igashop.com.au/product/66585,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/66585.jpg",Insect Repellants,Aerogard
Aerogard Insect Repellent Odourless Low Irritant,$11.50,300g,https://www.igashop.com.au/product/6637,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/6637.jpg",Insect Repellants,Aerogard
Aerogard Insect Repellent Tropical,$11.00,150g,https://www.igashop.com.au/product/65440,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/65440.jpg",Insect Repellants,Aerogard
Aerogard Insect Repellent Tropical Strength 20% Free,$11.50,300g,https://www.igashop.com.au/product/12298,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/12298.jpg",Insect Repellants,Aerogard
Aerogard Kids Insect Repellent Spray,$9.60,135ml,https://www.igashop.com.au/product/910535,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/910535.jpg",Insect Repellants,Aerogard
Aerogard Naturals Repellents Roll On,$9.60,50ml,https://www.igashop.com.au/product/347460,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/347460.jpg",Insect Repellants,Aerogard
Aerogard Naturals Repellents Spray,$12.00,175ml,https://www.igashop.com.au/product/360913,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/360913.jpg",Insect Repellants,Aerogard
Aerogard Odorless Spray,$11.00,150g,https://www.igashop.com.au/product/356930,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/356930.jpg",Insect Repellants,Aerogard
Aerogard Tropical Pump,$8.50,135ml,https://www.igashop.com.au/product/45589,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/45589.jpg",Insect Repellants,Aerogard
Air Wick Air Freshener Aerosol Frangipani,$3.50,237g,https://www.igashop.com.au/product/318864,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/318864.jpg",Air Fresheners,Air Wick
Air Wick Air Freshener Aerosol Lavender,$3.50,237g,https://www.igashop.com.au/product/318848,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/318848.jpg",Air Fresheners,Air Wick
Air Wick Air Freshener Plug In Diffuser Le Vanilla & Himalayan Magnolia,$20.00,22ml,https://www.igashop.com.au/product/1800000067351,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000067351.jpg",Air Fresheners,Air Wick
Air Wick Air Freshener Refill Vanilla & Himalayan Magnoli,$20.00,44ml,https://www.igashop.com.au/product/1800000067352,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000067352.jpg",Air Fresheners,Air Wick
Air Wick Air Freshener Spray Sparkling Citrus,$3.50,237g,https://www.igashop.com.au/product/318872,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/318872.jpg",Air Fresheners,Air Wick
Air Wick Air Freshener Spray Vanilla,$3.50,237g,https://www.igashop.com.au/product/318851,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/318851.jpg",Air Fresheners,Air Wick
Air Wick Automatic Spray Essential Oil Air Freshener Refill Linen & White Orchid,$15.00,228ml,https://www.igashop.com.au/product/1800000067360,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/1800000067360.jpg",Air Fresheners,Air Wick
