title,price,size,productUrl,imageUrl,category,brand
AusFresh Marinated Green Split Olives,$3.75,150g,https://www.igashop.com.au/product/20000003465,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000003465.jpg",Antipasto,Ausfresh
AusFresh Mediterranean Olives Mix,$3.75,150g,https://www.igashop.com.au/product/413054,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/413054.jpg",Antipasto,Ausfresh
AusFresh Olive Green Chilli and Garlic,$3.75,150g,https://www.igashop.com.au/product/812258,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/812258.jpg",Antipasto,Ausfresh
Ausfresh Olives Kalamata Pitted Marinated,$3.75,150g,https://www.igashop.com.au/product/413046,,Antipasto,Ausfresh
AusFresh Pepperbelles with Cream Cheese,$5.65,160g,https://www.igashop.com.au/product/20000003464,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000003464.jpg",Antipasto,Ausfresh
Back To Original French Onion Dip,$4.00,200g,https://www.igashop.com.au/product/20000004213,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000004213.jpg",Dips and Pate,Back To Original
Back To Original Garlic Dip,$4.00,250g,https://www.igashop.com.au/product/190000003837,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/190000003837.jpg",Dips and Pate,Back To Original
Back To Original Hommus Dip,$4.00,250g,https://www.igashop.com.au/product/190000003845,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/190000003845.jpg",Dips and Pate,Back To Original
Back To Original Tzatziki Dip,$4.00,250g,https://www.igashop.com.au/product/20000004571,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000004571.jpg",Dips and Pate,Back To Original
Bacon Streaky,$23.00/kg,1kg,https://www.igashop.com.au/product/80072025,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80072025.jpg","Ham, Bacon, Salami and Sliced Meats",Unknown
Beak & Sons BBQ Beef Brisket,$16.00,500g,https://www.igashop.com.au/product/1800000068272,,"Beef, Pork and Lamb",Beak & Sons
Beak & Sons Bourbon BBQ Chicken Wings,$10.00,500g,https://www.igashop.com.au/product/1800000068273,,Chicken and Other Poultry,Beak & Sons
Beak & Sons Maple BBQ Pork Ribs,$16.00,650g,https://www.igashop.com.au/product/1800000068342,,"Beef, Pork and Lamb",Beak & Sons
Beak & Sons Spicy Buffalo Chicken Wings,$13.00,730g,https://www.igashop.com.au/product/1800000069744,,Chicken and Other Poultry,Beak & Sons
Beef Burger,$9.50,500g,https://www.igashop.com.au/product/180000000636,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000636.jpg",Sausages and Burgers,Unknown
Beef Lasagne,$7.23 avg/ea,250g,https://www.igashop.com.au/product/80072038,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80072038.jpg",Prepared Foods and Salads,Unknown
Beef Soup Bones,$7.99 avg/ea,800g,https://www.igashop.com.au/product/80080016,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80080016.jpg","Beef, Pork and Lamb",Unknown
Bellissimo Olive Mediterranian,$4.35,165g,https://www.igashop.com.au/product/20000002547,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000002547.jpg",Antipasto,Bellissimo
Berliner,$20.00/kg,1kg,https://www.igashop.com.au/product/80072004,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80072004.jpg","Ham, Bacon, Salami and Sliced Meats",Unknown
Bruemar Pork Belly Rashers Char Siu,$9.50,250g,https://www.igashop.com.au/product/741211,,"Beef, Pork and Lamb",Bruemar
Bruemar Pork Loin Steaks Pepper Garlic & Honey,$9.50,300g,https://www.igashop.com.au/product/741253,,"Beef, Pork and Lamb",Bruemar
Bruemar Pork Scotch Steaks Teriyaki Style,$9.50,300g,https://www.igashop.com.au/product/741261,,"Beef, Pork and Lamb",Bruemar
Cabanossi,$21.50/kg,1kg,https://www.igashop.com.au/product/80072074,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80072074.jpg",Sausages and Frankfurts,Unknown
Canon Chicken BBQ Poppers,$8.00,550g,https://www.igashop.com.au/product/658447,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/Canon_Chicken_BBQ_Poppers.jpg",Chicken and Other Poultry,Canon
Canon Chicken Burger,$11.00,510g,https://www.igashop.com.au/product/134045,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/134045.jpg",Sausages and Burgers,Canon
Canon Chicken Sweet Chilli Fries,$10.30,550g,https://www.igashop.com.au/product/658421,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/Canon_Chicken_Sweet_Chilli_Fries.jpg",Chicken and Other Poultry,Canon
Canon Foods Crunchy Garlic Chicken Breast,$18.00,1kg,https://www.igashop.com.au/product/128748,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/128748.jpg",Chicken and Other Poultry,Canon Foods
Canon Foods Southern Style Popcorn Chicken,$10.30,400g,https://www.igashop.com.au/product/983025,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/983025.jpg",Chicken and Other Poultry,Canon Foods
Chicken Breast Fillets Small Pack,$6.50 avg/ea,500g,https://www.igashop.com.au/product/80080001,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80080001.jpg",Chicken and Other Poultry,Unknown
Chicken Drumsticks,$2.50 avg/ea,500g,https://www.igashop.com.au/product/80080014,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80080014.jpg",Chicken and Other Poultry,Unknown
Chicken Necks 1kg,$4.90,1,https://www.igashop.com.au/product/80070013,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80070013.jpg",Chicken and Other Poultry,Unknown
Chilli Chicken Slices,$38.00/kg,1kg,https://www.igashop.com.au/product/80072077,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80072077.jpg","Ham, Bacon, Salami and Sliced Meats",Unknown
Chilli Turkey Slices,$36.00/kg,1kg,https://www.igashop.com.au/product/80072079,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/80072079.jpg","Ham, Bacon, Salami and Sliced Meats",Unknown
Chris' Dip Traditional Corn Relish,$5.00,200g,https://www.igashop.com.au/product/167014,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/167014.jpg",Dips and Pate,Chris'
Chris' Dips Spring Onion,$5.00,200g,https://www.igashop.com.au/product/118138,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/118138.jpg",Dips and Pate,Chris'
Chris' Dips Sweet Potato & Cashew,$5.00,200g,https://www.igashop.com.au/product/961159,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/961159.jpg",Dips and Pate,Chris'
Chris' Hommus Dip,$5.00,200g,https://www.igashop.com.au/product/153688,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/153688.jpg",Dips and Pate,Chris'
