title,price,size,productUrl,imageUrl,category,brand
180 Degrees Walnut Oat Crackers,$6.10,150g,https://www.igashop.com.au/product/160000014352,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000014352.jpg",Crisps and Crackers,180 Degrees
5Gum Tropical Stick,$2.50,32g,https://www.igashop.com.au/product/742453,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/742453.jpg","Gums, Mints and Medicated",5Gum
ABC Extra Hot Chilli Sauce,$3.60,335ml,https://www.igashop.com.au/product/274552,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/274552.jpg",Asian and Thai,ABC
ABC Sweet Soy Sauce,$6.00,620ml,https://www.igashop.com.au/product/482846,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/482846.jpg",Asian and Thai,ABC
Admiral Lychees In Syrup,$5.60,565g,https://www.igashop.com.au/product/25589,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/25589.jpg",Canned Fruit,Admiral
Admiral Mandarin Segments,$2.15,310g,https://www.igashop.com.au/product/441646,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/441646.jpg",Canned Fruit,Admiral
Admiral Mangoes in Syrup,$2.70,425g,https://www.igashop.com.au/product/24957,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/24957.jpg",Canned Fruit,Admiral
Admiral Stoneless Black Cherries In Syrup,$5.10,425g,https://www.igashop.com.au/product/966874,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/966874.jpg",Canned Fruit,Admiral
Aeroplane Jelly Berry Blue,$1.40,85g,https://www.igashop.com.au/product/180000000142,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000142.jpg",Jelly,Aeroplane Jelly
Aeroplane Jelly Dessert Mix Vanilla,$2.30,100g,https://www.igashop.com.au/product/180000000158,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000158.jpg",Puddings,Aeroplane Jelly
Aeroplane Jelly Green Apple Jelly Crystals,$1.40,85g,https://www.igashop.com.au/product/160000018161,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000018161.jpg",Jelly,Aeroplane Jelly
Aeroplane Jelly Lite Lime,$3.00,2,https://www.igashop.com.au/product/180000000166,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000166.jpg",Jelly,Aeroplane Jelly
Aeroplane Jelly Lite Mango Passionfruit,$3.00,2,https://www.igashop.com.au/product/180000000165,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000165.jpg",Jelly,Aeroplane Jelly
Aeroplane Jelly Lite Orange Mango,$3.00,2,https://www.igashop.com.au/product/180000000159,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000159.jpg",Jelly,Aeroplane Jelly
Aeroplane Jelly Lite Pineapple,$3.00,2,https://www.igashop.com.au/product/180000000160,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000160.jpg",Jelly,Aeroplane Jelly
Aeroplane Jelly Lite Port Wine,$3.00,2,https://www.igashop.com.au/product/180000000161,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000161.jpg",Jelly,Aeroplane Jelly
Aeroplane Jelly Lite Raspberry,$3.00,2,https://www.igashop.com.au/product/180000000162,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/180000000162.jpg",Jelly,Aeroplane Jelly
