title,price,size,productUrl,imageUrl,category,brand
Applaws Cat Tin Tuna Fillet in Broth Cat food,$2.40,70g,https://www.igashop.com.au/product/170000000341,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/170000000341.jpg",Trays and Can Cat Food,Applaws
Applaws Chicken Breast in Broth Cat Food,$2.40,70g,https://www.igashop.com.au/product/160000011091,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/160000011091.jpg",Trays and Can Cat Food,Applaws
Applaws Natural Wet Cat Tin Multipack Cuisine Selection,$16.00,8,https://www.igashop.com.au/product/218802,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/218802.jpg",Trays and Can Cat Food,Applaws
Back 2 Nature Small Animal Bedding & Litter,$17.00,10l,https://www.igashop.com.au/product/799285,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/799285.jpg","Cat Accessories, Treats and Healthcare",Back To Nature
Bird Munchies Gourmet Parrot Seed,$5.80,1kg,https://www.igashop.com.au/product/685779,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/685779.jpg",Small Animal Food,Bird Munchies
Bird Munchies Sunflower Bell,$6.60,585g,https://www.igashop.com.au/product/645004,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/645004.jpg",Small Animal Food,Bird Munchies
Black & Gold Beef Dog Food,$2.89,1.2kg,https://www.igashop.com.au/product/62735,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/62735.jpg",Trays and Can Dog Food,Black & Gold
Black & Gold Budgie & Canary Mix,$5.70,2kg,https://www.igashop.com.au/product/20000003974,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000003974.jpg",Small Animal Food,Black & Gold
Black & Gold Cat Chicken Mince,$1.60,400g,https://www.igashop.com.au/product/649273,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/649273.jpg",Chilled Cat Food,Black & Gold
Black & Gold Cat Food Sardines,$1.39,400g,https://www.igashop.com.au/product/72853,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/72853.jpg",Trays and Can Cat Food,Black & Gold
Black & Gold Cat Food Seafood Platter,$1.39,400g,https://www.igashop.com.au/product/430310,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/430310.jpg",Trays and Can Cat Food,Black & Gold
Black & Gold Cat Litter,$7.20,9kg,https://www.igashop.com.au/product/346359,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/346359.jpg",Cat Litter,Black & Gold
Black & Gold Dog Food Beef & Veg,$17.99,8kg,https://www.igashop.com.au/product/44423,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/44423.jpg",Dry Dog Food,Black & Gold
Black & Gold Guinea Pig & Rabbit Mix,$10.65,3kg,https://www.igashop.com.au/product/346715,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/346715.jpg",Small Animal Food,Black & Gold
Black & Gold Meat With Chicken Dog Food,$2.89,1.2kg,https://www.igashop.com.au/product/99091,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/99091.jpg",Trays and Can Dog Food,Black & Gold
Black & Gold Meat with Chicken Dogfood,$2.29,700g,https://www.igashop.com.au/product/20000001443,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000001443.jpg",Trays and Can Dog Food,Black & Gold
Black & Gold Parrot and Wild Bird Mix,$5.70,2kg,https://www.igashop.com.au/product/20000002557,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000002557.jpg",Small Animal Food,Black & Gold
Black & Gold Parrot Mix,$5.70,2kg,https://www.igashop.com.au/product/365057,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/365057.jpg",Small Animal Food,Black & Gold
Black & Gold Sunflower Bird Seed,$6.00,1.25kg,https://www.igashop.com.au/product/20000003213,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000003213.jpg",Small Animal Food,Black & Gold
Black & Gold Wet Dog Food Meat With Beef,$2.29,700g,https://www.igashop.com.au/product/20000004755,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/20000004755.jpg",Trays and Can Dog Food,Black & Gold
Black & Gold Wild Bird Mix,$11.50,5kg,https://www.igashop.com.au/product/409856,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/409856.jpg",Small Animal Food,Black & Gold
Bob Martin Dog Tick & Flea Shampoo,$13.60,250ml,https://www.igashop.com.au/product/711046,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/711046.jpg","Dog Treats, Accessories and Healthcare",Bob Martin
Bob Martin No Rinse Shampoo,$9.35,150ml,https://www.igashop.com.au/product/710707,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/710707.jpg","Dog Treats, Accessories and Healthcare",Bob Martin
Bow Wow Beef & Chicken Rolls,$13.35,4,https://www.igashop.com.au/product/8787,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/8787.jpg","Dog Treats, Accessories and Healthcare",Bow Wow
Bow Wow Beef & Roo Rolls,$12.00,4,https://www.igashop.com.au/product/150000007942,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/150000007942.jpg","Dog Treats, Accessories and Healthcare",Bow Wow
Bow Wow Pigs Ears,$16.00,5,https://www.igashop.com.au/product/83257,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/83257.jpg","Dog Treats, Accessories and Healthcare",Bow Wow
Bow Wow Pigs Ears Treats,$4.60,20g,https://www.igashop.com.au/product/636144,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/636144.jpg","Dog Treats, Accessories and Healthcare",Bow Wow
Bow Wow Treat Beef Roo Roll,$3.80,1,https://www.igashop.com.au/product/8890,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/8890.jpg","Dog Treats, Accessories and Healthcare",Bow Wow
Bow Wow Treat Pig Ears Longer Chew,$24.30,300g,https://www.igashop.com.au/product/8995,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/8995.jpg","Dog Treats, Accessories and Healthcare",Bow Wow
Breeder's Choice Cat Litter,$30.00,24l,https://www.igashop.com.au/product/382397,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/382397.jpg",Cat Litter,Breeder's Choice
Breeder's Choice Cat Litter,$21.20,15l,https://www.igashop.com.au/product/891142,"https://cdn.metcash.media/image/upload/w_1500,h_1500,c_pad,b_auto/igashop/images/891142.jpg",Cat Litter,Breeder's Choice
