store_id,name,phone,address1,address2,address3,city,district,state,state_code,postcode,country,country_code,latitude,longitude,facilities,alcohol_available,opening_hours
G580,2 Endeavour Way,,2 Endeavour Way,,,Plainland,Plainland,Queensland,QLD,4341,Australia,AU,-27.56220000000000,152.42401000000000,,,
G581,2B Moonee Beach Road,,2B Moonee Beach Road,,,Moonee Beach,Moonee Beach,New South Wales,NSW,2450,Australia,AU,-30.20490000000000,153.15088000000000,,"Beer, Wine",
G671,1-13 Erica Avenue,,1-13 Erica Avenue,,,Boronia,Boronia,Victoria,VIC,3155,Australia,AU,-37.86148000000000,145.28358000000000,,"Beer, Wine",
G637,57-65 Station Street,,57-65 Station Street,,,Nerang,Nerang,Queensland,QLD,4211,Australia,AU,-27.99766000000000,153.33823000000000,,,
G684,23-55 McCrae St,,23-55 McCrae St,,,Dandenong,Dandenong,Victoria,VIC,3175,Australia,AU,-37.98604000000000,145.21985000000000,,"Beer, Wine",
G685,67-69 Main St,,67-69 Main St,,,Pakenham,Pakenham,Victoria,VIC,3810,Australia,AU,-38.07798000000000,145.47870000000000,,"Beer, Wine",
G005,22-28 Hutchinson Street,+61883911441,22-28 Hutchinson Street,,,Mount Barker,Mount Barker,South Australia,SA,5251,Australia,AU,-35.06609500000000,138.85901500000000,,,
G011,32 Kay Avenue,+61885823954,32 Kay Avenue,,,Berri,Berri,South Australia,SA,5343,Australia,AU,-34.27936800000000,140.60942100000000,,,
G024,56 - 60 Adelaide Road,+61885523715,56 - 60 Adelaide Road,,,Hayborough,Hayborough,South Australia,SA,5211,Australia,AU,-35.53035500000000,138.63817000000000,,,
G025,1 Murray Street,+61885624609,1 Murray Street,,,Nuriootpa,Nuriootpa,South Australia,SA,5355,Australia,AU,-34.47393400000000,138.99414700000000,,,
G026,105 - 109 Adelaide Road,+61885323876,105 - 109 Adelaide Road,,,Murray Bridge,Murray Bridge,South Australia,SA,5253,Australia,AU,-35.12336400000000,139.26312600000000,,,
G027,8 Wandearah Road,+61886323923,8 Wandearah Road,,,Port Pirie,Port Pirie,South Australia,SA,5540,Australia,AU,-33.18573800000000,138.01033500000000,,,
G029,10 Frances Terrace,+61888213786,10 Frances Terrace,,,Kadina,Kadina,South Australia,SA,5554,Australia,AU,-33.96446000000000,137.71107100000000,,,
