store_id,name,phone,address,suburb,state,postcode,latitude,longitude,brand,isTrading,trading_hours
COL:7629,Coles Kingston,(03) 6171 6700,John St & Channel Hwy,Kingston,TAS,7050,-42.974982,147.311015,Coles Supermarkets,True,Tuesday from 7am to 10pm
COL:7505,Coles Sandy Bay,(03) 6234 3291,246 Sandy Bay Rd,Sandy Bay,TAS,7005,-42.895824,147.327594,Coles Supermarkets,True,Tuesday from 7am to 10pm
COL:7523,Coles New Town,(03) 6161 5300,1 Risdon Rd,New Town,TAS,7008,-42.855634,147.305763,Coles Supermarkets,True,Tuesday from 7am to 10pm
COL:7547,Coles Glebe Hill,(03) 6161 8500,Cnr Pass Road And Grange Road,Howrah,TAS,7018,-42.88787,147.427516,Coles Supermarkets,True,Tuesday from 7am to 10pm
COL:7602,Coles Eastlands,(03) 6244 3944,1 Bligh St,Rosny,TAS,7018,-42.865389,147.368843,Coles Supermarkets,True,Tuesday from 7am to 10pm
COL:7645,Coles Glenorchy,(03) 6161 5400,Main Rd & King George V Av,Glenorchy,TAS,7010,-42.832197,147.273415,Coles Supermarkets,True,Tuesday from 7am to 9pm
COL:7647,Coles Bridgewater,(03) 6118 6600,Covehill Rd,Bridgewater,TAS,7030,-42.735102,147.242148,Coles Supermarkets,True,Tuesday from 7am to 9pm
COL:7500,Coles Sorell,(03) 6269 1400,12 Cole St,Sorell,TAS,7172,-42.782181,147.565333,Coles Supermarkets,True,Tuesday from 7am to 10pm
COL:7646,Coles Meadow Mews,(03) 6161 5900,102 Hobart Rd,Kings Meadows,TAS,7249,-41.466626,147.159044,Coles Supermarkets,True,Tuesday from 7am to 10pm
COL:7658,Coles Wellington St,(03) 6334 2299,128 Wellington St,Launceston,TAS,7250,-41.444861,147.138544,Coles Supermarkets,True,Tuesday from 6am to 11pm
COL:7659,Coles Newstead,(03) 6333 0389,165a Elphin Rd,Newstead,TAS,7250,-41.441318,147.160972,Coles Supermarkets,True,Tuesday from 7am to 10pm
COL:7656,Coles Charles Street,(03) 6334 5731,198 Charles Street,Launceston,TAS,7250,-41.442132,147.139698,Coles Supermarkets,True,Tuesday from 6am to 9pm
COL:7562,Coles Racecourse,(03) 6388 1100,15 Racecourse Cres,Launceston,TAS,7250,-41.42902,147.147442,Coles Supermarkets,True,Tuesday from 6am to 10pm
COL:7502,Coles Mowbray,(03) 6324 4700,Cnr Invermay Rd & Joffre St,Mowbray,TAS,7248,-41.405731,147.132266,Coles Supermarkets,True,Tuesday from 6am to 9pm
COL:7541,Coles Burnie,(03) 6431 4188,26 Mount St,Burnie,TAS,7320,-41.051367,145.904318,Coles Supermarkets,True,Tuesday from 7am to 10pm
COL:7606,Coles Ulverstone,(03) 6425 2700,16 Reiby St,Ulverstone,TAS,7315,-41.15736,146.169829,Coles Supermarkets,True,Tuesday from 6am to 10pm
COL:7621,Coles Devonport,(03) 6495 5300,86 Best St,Devonport,TAS,7310,-41.177234,146.354893,Coles Supermarkets,True,Tuesday from 6am to 10pm
COL:8787,Coles Wonthaggi,(03) 5672 0100,2 Biggs Dr,Wonthaggi,VIC,3995,-38.60354,145.587692,Coles Supermarkets,True,Tuesday from 7am to 10pm
COL:7730,Coles Warrnambool (Lava St),(03) 5564 4900,130 Lava St,Warrnambool,VIC,3280,-38.381353,142.483576,Coles Supermarkets,True,Tuesday from 6am to 9pm
COL:563,Coles Warrnambool,(03) 4504 6000,150 Raglan Parade,Warrnambool,VIC,3280,-38.380958,142.520394,Coles Supermarkets,True,Tuesday from 7am to 9pm
COL:596,Coles Northpoint,(03) 5559 0700,72 - 80 Hopkins Hwy,Warrnambool North,VIC,3280,-38.368649,142.49452,Coles Supermarkets,True,Tuesday from 7am to 10pm
COL:7868,Coles Cowes,(03) 5951 2400,Cnr Church St & Thompson St,Cowes,VIC,3922,-38.452627,145.238475,Coles Supermarkets,True,Tuesday from 7am to 10pm
COL:696,Coles Rosebud,(03) 5999 8800,Boneo Rd & Mccombe St,Rosebud,VIC,3939,-38.361353,144.890575,Coles Supermarkets,True,Tuesday from 7am to 9pm
COL:541,Coles Mccrae,(03) 5986 2833,Nepean Hwy & Lonsdale St,Mccrae,VIC,3938,-38.351485,144.922578,Coles Supermarkets,True,Tuesday from 7am to 9pm
COL:640,Coles Hastings,(03) 5979 1700,Church St & Victoria St,Hastings,VIC,3915,-38.306233,145.191385,Coles Supermarkets,True,Tuesday from 6am to 10pm
COL:7266,Coles Mornington Tyabb Road,(03) 5972 3200,61 Mornington Tyabb Road,Mornington,VIC,3931,-38.23339,145.051068,Coles Supermarkets,True,Tuesday from 7am to 9pm
COL:591,Coles Somerville,(03) 5973 1500,49 Eramosa Rd,Somerville,VIC,3912,-38.223547,145.170204,Coles Supermarkets,True,Tuesday from 6am to 9pm
COL:673,Coles Mornington,(03) 5958 9200,Franklin St & Gordon St,Mornington,VIC,3931,-38.219311,145.040039,Coles Supermarkets,True,Tuesday from 7am to 9pm
COL:665,Coles Ocean Grove,(03) 5216 3600,77 The Terrace,Ocean Grove,VIC,3226,-38.267773,144.523312,Coles Supermarkets,True,Tuesday from 6am to 10pm
COL:7693,Coles Torquay,(03) 5264 3100,41 Bristol Road,Torquay,VIC,3228,-38.331819,144.32044,Coles Supermarkets,True,Tuesday from 7am to 10pm
COL:670,Coles Langwarrin,(03) 9785 9521,Cranbourne Rd & South Gateway,Langwarrin,VIC,3910,-38.151112,145.196569,Coles Supermarkets,True,Tuesday from 7am to 10pm
COL:7690,Coles Karingal Hub,(03) 9056 1300,Cranbourne Rd & Karingal Drv,Frankston,VIC,3199,-38.151765,145.16674,Coles Supermarkets,True,Tuesday from 6am to 10pm
COL:7733,Coles Botanic Ridge,(03) 9056 0100,Craig Road,Botanic Ridge,VIC,3977,-38.148154,145.285791,Coles Supermarkets,True,Tuesday from 7am to 10pm
COL:561,Coles Morwell,(03) 5116 5400,82 George St,Morwell,VIC,3840,-38.239109,146.398043,Coles Supermarkets,True,Tuesday from 6am to 10pm
COL:547,Coles Warragul,(03) 5630 1600,30 Palmerston St,Warragul,VIC,3820,-38.1621,145.932049,Coles Supermarkets,True,Tuesday from 7am to 10pm
COL:626,Coles Moe,(03) 5127 4395,92 Albert St,Moe,VIC,3825,-38.174301,146.25912,Coles Supermarkets,True,Tuesday from 6am to 10pm
COL:7775,Coles Colac,(03) 5216 3700,Corner Of Bromfield Street And Queen Street Colac,Colac,VIC,3250,-38.341267,143.592556,Coles Supermarkets,True,Tuesday from 7am to 9pm
COL:7501,Coles Armstrong Creek,(03) 7033 1300,Surf Coast Hwy,Armstrong Creek,VIC,3217,-38.227766,144.339934,Coles Supermarkets,True,Tuesday from 7am to 10pm
COL:7810,Coles Waurn Ponds,(03) 5247 3000,Pioneer Rd & Princes Hwy,Waurn Ponds,VIC,3216,-38.199304,144.318893,Coles Supermarkets,True,Tuesday from 7am to 10pm
COL:538,Coles Leopold,(03) 5250 2183,621 - 659 Bellarine Hwy,Leopold,VIC,3224,-38.185718,144.453556,Coles Supermarkets,True,Tuesday from 6am to 10pm
COL:7796,Coles Belmont (High Street),(03) 5243 1922,158 - 162a High St,Belmont,VIC,3216,-38.174162,144.342868,Coles Supermarkets,True,Tuesday from 7am to 9pm
