store_id,name,type,status,retailer_store_id,address_line1,address_line2,city,state,postcode,country,latitude,longitude,phone,email,opening_hours,shopping_modes,time_zone
d5517e32-285c-4805-aa82-92973ad34527,Ashcroft's IGA Erskine Park,Regular,Active,32600,"Shop 12, 180-188 Swallow Drive, Erskine Park Shopping Centre, ",,Erskine Park,NSW,2759,Australia,-33.8038641,150.8043754,02 9834 4077,brad@ashcroftgroup.com.au,Mon-Fri: 7am–9pm; Sat-Sun: 8am–8pm,"planning, delivery, pickup",Australia/Sydney
90050355-cd62-4c5d-b6cf-b255f4472d72,Romeos Foodhall Bondi,Regular,Active,14859,48 Hall Street,,Bondi Beach,NSW,2026,Australia,-33.88997,151.27181,02 7201 8655,bondi@romeosretail.com.au,Monday to Sunday 7am - 7pm,"planning, delivery, pickup",Australia/Sydney
8a9e4044-c022-40d6-aa10-a23dd77a29e8,Georges Hall IGA,Regular,Active,52511,LOT 601,Birdwood Road,Georges Hall,NSW,2198,Australia,-33.91303,150.983713,02 97241011,georgeshalliga@gmail.com,Mon-Fri: 7am–9pm; Sat-Sun: 8am–8pm,"planning, delivery, pickup",Australia/Sydney
e2d7e827-8efc-46f1-b37c-22ea0953b8ee,IGA Beaumont Hills Plus Liquor,Regular,Active,43698,14/70 The Parkway & Buller Crescent,,Beaumont Hills,NSW,2155,Australia,-33.69823,150.94138,02 9146 0965,hadi@heartlandmarketgrocer.com.au,8am – 8pm 7 days a week,"planning, delivery, pickup",Australia/Sydney
da1e16f5-4d62-4f3c-a5ed-85e7359f2d96,IGA Mandurah,Regular,Active,48331,10/175 Mandurah Terrace, ,Mandurah,WA,6210,Australia,-32.52066,115.73132,08 9535 3644,igamandurah@gmail.com,Monday-Sunday 7:00am-9:00pm,"planning, delivery, pickup",Australia/Perth
4ce723ea-ec7e-42f7-930f-ce551fab2f74,IGA Waterloo,Regular,Active,4647,13-21 Botany Road,,Waterloo,NSW,2017,Australia,-33.89566,151.19917,02 9699 9559,igawaterloo@gmail.com,"Mon-Fri: 07:00 - 22:30, Sat-Sun: 08:00 - 22:00","planning, delivery, pickup",Australia/Sydney
b490559d-1b94-434e-82bb-00cd57adde8b,IGA Bundamba,Regular,Active,103318,61 Naomai Street,,Bundamba,QLD,4304,Australia,-27.62084,152.81289,07 3060 4220,bundambaiga@gmail.com,06:00 - 22:00,"planning, delivery, pickup",Australia/Brisbane
c1f57e20-58af-4b49-b168-4fa85ed0284b,IGA Hammondville,Regular,Active,14969,48 Walder Road,,Hammondville,NSW,2170,Australia,-33.94847,150.95458,02 9825 3071,iga@igahammondville.com.au,"Mon-Fri - 6:30 - 19:30, Sat-Sun - 7:00-19:00","planning, delivery, pickup",Australia/Sydney
e2bfd71d-e268-4a23-a7d1-26a582de51b5,Lloyd's IGA South Hurstville,Regular,Active,18052,3/2-8 Greenacre Road,,South Hurstville,NSW,2221,Australia,-33.9770011901856,151.102996826172,0295466242,sthhurstvilleiga@benzat.com.au,MON-SUN: 07:00 - 21:00,"planning, delivery, pickup",Australia/Sydney
dcbc543c-f9fe-4644-bb61-32a5445c8665,Morgan's IGA Gisborne,Regular,Active,19071,Cnr Brantome & Robertson Street,,Gisborne,VIC,3437,Australia,-37.5094299316406,144.567001342773,03 5428 3200,gisborne@morgansiga.com.au,8am-9pm Mon-Sun,"planning, delivery, pickup",Australia/Sydney
