store_no,name,division,address_line1,address_line2,suburb,state,postcode,latitude,longitude,phone,is_open,distance,gmt_zone,trading_hours
1550,Sydney Metcentre (Metro),SUPERMARKETS,60 Margaret Street,,Sydney,NSW,2000,-33.864935,151.206521,(02) 8565 9236,False,0.32,11:0,Today: Mon: 0600-2000 | Tomorrow: Tue: 0600-2000 | Wednesday: Wed: 0600-2000 | Thursday: Thu: 0600-2000 | Friday: Fri: 0600-2000 | Saturday: Sat: Closed | Sunday: Sun: Closed | Monday: Mon: 0600-2000
1211,Pitt St Mall (Metro),SUPERMARKETS,400 George St,,Sydney,NSW,2000,-33.8701,151.208267,(02) 9308 7388,False,0.59,11:0,Today: Mon: 0700-2200 | Tomorrow: Tue: 0700-2200 | Wednesday: Wed: 0700-2200 | Thursday: Thu: 0700-2200 | Friday: Fri: 0700-2200 | Saturday: Sat: 0800-2000 | Sunday: Sun: 0800-2000 | Monday: Mon: 0700-2200
8964,Barangaroo Metro,SUPERMARKETS,Shop 20/300 Barangaroo Ave,,Barangaroo,NSW,2000,-33.865306,151.202667,(02) 8709 4346,False,0.68,11:0,Today: Mon: 0700-2200 | Tomorrow: Tue: 0700-2200 | Wednesday: Wed: 0700-2200 | Thursday: Thu: 0700-2200 | Friday: Fri: 0700-2200 | Saturday: Sat: 0700-2200 | Sunday: Sun: 0700-2200 | Monday: Mon: 0700-2200
1248,Town Hall,SUPERMARKETS,Cnr Park & George Street,,Sydney,NSW,2000,-33.87304498,151.207038,(02) 8565 9275,False,0.94,11:0,Today: Mon: 0600-0000 | Tomorrow: Tue: 0600-0000 | Wednesday: Wed: 0600-0000 | Thursday: Thu: 0600-0000 | Friday: Fri: 0600-0000 | Saturday: Sat: 0700-0000 | Sunday: Sun: 0700-0000 | Monday: Mon: 0600-0000
1486,Woolloomooloo (Metro),SUPERMARKETS,75 Crown Street,,Woolloomooloo,NSW,2011,-33.87380218,151.2162258,(02) 8565 9321,False,1.14,11:0,Today: Mon: 0700-2300 | Tomorrow: Tue: 0700-2300 | Wednesday: Wed: 0700-2300 | Thursday: Thu: 0700-2300 | Friday: Fri: 0700-2300 | Saturday: Sat: 0700-2300 | Sunday: Sun: 0700-2300 | Monday: Mon: 0700-2300
1055,Potts Point (Metro),SUPERMARKETS,"Icon Building, 81 Macleay Street",,Potts Point,NSW,2011,-33.870603,151.2248,(02) 9308 7391,False,1.5,11:0,Today: Mon: 0700-2300 | Tomorrow: Tue: 0700-2300 | Wednesday: Wed: 0700-2300 | Thursday: Thu: 0700-2300 | Friday: Fri: 0700-2300 | Saturday: Sat: 0700-2300 | Sunday: Sun: 0700-2300 | Monday: Mon: 0700-2300
1270,Kings Cross Metro,SUPERMARKETS,111-139 Darlinghurst Rd,,Potts Point,NSW,2011,-33.874459,151.222562,(02) 8565 9381,False,1.57,11:0,Today: Mon: 0700-2300 | Tomorrow: Tue: 0700-2300 | Wednesday: Wed: 0700-2300 | Thursday: Thu: 0700-2300 | Friday: Fri: 0700-2300 | Saturday: Sat: 0700-2300 | Sunday: Sun: 0700-2300 | Monday: Mon: 0700-2300
1449,Pyrmont (Metro),SUPERMARKETS,63 Miller Street,,Pyrmont,NSW,2009,-33.8705305,151.1930142,(02) 8736 7447,False,1.68,11:0,Today: Mon: 0700-2300 | Tomorrow: Tue: 0700-2300 | Wednesday: Wed: 0700-2300 | Thursday: Thu: 0700-2300 | Friday: Fri: 0700-2300 | Saturday: Sat: 0700-2300 | Sunday: Sun: 0800-2300 | Monday: Mon: 0700-2300
1716,Haymarket Metro,SUPERMARKETS,61-79 Quay Street,,Haymarket,NSW,2000,-33.881461,151.203209,(02) 8736 7467,False,1.93,11:0,Today: Mon: 0700-2300 | Tomorrow: Tue: 0700-2300 | Wednesday: Wed: 0700-2300 | Thursday: Thu: 0700-2300 | Friday: Fri: 0700-2300 | Saturday: Sat: 0700-2300 | Sunday: Sun: 0700-2300 | Monday: Mon: 0700-2300
1256,Surry Hills (Metro),SUPERMARKETS,437 Bourke Street,,Surry Hills,NSW,2010,-33.882573,151.216238,(02) 8565 9212,False,2.04,11:0,Today: Mon: 0700-0000 | Tomorrow: Tue: 0700-0000 | Wednesday: Wed: 0700-0000 | Thursday: Thu: 0700-0000 | Friday: Fri: 0700-0000 | Saturday: Sat: 0700-0000 | Sunday: Sun: 0700-0000 | Monday: Mon: 0700-0000
1669,Central (Metro),SUPERMARKETS,302-306 Elizabeth Street,,Surry Hills,NSW,2010,-33.88372288,151.2084814,(02) 8736 7401,False,2.09,11:0,Today: Mon: 0600-0000 | Tomorrow: Tue: 0600-0000 | Wednesday: Wed: 0600-0000 | Thursday: Thu: 0600-0000 | Friday: Fri: 0600-0000 | Saturday: Sat: 0800-2200 | Sunday: Sun: 0800-2200 | Monday: Mon: 0600-0000
