title,price,category,producturl,imageurl,size,brand
Swisspers Baby Cotton Tips 40 pack,$3.20,Baby,https://www.woolworths.com.au/shop/productdetails/289333/swisspers-baby-cotton-tips,https://cdn1.woolworths.media/content/wowproductimages/large/289333.jpg,40,Swisspers
Cetaphil Baby Gentle Wash & Shampoo 400mL,$15.80,Baby,https://www.woolworths.com.au/shop/productdetails/26457/cetaphil-baby-gentle-wash-shampoo,https://cdn1.woolworths.media/content/wowproductimages/large/026457.jpg,400ml,Cetaphil
Aptamil Gold Stage 2 Follow On Baby Formula 6-12M 900g,$30.00,Baby,https://www.woolworths.com.au/shop/productdetails/378532/aptamil-gold-stage-2-follow-on-baby-formula-6-12m,https://cdn1.woolworths.media/content/wowproductimages/large/378532.jpg,900g,Aptamil
Huggies Thick Baby Wipes Fragrance Free 80 pack,$5.00,Baby,https://www.woolworths.com.au/shop/productdetails/20391/huggies-thick-baby-wipes-fragrance-free,https://cdn1.woolworths.media/content/wowproductimages/large/020391.jpg,80,Huggies
Little One's Baby Wipes 80 pack,$2.10,Baby,https://www.woolworths.com.au/shop/productdetails/961095/little-one-s-baby-wipes,https://cdn1.woolworths.media/content/wowproductimages/large/961095.jpg,80,Little One's
Little One's Baby Wipes 480 pack,$11.30,Baby,https://www.woolworths.com.au/shop/productdetails/961134/little-one-s-baby-wipes,https://cdn1.woolworths.media/content/wowproductimages/large/961134.jpg,480,Little One's
Huggies Thick Baby Wipes 99% Purified Water 72 pack,$5.00,Baby,https://www.woolworths.com.au/shop/productdetails/216801/huggies-thick-baby-wipes-99-purified-water,https://cdn1.woolworths.media/content/wowproductimages/large/216801.jpg,72,Huggies
Huggies Thick Baby Wipes Coconut Oil 80 pack,$5.00,Baby,https://www.woolworths.com.au/shop/productdetails/500427/huggies-thick-baby-wipes-coconut-oil,https://cdn1.woolworths.media/content/wowproductimages/large/500427.jpg,80,Huggies
Huggies Thick Baby Wipes Cucumber & Aloe 80 pack,$5.00,Baby,https://www.woolworths.com.au/shop/productdetails/368693/huggies-thick-baby-wipes-cucumber-aloe,https://cdn1.woolworths.media/content/wowproductimages/large/368693.jpg,80,Huggies
Aptamil Gold+ Colic & Constipation Baby Formula From 0-12 Months 900g,$34.00,Baby,https://www.woolworths.com.au/shop/productdetails/807364/aptamil-gold-colic-constipation-baby-formula-from-0-12-months,https://cdn1.woolworths.media/content/wowproductimages/large/807364.jpg,900g,Aptamil
Swisspers Baby Organic Cotton Pads 40 pack,$5.20,Baby,https://www.woolworths.com.au/shop/productdetails/289332/swisspers-baby-organic-cotton-pads,https://cdn1.woolworths.media/content/wowproductimages/large/289332.jpg,40,Swisspers
Aptamil Gold+ Reflux Baby Infant Formula From 0-12 Months 900g,$34.00,Baby,https://www.woolworths.com.au/shop/productdetails/91791/aptamil-gold-reflux-baby-infant-formula-from-0-12-months,https://cdn1.woolworths.media/content/wowproductimages/large/091791.jpg,900g,Aptamil
Little One's Baby Wipes Scented 80 pack,$2.10,Baby,https://www.woolworths.com.au/shop/productdetails/961133/little-one-s-baby-wipes-scented,https://cdn1.woolworths.media/content/wowproductimages/large/961133.jpg,80,Little One's
Little One's Nappy Bags Odour Neutralising 200 pack,$3.20,Baby,https://www.woolworths.com.au/shop/productdetails/573517/little-one-s-nappy-bags-odour-neutralising,https://cdn1.woolworths.media/content/wowproductimages/large/573517.jpg,200,Little One's
Little One's Size 5 Ultra Dry Nappies Walker 12-17kg Boys & Girls 44 pack,$11.50,Baby,https://www.woolworths.com.au/shop/productdetails/86177/little-one-s-size-5-ultra-dry-nappies-walker-12-17kg-boys-girls,https://cdn1.woolworths.media/content/wowproductimages/large/086177.jpg,44,Little One's
Little One's Size 6 Ultra Dry Nappies Junior 15-20kg Boys & Girls 40 pack,$11.50,Baby,https://www.woolworths.com.au/shop/productdetails/86178/little-one-s-size-6-ultra-dry-nappies-junior-15-20kg-boys-girls,https://cdn1.woolworths.media/content/wowproductimages/large/086178.jpg,40,Little One's
BabyLove Nappy Pants Size 6 (15-25kg) 22 pack,$20.00,Baby,https://www.woolworths.com.au/shop/productdetails/740040/babylove-nappy-pants-size-6-15-25kg-,https://cdn1.woolworths.media/content/wowproductimages/large/740040.jpg,22,Babylove
Woolworths Smiling Tums Pear Banana & Mango 120g,$1.00,Baby,https://www.woolworths.com.au/shop/productdetails/669672/woolworths-smiling-tums-pear-banana-mango,https://cdn1.woolworths.media/content/wowproductimages/large/669672.jpg,120g,Woolworths
Huggies Ultra Dry Nappy Pants Boys Size 6 (15kg+) 24 pack,$22.00,Baby,https://www.woolworths.com.au/shop/productdetails/568656/huggies-ultra-dry-nappy-pants-boys-size-6-15kg-,https://cdn1.woolworths.media/content/wowproductimages/large/568656.jpg,24,Huggies
Woolworths Smiling Tums 6 Months+ Apple & Banana With Oats 120g,$1.00,Baby,https://www.woolworths.com.au/shop/productdetails/669671/woolworths-smiling-tums-6-months-apple-banana-with-oats,https://cdn1.woolworths.media/content/wowproductimages/large/669671.jpg,120g,Woolworths
Huggies Ultra Dry Nappy Pants Boys Size 5 (12-17kg) 26 pack,$22.00,Baby,https://www.woolworths.com.au/shop/productdetails/568730/huggies-ultra-dry-nappy-pants-boys-size-5-12-17kg-,https://cdn1.woolworths.media/content/wowproductimages/large/568730.jpg,26,Huggies
Little One's Premium Baby Wipes Thick Unscented 80 pack,,Baby,https://www.woolworths.com.au/shop/productdetails/80347/little-one-s-premium-baby-wipes-thick-unscented,https://cdn1.woolworths.media/content/wowproductimages/large/080347.jpg,80,Little One's
Little Bellies Organic Berry & Apple Softcorn 8g,$1.85,Baby,https://www.woolworths.com.au/shop/productdetails/627742/little-bellies-organic-berry-apple-softcorn,https://cdn1.woolworths.media/content/wowproductimages/large/627742.jpg,8g,Little Bellies
BabyLove Nappy Pants Size 5 (12-17kg) 25 pack,$20.00,Baby,https://www.woolworths.com.au/shop/productdetails/740039/babylove-nappy-pants-size-5-12-17kg-,https://cdn1.woolworths.media/content/wowproductimages/large/740039.jpg,25,Babylove
