title,price,category,producturl,imageurl,size,brand
Biore Deep Cleansing Charcoal Pore Strip 6 pack,$7.50,Beauty,https://www.woolworths.com.au/shop/productdetails/482729/biore-deep-cleansing-charcoal-pore-strip,https://cdn1.woolworths.media/content/wowproductimages/large/482729.jpg,6,Biore
Got2B Farewell Fly Aways 16mL,$25.00,Beauty,https://www.woolworths.com.au/shop/productdetails/6005480/got2b-farewell-fly-aways,https://cdn1.woolworths.media/content/wowproductimages/large/6005480.jpg,16ml,Got2B
Got2B Hair Spray Curl Spray Define & Frizz Protection 150mL,$11.90,Beauty,https://www.woolworths.com.au/shop/productdetails/626940/got2b-hair-spray-curl-spray-define-frizz-protection,https://cdn1.woolworths.media/content/wowproductimages/large/626940.jpg,150ml,Got2B
Schwarzkopf Extra Care Hair Treatment Marrakesh Oil for Dry Hair 100mL,$17.00,Beauty,https://www.woolworths.com.au/shop/productdetails/151633/schwarzkopf-extra-care-hair-treatment-marrakesh-oil-for-dry-hair,https://cdn1.woolworths.media/content/wowproductimages/large/151633.jpg,100ml,Schwarzkopf
Woolworths SPF 50+ Sunscreen Pump 1L,$14.00,Beauty,https://www.woolworths.com.au/shop/productdetails/742305/woolworths-spf-50-sunscreen-pump,https://cdn1.woolworths.media/content/wowproductimages/large/742305.jpg,1l,Woolworths
Vaseline Petroleum Jelly Original 100g,$5.50,Beauty,https://www.woolworths.com.au/shop/productdetails/37241/vaseline-petroleum-jelly-original-original,https://cdn1.woolworths.media/content/wowproductimages/large/037241.jpg,100g,Vaseline
Nivea Lip Original Moisturising Lip Balm For Dry & Cracked Lips 4.8g,$2.50,Beauty,https://www.woolworths.com.au/shop/productdetails/567595/nivea-lip-original-moisturising-lip-balm-for-dry-cracked-lips,https://cdn1.woolworths.media/content/wowproductimages/large/567595.jpg,4.8g,Nivea
TRESemme Hairspray Extra Hold 360g,$9.00,Beauty,https://www.woolworths.com.au/shop/productdetails/227552/tresemme-hairspray-extra-hold-extra-hold-salon-finish,https://cdn1.woolworths.media/content/wowproductimages/large/227552.jpg,360g,Tresemmé
Tree Hut Shea Sugar Scrub Vanilla 510g,$22.00,Beauty,https://www.woolworths.com.au/shop/productdetails/6010622/tree-hut-shea-sugar-scrub-vanilla,https://cdn1.woolworths.media/content/wowproductimages/large/6010622.jpg,510g,Tree Hut
Woolworths SPF 50+ Everyday Sunscreen Tube 100mL,$4.00,Beauty,https://www.woolworths.com.au/shop/productdetails/840782/woolworths-spf-50-everyday-sunscreen-tube,https://cdn1.woolworths.media/content/wowproductimages/large/840782.jpg,100ml,Woolworths
Schwarzkopf Live Colour Red Hair Dye 7.98 Violet Red Permanent each,$15.00,Beauty,https://www.woolworths.com.au/shop/productdetails/227376/schwarzkopf-live-colour-red-hair-dye-7-98-violet-red-permanent,https://cdn1.woolworths.media/content/wowproductimages/large/227376.jpg,1,Schwarzkopf
Sally Hansen Nail Rehab Treatment Nail Polish 10mL,$18.00,Beauty,https://www.woolworths.com.au/shop/productdetails/778194/sally-hansen-nail-rehab-treatment-nail-polish,https://cdn1.woolworths.media/content/wowproductimages/large/778194.jpg,10ml,Sally Hansen
Schwarzkopf Extra Care Hair Treatment Ultimate Repair Leave In Spray 120mL,$14.00,Beauty,https://www.woolworths.com.au/shop/productdetails/151509/schwarzkopf-extra-care-hair-treatment-ultimate-repair-leave-in-spray,https://cdn1.woolworths.media/content/wowproductimages/large/151509.jpg,120ml,Schwarzkopf
