title,price,category,producturl,imageurl,size,brand
Mumm Marlborough Brut Prestige 750ml,$45.00,"Beer, Wine & Spirits",https://www.woolworths.com.au/shop/productdetails/116371/mumm-marlborough-brut-prestige,https://cdn1.woolworths.media/content/wowproductimages/large/116371.jpg,750ml,Mumm
Mumm Cordon Rouge Champagne Brut 750ml,$65.00,"Beer, Wine & Spirits",https://www.woolworths.com.au/shop/productdetails/144813/mumm-cordon-rouge-champagne-brut,https://cdn1.woolworths.media/content/wowproductimages/large/144813.jpg,750ml,Mumm
Hardys Stamp Chardonnay 1L,$10.00,"Beer, Wine & Spirits",https://www.woolworths.com.au/shop/productdetails/907367/hardys-stamp-chardonnay,https://cdn1.woolworths.media/content/wowproductimages/large/907367.jpg,1l,Hardys
Petaluma Chardonnay 750ml,$30.00,"Beer, Wine & Spirits",https://www.woolworths.com.au/shop/productdetails/750381/petaluma-chardonnay,https://cdn1.woolworths.media/content/wowproductimages/large/750381.jpg,750ml,Petaluma
Te Rua Bay Sauvignon Blanc 750ml,$20.00,"Beer, Wine & Spirits",https://www.woolworths.com.au/shop/productdetails/797306/te-rua-bay-sauvignon-blanc,https://cdn1.woolworths.media/content/wowproductimages/large/797306.jpg,750ml,Te Rua Bay
Riverside Landing Sauvignon Blanc 750ml,$4.00,"Beer, Wine & Spirits",https://www.woolworths.com.au/shop/productdetails/826673/riverside-landing-sauvignon-blanc,https://cdn1.woolworths.media/content/wowproductimages/large/826673.jpg,750ml,Riverside Landing
Riverside Landing Cabernet Merlot 750ml,$4.00,"Beer, Wine & Spirits",https://www.woolworths.com.au/shop/productdetails/826674/riverside-landing-cabernet-merlot,https://cdn1.woolworths.media/content/wowproductimages/large/826674.jpg,750ml,Riverside Landing
Riverside Landing Shiraz 750ml,$4.00,"Beer, Wine & Spirits",https://www.woolworths.com.au/shop/productdetails/826681/riverside-landing-shiraz,https://cdn1.woolworths.media/content/wowproductimages/large/826681.jpg,750ml,Riverside Landing
Chancellor & Co Sparkling Brut Cuvee Sparkling 750ml,$5.50,"Beer, Wine & Spirits",https://www.woolworths.com.au/shop/productdetails/346076/chancellor-co-sparkling-brut-cuvee-sparkling,https://cdn1.woolworths.media/content/wowproductimages/large/346076.jpg,750ml,Chancellor & Co
Great Northern Brewing Co Super Crisp Lager Cans 375mL x 30 case,$69.00,"Beer, Wine & Spirits",https://www.woolworths.com.au/shop/productdetails/446855/great-northern-brewing-co-super-crisp-lager-cans,https://cdn1.woolworths.media/content/wowproductimages/large/446855.jpg,375ml,Great Northern Brewing Co
Malibu White Rum Coconut Liqueur 700mL,$38.00,"Beer, Wine & Spirits",https://www.woolworths.com.au/shop/productdetails/97103/malibu-white-rum-coconut-liqueur,https://cdn1.woolworths.media/content/wowproductimages/large/097103.jpg,700ml,Malibu
Kahlua Coffee Liqueur 1L,$55.00,"Beer, Wine & Spirits",https://www.woolworths.com.au/shop/productdetails/75546/kahlua-coffee-liqueur,https://cdn1.woolworths.media/content/wowproductimages/large/075546.jpg,1l,Kahlua
Absolut Vodka 700mL,$57.00,"Beer, Wine & Spirits",https://www.woolworths.com.au/shop/productdetails/27720/absolut-vodka,https://cdn1.woolworths.media/content/wowproductimages/large/027720.jpg,700ml,Absolut
Absolut Vodka 1L,$69.00,"Beer, Wine & Spirits",https://www.woolworths.com.au/shop/productdetails/902023/absolut-vodka,https://cdn1.woolworths.media/content/wowproductimages/large/902023.jpg,1l,Absolut
Koa Cove Margaret River Semillion Sauvignon Blanc 750ml,$8.00,"Beer, Wine & Spirits",https://www.woolworths.com.au/shop/productdetails/675412/koa-cove-margaret-river-semillion-sauvignon-blanc,https://cdn1.woolworths.media/content/wowproductimages/large/675412.jpg,750ml,Koa
Baily & Baily Silhouette Pinot Grigio 1L,$7.00,"Beer, Wine & Spirits",https://www.woolworths.com.au/shop/productdetails/853430/baily-baily-silhouette-pinot-grigio,https://cdn1.woolworths.media/content/wowproductimages/large/853430.jpg,1l,Baily & Baily
Jacob's Creek Sauvignon Blanc 750ml,$10.00,"Beer, Wine & Spirits",https://www.woolworths.com.au/shop/productdetails/320969/jacob-s-creek-sauvignon-blanc,https://cdn1.woolworths.media/content/wowproductimages/large/320969.jpg,750ml,Jacob's Creek
Koa Sauvignon Blanc 750ml,$8.00,"Beer, Wine & Spirits",https://www.woolworths.com.au/shop/productdetails/103200/koa-sauvignon-blanc,https://cdn1.woolworths.media/content/wowproductimages/large/103200.jpg,750ml,Koa
Yalumba y Series Pinot Grigio 750ml,$15.00,"Beer, Wine & Spirits",https://www.woolworths.com.au/shop/productdetails/906782/yalumba-y-series-pinot-grigio,https://cdn1.woolworths.media/content/wowproductimages/large/906782.jpg,750ml,Yalumba
Cat Amongst The Pigeons Shiraz 750ml,$21.00,"Beer, Wine & Spirits",https://www.woolworths.com.au/shop/productdetails/322002/cat-amongst-the-pigeons-shiraz,https://cdn1.woolworths.media/content/wowproductimages/large/322002.jpg,750ml,Cat Amongst The Pigeons
