title,price,category,producturl,imageurl,size,brand
Fairy Platinum Dishwashing Tablets 20 pack,$10.00,Cleaning & Maintenance,https://www.woolworths.com.au/shop/productdetails/155625/fairy-platinum-dishwashing-tablets,https://cdn1.woolworths.media/content/wowproductimages/large/155625.jpg,20,Fairy
Fairy Platinum Dishwashing Tablets 52 pack,$23.00,Cleaning & Maintenance,https://www.woolworths.com.au/shop/productdetails/154829/fairy-platinum-dishwashing-tablets,https://cdn1.woolworths.media/content/wowproductimages/large/154829.jpg,52,Fairy
Fairy Platinum Dishwasher Tablets Lemon Scent 80 pack,$30.00,Cleaning & Maintenance,https://www.woolworths.com.au/shop/productdetails/6022467/fairy-platinum-dishwasher-tablets-lemon-scent,https://cdn1.woolworths.media/content/wowproductimages/large/6022467.jpg,80,Fairy
OMO with a touch of Comfort Laundry Capsules 3 in 1 50 pack,$27.00,Cleaning & Maintenance,https://www.woolworths.com.au/shop/productdetails/270039/omo-with-a-touch-of-comfort-laundry-capsules-3-in-1,https://cdn1.woolworths.media/content/wowproductimages/large/270039.jpg,50,OMO
Sorbent Silky White 3 Ply Toilet Paper 32 pack,,Cleaning & Maintenance,https://www.woolworths.com.au/shop/productdetails/132612/sorbent-silky-white-3-ply-toilet-paper,https://cdn1.woolworths.media/content/wowproductimages/large/132612.jpg,32,Sorbent
Vevelle Luxury Soft 3 Ply Toilet Tissue 24 pack,$10.00,Cleaning & Maintenance,https://www.woolworths.com.au/shop/productdetails/390686/vevelle-luxury-soft-3-ply-toilet-tissue,https://cdn1.woolworths.media/content/wowproductimages/large/390686.jpg,24,Vevelle
Quilton White 3 Ply Toilet Paper 24 pack,$13.60,Cleaning & Maintenance,https://www.woolworths.com.au/shop/productdetails/851925/quilton-white-3-ply-toilet-paper-white-180-sheets,https://cdn1.woolworths.media/content/wowproductimages/large/851925.jpg,24,Quilton
Viva Select-A-Size Paper Towel 3 x 90 pack,$5.00,Cleaning & Maintenance,https://www.woolworths.com.au/shop/productdetails/99245/viva-select-a-size-paper-towel-white-270-sheets,https://cdn1.woolworths.media/content/wowproductimages/large/099245.jpg,3x90,Viva
Surf Liquid Washing Detergent Tropical 4L,$20.00,Cleaning & Maintenance,https://www.woolworths.com.au/shop/productdetails/475333/surf-liquid-washing-detergent-tropical,https://cdn1.woolworths.media/content/wowproductimages/large/475333.jpg,4l,Surf
Fairy Platinum Dishwashing Tablets 41 pack,$19.50,Cleaning & Maintenance,https://www.woolworths.com.au/shop/productdetails/153360/fairy-platinum-dishwashing-tablets,https://cdn1.woolworths.media/content/wowproductimages/large/153360.jpg,41,Fairy
