title,price,category,producturl,imageurl,size,brand
SSS Foods White Bean Garlic & Basil Dip 200g,$4.30,Deli,https://www.woolworths.com.au/shop/productdetails/943264/sss-foods-white-bean-garlic-basil-dip,https://cdn1.woolworths.media/content/wowproductimages/large/943264.jpg,200g,SSS Foods
D'Orsogna Chorizo From The Deli,$13.00,Deli,https://www.woolworths.com.au/shop/productdetails/199215/d-orsogna-chorizo-from-the-deli,https://cdn1.woolworths.media/content/wowproductimages/large/199215.jpg,,D'Orsogna
D'Orsogna Tasty Sticks Mild From The Deli,$30.00,Deli,https://www.woolworths.com.au/shop/productdetails/381344/d-orsogna-tasty-sticks-mild-from-the-deli,https://cdn1.woolworths.media/content/wowproductimages/large/381344.jpg,,D'Orsogna
Don Premium Shredded Leg Ham 170g,$5.70,Deli,https://www.woolworths.com.au/shop/productdetails/6033693/don-premium-shredded-leg-ham,https://cdn1.woolworths.media/content/wowproductimages/large/6033693.jpg,170g,Don
Primo Diced Bacon Pieces Cook & Create Twin Pack 300g,$4.70,Deli,https://www.woolworths.com.au/shop/productdetails/250708/primo-diced-bacon-pieces-cook-create-twin-pack,https://cdn1.woolworths.media/content/wowproductimages/large/250708.jpg,300g,Primo
SSS Foods White Bean Garlic & Basil Dip 200g,$4.30,Deli,https://www.woolworths.com.au/shop/productdetails/943264/sss-foods-white-bean-garlic-basil-dip,https://cdn1.woolworths.media/content/wowproductimages/large/943264.jpg,200g,SSS Foods
Riverland Ham Sliced Quad Pack 500g,$7.40,Deli,https://www.woolworths.com.au/shop/productdetails/390863/riverland-ham-sliced-quad-pack,https://cdn1.woolworths.media/content/wowproductimages/large/390863.jpg,500g,Riverland
Bertocchi Soppressa Salami Mild Sliced From The Deli,$30.00,Deli,https://www.woolworths.com.au/shop/productdetails/14663/bertocchi-soppressa-salami-mild-sliced-from-the-deli,https://cdn1.woolworths.media/content/wowproductimages/large/014663.jpg,,Bertocchi
Don Pepperoni Sliced From The Deli,$30.00,Deli,https://www.woolworths.com.au/shop/productdetails/390984/don-pepperoni-sliced-from-the-deli,https://cdn1.woolworths.media/content/wowproductimages/large/390984.jpg,,Don
Woolworths Olives Pitted Mediterranean,$25.00,Deli,https://www.woolworths.com.au/shop/productdetails/439703/woolworths-olives-pitted-mediterranean,https://cdn1.woolworths.media/content/wowproductimages/large/439703.jpg,,Woolworths
SSS Foods White Bean Garlic & Basil Dip 200g,$4.30,Deli,https://www.woolworths.com.au/shop/productdetails/943264/sss-foods-white-bean-garlic-basil-dip,https://cdn1.woolworths.media/content/wowproductimages/large/943264.jpg,200g,SSS Foods
Primo Shredded Ham Cook & Create Twin Pack 300g,$4.70,Deli,https://www.woolworths.com.au/shop/productdetails/324316/primo-shredded-ham-cook-create-twin-pack,https://cdn1.woolworths.media/content/wowproductimages/large/324316.jpg,300g,Primo
D'Orsogna Prosciutto 100g,$6.40,Deli,https://www.woolworths.com.au/shop/productdetails/546295/d-orsogna-prosciutto,https://cdn1.woolworths.media/content/wowproductimages/large/546295.jpg,100g,D'Orsogna
Don Famous Football Hot Dogs Skinless 375g,$6.20,Deli,https://www.woolworths.com.au/shop/productdetails/64013/don-famous-football-hot-dogs-skinless,https://cdn1.woolworths.media/content/wowproductimages/large/064013.jpg,375g,Don
Hans Striker Salami Sticks 15g,$1.00,Deli,https://www.woolworths.com.au/shop/productdetails/47666/hans-striker-salami-sticks,https://cdn1.woolworths.media/content/wowproductimages/large/047666.jpg,15g,Hans
Woolworths Olives Kalamata Greek Pitted,$23.00,Deli,https://www.woolworths.com.au/shop/productdetails/56126/woolworths-olives-kalamata-greek-pitted,https://cdn1.woolworths.media/content/wowproductimages/large/056126.jpg,,Woolworths
Mayfair Hungarian Salami Mild 100g,$2.65,Deli,https://www.woolworths.com.au/shop/productdetails/544704/mayfair-hungarian-salami-mild,https://cdn1.woolworths.media/content/wowproductimages/large/544704.jpg,100g,Mayfair
Don Premium Real Diced Bacon 200g,$5.70,Deli,https://www.woolworths.com.au/shop/productdetails/128269/don-premium-real-diced-bacon,https://cdn1.woolworths.media/content/wowproductimages/large/128269.jpg,200g,Don
SSS Foods White Bean Garlic & Basil Dip 200g,$4.30,Deli,https://www.woolworths.com.au/shop/productdetails/943264/sss-foods-white-bean-garlic-basil-dip,https://cdn1.woolworths.media/content/wowproductimages/large/943264.jpg,200g,SSS Foods
Primo Cabanossi 300g,$6.70,Deli,https://www.woolworths.com.au/shop/productdetails/545880/primo-cabanossi,https://cdn1.woolworths.media/content/wowproductimages/large/545880.jpg,300g,Primo
Bertocchi Soppressa Salami Hot Sliced From The Deli,$30.00,Deli,https://www.woolworths.com.au/shop/productdetails/14627/bertocchi-soppressa-salami-hot-sliced-from-the-deli,https://cdn1.woolworths.media/content/wowproductimages/large/014627.jpg,,Bertocchi
K R Castlemaine Hungarian Salami Shaved Hot From The Deli,$36.00,Deli,https://www.woolworths.com.au/shop/productdetails/777944/k-r-castlemaine-hungarian-salami-shaved-hot-from-the-deli,https://cdn1.woolworths.media/content/wowproductimages/large/777944.jpg,,K R Castlemaine
Mayfair Cocktail Frankfurts 500g,$3.30,Deli,https://www.woolworths.com.au/shop/productdetails/6033336/mayfair-cocktail-frankfurts,https://cdn1.woolworths.media/content/wowproductimages/large/6033336.jpg,500g,Mayfair
Primo Chorizo 2 pack,$7.45,Deli,https://www.woolworths.com.au/shop/productdetails/328005/primo-chorizo-2-pack,https://cdn1.woolworths.media/content/wowproductimages/large/328005.jpg,2,Primo
Don Salami Sliced Pepperoni 100g,$5.70,Deli,https://www.woolworths.com.au/shop/productdetails/730850/don-salami-sliced-pepperoni,https://cdn1.woolworths.media/content/wowproductimages/large/730850.jpg,100g,Don
Mt Barker Free Range Roasted Carved Chicken Breast 220g,$8.50,Deli,https://www.woolworths.com.au/shop/productdetails/906432/mt-barker-free-range-roasted-carved-chicken-breast,https://cdn1.woolworths.media/content/wowproductimages/large/906432.jpg,220g,Mt Barker
SSS Foods White Bean Garlic & Basil Dip 200g,$4.30,Deli,https://www.woolworths.com.au/shop/productdetails/943264/sss-foods-white-bean-garlic-basil-dip,https://cdn1.woolworths.media/content/wowproductimages/large/943264.jpg,200g,SSS Foods
Woolworths Kalamata Pitted Olives In Italian Vinegar 120g,$3.75,Deli,https://www.woolworths.com.au/shop/productdetails/310250/woolworths-kalamata-pitted-olives-in-italian-vinegar,https://cdn1.woolworths.media/content/wowproductimages/large/310250.jpg,120g,Woolworths
Mayfair Thin Frankfurts 500g,$3.30,Deli,https://www.woolworths.com.au/shop/productdetails/6033334/mayfair-thin-frankfurts,https://cdn1.woolworths.media/content/wowproductimages/large/6033334.jpg,500g,Mayfair
Primo Danish Salami Mild Shaved From The Deli,$32.50,Deli,https://www.woolworths.com.au/shop/productdetails/25260/primo-danish-salami-mild-shaved-from-the-deli,https://cdn1.woolworths.media/content/wowproductimages/large/025260.jpg,,Primo
Primo Cabanossi From The Deli,$24.00,Deli,https://www.woolworths.com.au/shop/productdetails/10239/primo-cabanossi-from-the-deli,https://cdn1.woolworths.media/content/wowproductimages/large/010239.jpg,,Primo
Mayfair Devon Slices 100g,$1.20,Deli,https://www.woolworths.com.au/shop/productdetails/807898/mayfair-devon-slices,https://cdn1.woolworths.media/content/wowproductimages/large/807898.jpg,100g,Mayfair
Primo Hot Hungarian Sliced Salami 80g,$3.95,Deli,https://www.woolworths.com.au/shop/productdetails/68488/primo-hot-hungarian-sliced-salami,https://cdn1.woolworths.media/content/wowproductimages/large/068488.jpg,80g,Primo
Hans Twiggy Sticks Mild 500g,$16.00,Deli,https://www.woolworths.com.au/shop/productdetails/6008517/hans-twiggy-sticks-mild,https://cdn1.woolworths.media/content/wowproductimages/large/6008517.jpg,500g,Hans
Mt Barker Free Range Roasted Shredded Chicken 200g,$8.50,Deli,https://www.woolworths.com.au/shop/productdetails/904897/mt-barker-free-range-roasted-shredded-chicken,https://cdn1.woolworths.media/content/wowproductimages/large/904897.jpg,200g,Mt Barker
SSS Foods White Bean Garlic & Basil Dip 200g,$4.30,Deli,https://www.woolworths.com.au/shop/productdetails/943264/sss-foods-white-bean-garlic-basil-dip,https://cdn1.woolworths.media/content/wowproductimages/large/943264.jpg,200g,SSS Foods
D'Orsogna Tasty Sticks Mild 200g,$6.50,Deli,https://www.woolworths.com.au/shop/productdetails/763141/d-orsogna-tasty-sticks-mild,https://cdn1.woolworths.media/content/wowproductimages/large/763141.jpg,200g,D'Orsogna
Moira Mac's Ready to Eat Shredded Chicken 420g,$7.00,Deli,https://www.woolworths.com.au/shop/productdetails/217312/moira-mac-s-ready-to-eat-shredded-chicken,https://cdn1.woolworths.media/content/wowproductimages/large/217312.jpg,420g,Moira Mac's
Absolutely Wrapped Absolutely Wrapped Meat Lovers each,$40.00,Deli,https://www.woolworths.com.au/shop/productdetails/802583/absolutely-wrapped-absolutely-wrapped-meat-lovers,https://cdn1.woolworths.media/content/wowproductimages/large/802583.jpg,1,Absolutely Wrapped
