title,price,category,producturl,imageurl,size,brand
Red Bull Berry Edition Sugar Free 250mL,$2.80,Drinks,https://www.woolworths.com.au/shop/productdetails/6008388/red-bull-berry-edition-sugar-free,https://cdn1.woolworths.media/content/wowproductimages/large/6008388.jpg,250ml,Red Bull
Mount Franklin Lightly Sparkling Water Raspberry Cans 250mL x 6 pack,$6.00,Drinks,https://www.woolworths.com.au/shop/productdetails/242611/mount-franklin-lightly-sparkling-water-raspberry-cans,https://cdn1.woolworths.media/content/wowproductimages/large/242611.jpg,6x250ml,Mount Franklin
Mount Franklin Sparkling Water Cans Pineapple 250mL x 6 pack,$6.00,Drinks,https://www.woolworths.com.au/shop/productdetails/6024668/mount-franklin-sparkling-water-cans-pineapple,https://cdn1.woolworths.media/content/wowproductimages/large/6024668.jpg,6x250ml,Mount Franklin
Red Bull Energy Drink 250mL x 4 pack,$12.50,Drinks,https://www.woolworths.com.au/shop/productdetails/162609/red-bull-energy-drink,https://cdn1.woolworths.media/content/wowproductimages/large/162609.jpg,4x250ml,Red Bull
Coca-Cola Classic  Soft Drink Bottle 1.25L,$4.00,Drinks,https://www.woolworths.com.au/shop/productdetails/32731/coca-cola-classic-soft-drink-bottle,https://cdn1.woolworths.media/content/wowproductimages/large/032731.jpg,1.25l,Coca-Cola 
Red Bull Energy Drink Cans 250mL x 8 pack,$14.70,Drinks,https://www.woolworths.com.au/shop/productdetails/331784/red-bull-energy-drink-cans,https://cdn1.woolworths.media/content/wowproductimages/large/331784.jpg,8x250ml,Red Bull
Red Bull Energy Drink Cans 250mL x 12 pack,$24.00,Drinks,https://www.woolworths.com.au/shop/productdetails/223875/red-bull-energy-drink-cans,https://cdn1.woolworths.media/content/wowproductimages/large/223875.jpg,12x250ml,Red Bull
Woolworths Sparkling Mineral Water 1.25L,$1.10,Drinks,https://www.woolworths.com.au/shop/productdetails/799638/woolworths-sparkling-mineral-water,https://cdn1.woolworths.media/content/wowproductimages/large/799638.jpg,1.25l,Woolworths
Coca-Cola Zero Sugar Soft Drink Multipack Cans 375mL x 30 pack,$50.00,Drinks,https://www.woolworths.com.au/shop/productdetails/679121/coca-cola-zero-sugar-soft-drink-multipack-cans,https://cdn1.woolworths.media/content/wowproductimages/large/679121.jpg,30x375ml,Coca-Cola 
Coca-Cola Classic  Soft Drink Multipack Cans 375mL x 30 pack,$50.00,Drinks,https://www.woolworths.com.au/shop/productdetails/84552/coca-cola-classic-soft-drink-multipack-cans,https://cdn1.woolworths.media/content/wowproductimages/large/084552.jpg,30x375ml,Coca-Cola 
Coca-Cola Zero Sugar Soft Drink Bottle 1.25L,$4.00,Drinks,https://www.woolworths.com.au/shop/productdetails/623034/coca-cola-zero-sugar-soft-drink-bottle,https://cdn1.woolworths.media/content/wowproductimages/large/623034.jpg,1.25l,Coca-Cola 
Raw C Coconut Water Pure Natural 1L,$3.50,Drinks,https://www.woolworths.com.au/shop/productdetails/785627/raw-c-coconut-water-pure-natural,https://cdn1.woolworths.media/content/wowproductimages/large/785627.jpg,1l,Raw C
Woolworths Soda Water 1.25L,$1.15,Drinks,https://www.woolworths.com.au/shop/productdetails/799637/woolworths-soda-water,https://cdn1.woolworths.media/content/wowproductimages/large/799637.jpg,1.25l,Woolworths
Coca-Cola Classic  Soft Drink Bottle 2L,$3.50,Drinks,https://www.woolworths.com.au/shop/productdetails/38121/coca-cola-classic-soft-drink-bottle-bottle,https://cdn1.woolworths.media/content/wowproductimages/large/038121.jpg,2l,Coca-Cola 
Pepsi Max No Sugar Cola Soft Drink Bottle 1.25L,$2.00,Drinks,https://www.woolworths.com.au/shop/productdetails/7985/pepsi-max-no-sugar-cola-soft-drink-bottle,https://cdn1.woolworths.media/content/wowproductimages/large/007985.jpg,1.25l,Pepsi Max
Woolworths Apple Juice 2L,$2.70,Drinks,https://www.woolworths.com.au/shop/productdetails/825527/woolworths-apple-juice,https://cdn1.woolworths.media/content/wowproductimages/large/825527.jpg,2l,Woolworths
Pepsi Max No Sugar Cola Soft Drink Cans Multipack 375mL x 30 pack,$28.00,Drinks,https://www.woolworths.com.au/shop/productdetails/773129/pepsi-max-no-sugar-cola-soft-drink-cans-multipack,https://cdn1.woolworths.media/content/wowproductimages/large/773129.jpg,30x375ml,Pepsi Max
Coca-Cola Zero Sugar Soft Drink Bottle 2L,$3.50,Drinks,https://www.woolworths.com.au/shop/productdetails/672966/coca-cola-zero-sugar-soft-drink-bottle,https://cdn1.woolworths.media/content/wowproductimages/large/672966.jpg,2l,Coca-Cola 
Lipton Peach Iced Tea Bottle Peach 1.5L,$6.00,Drinks,https://www.woolworths.com.au/shop/productdetails/305224/lipton-peach-iced-tea-bottle-peach,https://cdn1.woolworths.media/content/wowproductimages/large/305224.jpg,1.5l,Lipton
Red Bull Energy Drink 473mL x 4 pack,$15.00,Drinks,https://www.woolworths.com.au/shop/productdetails/679135/red-bull-energy-drink,https://cdn1.woolworths.media/content/wowproductimages/large/679135.jpg,4x473ml,Red Bull
Red Bull Energy Drink The Summer Edition Blueberry Flavour Can 250mL,$2.80,Drinks,https://www.woolworths.com.au/shop/productdetails/916530/red-bull-energy-drink-the-summer-edition-blueberry-flavour-can,https://cdn1.woolworths.media/content/wowproductimages/large/916530.jpg,250ml,Red Bull
Coca-Cola Classic  Soft Drink Multipack Cans 375mL X 24 pack,$24.75,Drinks,https://www.woolworths.com.au/shop/productdetails/42605/coca-cola-classic-soft-drink-multipack-cans,https://cdn1.woolworths.media/content/wowproductimages/large/042605.jpg,24x375ml,Coca-Cola 
Coca-Cola Zero Sugar Soft Drink Multipack Cans 375mL x 24 pack,$24.75,Drinks,https://www.woolworths.com.au/shop/productdetails/669683/coca-cola-zero-sugar-soft-drink-multipack-cans,https://cdn1.woolworths.media/content/wowproductimages/large/669683.jpg,24x375ml,Coca-Cola 
Woolworths Lemonade Bottle 1.25L,$1.15,Drinks,https://www.woolworths.com.au/shop/productdetails/333339/woolworths-lemonade-bottle,https://cdn1.woolworths.media/content/wowproductimages/large/333339.jpg,1.25l,Woolworths
