title,price,category,producturl,imageurl,size,brand
"Samsung 83"" OLED S90F 4K Vision AI Smart TV (New) (83'')",$6999.00,Electronics,https://www.woolworths.com.au/shop/productdetails/1124033445/samsung-83-oled-s90f-4k-vision-ai-smart-tv-new-83-,https://cdn1.woolworths.media/content/wowproductimages/large/1124033445.jpg,83'',Samsung
"Samsung 98"" Neo QLED QN90F 4K Vision AI Smart TV (New) (98"", Black)",$9999.00,Electronics,https://www.woolworths.com.au/shop/productdetails/1124158739/samsung-98-neo-qled-qn90f-4k-vision-ai-smart-tv-new-98-black-,https://cdn1.woolworths.media/content/wowproductimages/large/1124158739.jpg,98'',Samsung
"Samsung 77"" OLED S95F 4K Vision AI Smart TV (New) (77"", Black)",$7999.00,Electronics,https://www.woolworths.com.au/shop/productdetails/1124033193/samsung-77-oled-s95f-4k-vision-ai-smart-tv-new-77-black-,https://cdn1.woolworths.media/content/wowproductimages/large/1124033193.jpg,77'',Samsung
G9 Ryzen 7 9800X3D GeForce RTX 5090 Gaming PC 58204,$10083.40,Electronics,https://www.woolworths.com.au/shop/productdetails/1123726607/g9-ryzen-7-9800x3d-geforce-rtx-5090-gaming-pc-58204,https://cdn1.woolworths.media/content/wowproductimages/large/1123726607.jpg,,Unknown
"Samsung 65"" OLED S90F 4K Vision AI Smart TV (New) (65"", Black)",$3299.00,Electronics,https://www.woolworths.com.au/shop/productdetails/1124033161/samsung-65-oled-s90f-4k-vision-ai-smart-tv-new-65-black-,https://cdn1.woolworths.media/content/wowproductimages/large/1124033161.jpg,65'',Samsung
"NVIDIA RTX PRO 6000 Blackwell Server Edition, 4+ pc",$19999.00,Electronics,https://www.woolworths.com.au/shop/productdetails/1124930367/nvidia-rtx-pro-6000-blackwell-server-edition-4-pc,https://cdn1.woolworths.media/content/wowproductimages/large/1124930367.jpg,4+,Leadtek
"Sony Bravia TV 75"" - 4K Ultra HD - High Dynamic Range (HDR) - Smart (Google TV) - FWD75X77L",$2035.00,Electronics,https://www.woolworths.com.au/shop/productdetails/1117689243/sony-bravia-tv-75-4k-ultra-hd-high-dynamic-range-hdr-smart-google-tv-fwd75x77l,https://cdn1.woolworths.media/content/wowproductimages/large/1117689243.jpg,77l,Sony
"NVIDIA RTX 6000 Ada, 48GB, GDDR6 384-bit, 960 GB/s, PCIe Gen4 x16 , Dual Slot, 300W, Ada Lovelace, 3YR Warranty 900-5G133-2550-000",$15425.12,Electronics,https://www.woolworths.com.au/shop/productdetails/1119617259/nvidia-rtx-6000-ada-48gb-gddr6-384-bit-960-gb-s-pcie-gen4-x16-dual-slot-300w-ada-lovelace-3yr-warranty-900-5g133-2550-000,https://cdn1.woolworths.media/content/wowproductimages/large/1119617259.jpg,48gb,NVIDIA
"Samsung 65"" Crystal UHD U8500F 4K Smart TV (New) (65"", Black)",$1299.00,Electronics,https://www.woolworths.com.au/shop/productdetails/1124033419/samsung-65-crystal-uhd-u8500f-4k-smart-tv-new-65-black-,https://cdn1.woolworths.media/content/wowproductimages/large/1124033419.jpg,65'',Samsung
Chevron Alkaline Aa 10 Pack,$6.00,Electronics,https://www.woolworths.com.au/shop/productdetails/262173/chevron-alkaline-aa-alkaline,https://cdn1.woolworths.media/content/wowproductimages/large/262173.jpg,10,Chevron
"Samsung 85"" Neo QLED QN900F 8K Vision AI Smart TV (New) (85"", Black)",$5999.00,Electronics,https://www.woolworths.com.au/shop/productdetails/1124032931/samsung-85-neo-qled-qn900f-8k-vision-ai-smart-tv-new-85-black-,https://cdn1.woolworths.media/content/wowproductimages/large/1124032931.jpg,85'',Samsung
Huawei Mate XT Ultimate Black 16GB 512GB - Brand New,$4875.00,Electronics,https://www.woolworths.com.au/shop/productdetails/1125330671/huawei-mate-xt-ultimate-black-16gb-512gb-brand-new,https://cdn1.woolworths.media/content/wowproductimages/large/1125330671.jpg,16gb 512gb,Huawei
G9 Ryzen 7 9800X3D GeForce RTX 5090 Gaming PC 58205,$8963.40,Electronics,https://www.woolworths.com.au/shop/productdetails/1122136065/g9-ryzen-7-9800x3d-geforce-rtx-5090-gaming-pc-58205,https://cdn1.woolworths.media/content/wowproductimages/large/1122136065.jpg,,Unknown
Chevron Alkaline Aaa 10 Pack,$6.00,Electronics,https://www.woolworths.com.au/shop/productdetails/262176/chevron-alkaline-aaa-alkaline,https://cdn1.woolworths.media/content/wowproductimages/large/262176.jpg,10,Chevron
"Samsung 77"" OLED S90F 4K Vision AI Smart TV (New) (77"", Black)",$4999.00,Electronics,https://www.woolworths.com.au/shop/productdetails/1124033451/samsung-77-oled-s90f-4k-vision-ai-smart-tv-new-77-black-,https://cdn1.woolworths.media/content/wowproductimages/large/1124033451.jpg,77'',Samsung
PlayStation 5 Digital Console,$749.00,Electronics,https://www.woolworths.com.au/shop/productdetails/1120434513/playstation-5-digital-console,https://cdn1.woolworths.media/content/wowproductimages/large/1120434513.jpg,,Playstation
"NVIDIA RTX 6000 Ada, 48GB, GDDR6 384-bit, 960 GB/s, PCIe Gen4 x16 , Dual Slot, 300W, Ada Lovelace",$14969.00,Electronics,https://www.woolworths.com.au/shop/productdetails/1121963361/nvidia-rtx-6000-ada-48gb-gddr6-384-bit-960-gb-s-pcie-gen4-x16-dual-slot-300w-ada-lovelace,https://cdn1.woolworths.media/content/wowproductimages/large/1121963361.jpg,48gb,NVIDIA
Sony PS5 PlayStation 5 Console Slim,$881.95,Electronics,https://www.woolworths.com.au/shop/productdetails/1117531931/sony-ps5-playstation-5-console-slim,https://cdn1.woolworths.media/content/wowproductimages/large/1117531931.jpg,,Playstation
Energizer Max AA Alkaline Batteries 24 pack,$29.00,Electronics,https://www.woolworths.com.au/shop/productdetails/430270/energizer-max-aa-alkaline-batteries,https://cdn1.woolworths.media/content/wowproductimages/large/430270.jpg,24,Energizer
Energizer Max AAA Alkaline Batteries 24 pack,$29.00,Electronics,https://www.woolworths.com.au/shop/productdetails/848417/energizer-max-aaa-alkaline-batteries-aaa-batteries,https://cdn1.woolworths.media/content/wowproductimages/large/848417.jpg,24,Energizer
"Samsung 75"" Neo QLED QN90F 4K Vision AI Smart TV (New) (75"", Black)",$4499.00,Electronics,https://www.woolworths.com.au/shop/productdetails/1124033157/samsung-75-neo-qled-qn90f-4k-vision-ai-smart-tv-new-75-black-,https://cdn1.woolworths.media/content/wowproductimages/large/1124033157.jpg,75'',Samsung
"Samsung 77"" OLED S85F 4K Vision AI Smart TV (New) (77"", Black)",$4999.00,Electronics,https://www.woolworths.com.au/shop/productdetails/1124033259/samsung-77-oled-s85f-4k-vision-ai-smart-tv-new-77-black-,https://cdn1.woolworths.media/content/wowproductimages/large/1124033259.jpg,77'',Samsung
"Samsung 75” Neo QLED QN85F 4K Vision AI Smart TV (New) (75"", Black)",$3599.00,Electronics,https://www.woolworths.com.au/shop/productdetails/1124032935/samsung-75-neo-qled-qn85f-4k-vision-ai-smart-tv-new-75-black-,https://cdn1.woolworths.media/content/wowproductimages/large/1124032935.jpg,75'',Samsung
"Samsung 65"" Neo QLED QN90F 4K Vision AI Smart TV (New) (65"", Black)",$3499.00,Electronics,https://www.woolworths.com.au/shop/productdetails/1124158719/samsung-65-neo-qled-qn90f-4k-vision-ai-smart-tv-new-65-black-,https://cdn1.woolworths.media/content/wowproductimages/large/1124158719.jpg,65'',Samsung
"Samsung 85"" Crystal UHD U8500F 4K Smart TV (New) (85"", Black)",$2499.00,Electronics,https://www.woolworths.com.au/shop/productdetails/1124158753/samsung-85-crystal-uhd-u8500f-4k-smart-tv-new-85-black-,https://cdn1.woolworths.media/content/wowproductimages/large/1124158753.jpg,85'',Samsung
Sony PlayStation 5 PS5 Pro Digital Edition 2TB - Brand New,$1643.00,Electronics,https://www.woolworths.com.au/shop/productdetails/1122902025/sony-playstation-5-ps5-pro-digital-edition-2tb-brand-new,https://cdn1.woolworths.media/content/wowproductimages/large/1122902025.jpg,2tb,Sony
Allied Stinger-I: RTX 5060 Gaming PC,$1599.00,Electronics,https://www.woolworths.com.au/shop/productdetails/1125011981/allied-stinger-i-rtx-5060-gaming-pc,https://cdn1.woolworths.media/content/wowproductimages/large/1125011981.jpg,,Allied
"Yealink MB86Pro-A02 86'' MeetingBoard Microsoft Teams on Android, Triple-eye Camera System (3*50MP), Floorstand & Wallmount not included, Android",$19999.00,Electronics,https://www.woolworths.com.au/shop/productdetails/1124245479/yealink-mb86pro-a02-86-meetingboard-microsoft-teams-on-android-triple-eye-camera-system-3-50mp-floorstand-wallmount-not-included-android,https://cdn1.woolworths.media/content/wowproductimages/large/1124245479.jpg,86'',Yealink
"Yealink 86'' Android based Teams MeetingBoard for Medium and Large Rooms, includes wall mount bracket, 4x stylus pens (includes 2 year AMS)",$18999.00,Electronics,https://www.woolworths.com.au/shop/productdetails/1115089751/yealink-86-android-based-teams-meetingboard-for-medium-and-large-rooms-includes-wall-mount-bracket-4x-stylus-pens-includes-2-year-ams-,https://cdn1.woolworths.media/content/wowproductimages/large/1115089751.jpg,86'',Yealink
Energizer 2032 CR2032 Lithium Coin Battery 2 pack,$10.50,Electronics,https://www.woolworths.com.au/shop/productdetails/221795/energizer-2032-cr2032-lithium-coin-battery,https://cdn1.woolworths.media/content/wowproductimages/large/221795.jpg,2,Energizer
