title,price,category,producturl,imageurl,size,brand
Swisspers Cotton Tips 240 pack,$5.00,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/136913/swisspers-cotton-tips,https://cdn1.woolworths.media/content/wowproductimages/large/136913.jpg,240,Swisspers
Band-Aid Extra Wide Plastic Strips 40 pack,$5.00,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/26940/band-aid-extra-wide-plastic-strips,https://cdn1.woolworths.media/content/wowproductimages/large/026940.jpg,40,Band-aid
Swisspers Cotton Tips With Paper Stems 120 pack,$2.90,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/805123/swisspers-cotton-tips-with-paper-stems,https://cdn1.woolworths.media/content/wowproductimages/large/805123.jpg,120,Swisspers
Band-Aid Tough Strips Regular 20 pack,$3.50,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/225621/band-aid-tough-strips-regular,https://cdn1.woolworths.media/content/wowproductimages/large/225621.jpg,20,Band-aid
Macro Organic Corn Chips Natural 200g,$4.00,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/331595/macro-organic-corn-chips-natural,https://cdn1.woolworths.media/content/wowproductimages/large/331595.jpg,200g,Macro
Macro Black Chia Seeds 350g,$5.80,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/651474/macro-black-chia-seeds,https://cdn1.woolworths.media/content/wowproductimages/large/651474.jpg,350g,Macro
Woolworths Essentials Paracetamol 500mg Tablets 16 pack,$0.64,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/431970/woolworths-essentials-paracetamol-500mg-tablets,https://cdn1.woolworths.media/content/wowproductimages/large/431970.jpg,16,Woolworths Essentials
Panadol Mini Caps For Pain Relief Paracetamol 500mg 16 pack,$4.80,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/916717/panadol-mini-caps-for-pain-relief-paracetamol-500mg,https://cdn1.woolworths.media/content/wowproductimages/large/916717.jpg,16,Panadol
Essentials Ibuprofen 200Mg Tablets 24 pack,$1.55,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/204919/essentials-ibuprofen-200mg-tablets,https://cdn1.woolworths.media/content/wowproductimages/large/204919.jpg,24,Essentials
Ceres Organics Brown Rice Cakes Original 110g,$3.80,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/363227/ceres-organics-brown-rice-cakes-original,https://cdn1.woolworths.media/content/wowproductimages/large/363227.jpg,110g,Ceres Organics
First Response Test & Reassure Pregnancy Test 3 pack,$30.00,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/273825/first-response-test-reassure-pregnancy-test,https://cdn1.woolworths.media/content/wowproductimages/large/273825.jpg,3,First Response
First Response Pregnancy Test Instream Test 3 pack,$20.00,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/232256/first-response-pregnancy-test-instream-test,https://cdn1.woolworths.media/content/wowproductimages/large/232256.jpg,3,First Response
Band-Aid Waterproof Tough Strips Extra Large 10 pack,$4.95,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/353656/band-aid-waterproof-tough-strips-extra-large,https://cdn1.woolworths.media/content/wowproductimages/large/353656.jpg,10,Band-aid
Swisspers Cotton Pads Make Up 80 pack,$4.30,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/15722/swisspers-cotton-pads-make-up,https://cdn1.woolworths.media/content/wowproductimages/large/015722.jpg,80,Swisspers
Woolworths Sesame Seeds 100g,$1.65,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/501762/woolworths-sesame-seeds,https://cdn1.woolworths.media/content/wowproductimages/large/501762.jpg,100g,Woolworths
Medjool Dates Punnet 450g,$12.50,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/774695/golden-palm-medjool-dates-punnet,https://cdn1.woolworths.media/content/wowproductimages/large/774695.jpg,450g,Golden Palm
Grenade Oreo Milk Chocolate Protein Bar 60g,$5.00,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/286090/grenade-oreo-milk-chocolate-protein-bar,https://cdn1.woolworths.media/content/wowproductimages/large/286090.jpg,60g,Grenade
Panadol Rapid For Fast Pain Relief With Paracetamol 500mg 16 pack,$5.70,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/916772/panadol-rapid-for-fast-pain-relief-with-paracetamol-500mg,https://cdn1.woolworths.media/content/wowproductimages/large/916772.jpg,16,Panadol
Panadol With Optizorb Paracetamol For Fast Pain Relief 500mg 16 pack,$3.75,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/916718/panadol-with-optizorb-paracetamol-for-fast-pain-relief-500mg,https://cdn1.woolworths.media/content/wowproductimages/large/916718.jpg,16,Panadol
San Remo Gluten Free Spirals 350g,$3.50,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/657399/san-remo-gluten-free-spirals,https://cdn1.woolworths.media/content/wowproductimages/large/657399.jpg,350g,San Remo
Woolworths Crunchy Natural Almonds 400g,$10.00,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/600808/woolworths-crunchy-natural-almonds,https://cdn1.woolworths.media/content/wowproductimages/large/600808.jpg,400g,Woolworths
Ceres Organics Organics Seaweed Nori Multipack 8x2g each,$6.50,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/726442/ceres-organics-organics-seaweed-nori-multipack-8x2g,https://cdn1.woolworths.media/content/wowproductimages/large/726442.jpg,1,Ceres Organics
Macro Organic Quinoa Tri Colour 500g,$6.50,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/717631/macro-organic-quinoa-tri-colour,https://cdn1.woolworths.media/content/wowproductimages/large/717631.jpg,500g,Macro
Funday Natural Sweets Flavoured Gummies Strawberry & Cream 50g,$4.50,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/376068/funday-natural-sweets-flavoured-gummies-strawberry-cream,https://cdn1.woolworths.media/content/wowproductimages/large/376068.jpg,50g,Funday
Woolworths Sunflower Seeds 200g,$2.00,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/501763/woolworths-sunflower-seeds,https://cdn1.woolworths.media/content/wowproductimages/large/501763.jpg,200g,Woolworths
Macro Organic Spaghetti Pasta 500g,$1.95,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/215450/macro-organic-spaghetti-pasta,https://cdn1.woolworths.media/content/wowproductimages/large/215450.jpg,500g,Macro
Help@Hand Cotton Tips No Plastic Stems 200 pack,$2.50,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/220751/help-hand-cotton-tips-no-plastic-stems,https://cdn1.woolworths.media/content/wowproductimages/large/220751.jpg,200,Help@Hand
Woolworths Cashew & Macadamia Roasted & Salted 400g,$12.00,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/380794/woolworths-cashew-macadamia-roasted-salted,https://cdn1.woolworths.media/content/wowproductimages/large/380794.jpg,400g,Woolworths
Weet-Bix Gluten Free Breakfast Cereal 375g,$4.60,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/794875/weet-bix-gluten-free-breakfast-cereal,https://cdn1.woolworths.media/content/wowproductimages/large/794875.jpg,375g,Weet-Bix
Help@Hand Make Up Pads 80 pack,$1.50,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/791122/help-hand-make-up-pads,https://cdn1.woolworths.media/content/wowproductimages/large/791122.jpg,80,Help@Hand
Vege Chips Multi 12 Pack 250g,$9.50,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/57855/vege-chips-multi-12-pack,https://cdn1.woolworths.media/content/wowproductimages/large/057855.jpg,250g,Vege Chips
Nurofen Pain And Inflammation Relief Tablets 200Mg Ibuprofen 24 pack,$7.50,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/203647/nurofen-pain-and-inflammation-relief-tablets-200mg-ibuprofen,https://cdn1.woolworths.media/content/wowproductimages/large/203647.jpg,24,Nurofen
Band-Aid Waterproof Tough Strips 20 pack,$4.50,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/248657/band-aid-waterproof-tough-strips,https://cdn1.woolworths.media/content/wowproductimages/large/248657.jpg,20,Band-aid
The Happy Snack Company Kids Fava Beans Pizza 10 pack,$4.80,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/932517/the-happy-snack-company-kids-fava-beans-pizza,https://cdn1.woolworths.media/content/wowproductimages/large/932517.jpg,10,The Happy Snack Company
Kez's Kitchen Chocolate Crackle 5 pack,$4.80,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/22576/kez-s-kitchen-chocolate-crackle,https://cdn1.woolworths.media/content/wowproductimages/large/022576.jpg,5,Kez's Kitchen
Band-Aid Advanced Healing Hydro Seal Blister Block 4 pack,$9.35,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/237747/band-aid-advanced-healing-hydro-seal-blister-block,https://cdn1.woolworths.media/content/wowproductimages/large/237747.jpg,4,Band-aid
Macro Organic Cacao Powder 250g,$10.00,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/671971/macro-organic-cacao-powder,https://cdn1.woolworths.media/content/wowproductimages/large/671971.jpg,250g,Macro
Panadol Tablet With Paracetamol For Fast Pain Relief 500mg 16 pack,$4.00,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/916787/panadol-tablet-with-paracetamol-for-fast-pain-relief-500mg,https://cdn1.woolworths.media/content/wowproductimages/large/916787.jpg,16,Panadol
Woolworths Pecans 150g,$4.30,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/815872/woolworths-pecans,https://cdn1.woolworths.media/content/wowproductimages/large/815872.jpg,150g,Woolworths
Vege Chips Deli Crisps Original 100g,$6.50,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/641523/vege-chips-deli-crisps-original,https://cdn1.woolworths.media/content/wowproductimages/large/641523.jpg,100g,Vege Chips
Woolworths Walnuts Kernel 500g,$12.50,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/749540/woolworths-walnuts-kernel,https://cdn1.woolworths.media/content/wowproductimages/large/749540.jpg,500g,Woolworths
Swisspers Cotton Tips 240 pack,$5.00,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/136913/swisspers-cotton-tips,https://cdn1.woolworths.media/content/wowproductimages/large/136913.jpg,240,Swisspers
Swisspers Paper Cotton Stems 400 pack,$5.20,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/136745/swisspers-paper-cotton-stems,https://cdn1.woolworths.media/content/wowproductimages/large/136745.jpg,400,Swisspers
Band-Aid Advanced Healing Regular Plasters 10 pack,$9.35,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/147299/band-aid-advanced-healing-regular-plasters,https://cdn1.woolworths.media/content/wowproductimages/large/147299.jpg,10,Band-aid
Gaviscon Heartburn & Indigestion Chewing Gum Cool Mint 10 pack,$5.50,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/6009502/gaviscon-heartburn-indigestion-chewing-gum-cool-mint,https://cdn1.woolworths.media/content/wowproductimages/large/6009502.jpg,10,Gaviscon
Natpat Bedtime Vapour Stickers 16 pack,$14.50,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/6010989/natpat-bedtime-vapour-stickers,https://cdn1.woolworths.media/content/wowproductimages/large/6010989.jpg,16,Natpat
Table Of Plenty Mini Rice Cakes Milk Chocolate Snack Packs 6 pack,$4.90,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/913540/table-of-plenty-mini-rice-cakes-milk-chocolate-snack-packs,https://cdn1.woolworths.media/content/wowproductimages/large/913540.jpg,6,Table Of Plenty
Woolworths Free From Gluten Breadcrumbs 350g,$4.25,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/769892/woolworths-free-from-gluten-breadcrumbs,https://cdn1.woolworths.media/content/wowproductimages/large/769892.jpg,350g,Woolworths
Funday Fruity Flavoured Gummy Snakes 50g,$4.50,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/236145/funday-fruity-flavoured-gummy-snakes,https://cdn1.woolworths.media/content/wowproductimages/large/236145.jpg,50g,Funday
Healtheries Potato Stix Chicken Multipack Chips Kids Lunchbox Snacks 20g x 6 pack,$5.00,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/117189/healtheries-potato-stix-chicken-multipack-chips-kids-lunchbox-snacks,https://cdn1.woolworths.media/content/wowproductimages/large/117189.jpg,6x20g,Healtheries
Ceres Organics Organics Brown Rice Crackers Chia 115g,$3.80,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/446583/ceres-organics-organics-brown-rice-crackers-chia,https://cdn1.woolworths.media/content/wowproductimages/large/446583.jpg,115g,Ceres Organics
Macro Chia Seed Black & White 150g,$6.00,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/965281/macro-chia-seed-black-white,https://cdn1.woolworths.media/content/wowproductimages/large/965281.jpg,150g,Macro
Golden Days Snacks Sesame Snaps 40g x 3 pack,$3.00,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/8519/golden-days-snacks-sesame-snaps,https://cdn1.woolworths.media/content/wowproductimages/large/008519.jpg,3x40g,Golden Days
Pureharvest Organic Tamari Gluten Free Soy Sauce 250mL,$4.30,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/81785/pureharvest-organic-tamari-gluten-free-soy-sauce,https://cdn1.woolworths.media/content/wowproductimages/large/081785.jpg,250ml,Pure Harvest
Band-Aid Tough Strips Brand 40 pack,$5.50,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/283197/band-aid-tough-strips-brand,https://cdn1.woolworths.media/content/wowproductimages/large/283197.jpg,40,Band-aid
Funday No Sugar Added Party Mix Natural Sweets 50g,$4.50,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/893874/funday-no-sugar-added-party-mix-natural-sweets,https://cdn1.woolworths.media/content/wowproductimages/large/893874.jpg,50g,Funday
Nurofen Zavance Fast Pain Relief Tablets 256Mg Ibuprofen 24 pack,$9.00,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/320786/nurofen-zavance-fast-pain-relief-tablets-256mg-ibuprofen,https://cdn1.woolworths.media/content/wowproductimages/large/320786.jpg,24,Nurofen
Woolworths Almonds Kernels 750g,$16.00,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/176411/woolworths-almonds-kernels,https://cdn1.woolworths.media/content/wowproductimages/large/176411.jpg,750g,Woolworths
Macro Organic Psyllium Husk 250g,$7.50,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/479953/macro-organic-psyllium-husk,https://cdn1.woolworths.media/content/wowproductimages/large/479953.jpg,250g,Macro
Macro Natural Pumpkin Kernels 250g,$4.50,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/231811/macro-natural-pumpkin-kernels,https://cdn1.woolworths.media/content/wowproductimages/large/231811.jpg,250g,Macro
Help@Hand For Pain Relief Paracetamol 500mg Rapid Release Tablets 16 pack,$2.15,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/433235/help-hand-for-pain-relief-paracetamol-500mg-rapid-release-tablets,https://cdn1.woolworths.media/content/wowproductimages/large/433235.jpg,16,Help@Hand
Woolworths Free From Gluten Chocolate Chip Biscuit 160g,$2.90,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/779237/woolworths-free-from-gluten-chocolate-chip-biscuit,https://cdn1.woolworths.media/content/wowproductimages/large/779237.jpg,160g,Woolworths
Help@Hand Cotton Tips 400 pack,$4.00,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/220852/help-hand-cotton-tips,https://cdn1.woolworths.media/content/wowproductimages/large/220852.jpg,400,Help@Hand
"Musashi Shred & Burn Protein Shake Chocolate Milkshake, Low Carb, 375mL",$5.50,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/821066/musashi-shred-burn-protein-shake-chocolate-milkshake-low-carb-,https://cdn1.woolworths.media/content/wowproductimages/large/821066.jpg,375ml,Musashi
Panadol Rapid For Fast Pain Relief With Paracetamol 500mg 16 pack,$5.70,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/916772/panadol-rapid-for-fast-pain-relief-with-paracetamol-500mg,https://cdn1.woolworths.media/content/wowproductimages/large/916772.jpg,16,Panadol
Nicaway Nicaway Stop Smoking Mint Gum 4Mg 96 pack,$27.00,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/764209/nicaway-stop-smoking-mint-gum-4mg,https://cdn1.woolworths.media/content/wowproductimages/large/764209.jpg,96,Nicaway
Panadol With Optizorb Paracetamol For Fast Pain Relief 500mg 16 pack,$3.75,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/916718/panadol-with-optizorb-paracetamol-for-fast-pain-relief-500mg,https://cdn1.woolworths.media/content/wowproductimages/large/916718.jpg,16,Panadol
Band-Aid Tough Strips Brand 40 pack,$5.50,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/283197/band-aid-tough-strips-brand,https://cdn1.woolworths.media/content/wowproductimages/large/283197.jpg,40,Band-aid
Help@Hand Ibuprofen Mini Caps 24 pack,$2.40,Health & Wellness,https://www.woolworths.com.au/shop/productdetails/638026/help-hand-ibuprofen-mini-caps,https://cdn1.woolworths.media/content/wowproductimages/large/638026.jpg,24,Help@Hand
