title,price,category,producturl,imageurl,size,brand
Old El Paso Hard 'N Soft Taco Kit Mexican Style 350g,$9.50,International Foods,https://www.woolworths.com.au/shop/productdetails/251433/old-el-paso-hard-n-soft-taco-kit-mexican-style,https://cdn1.woolworths.media/content/wowproductimages/large/251433.jpg,350g,Old El Paso
Old El Paso Bulk Enchilada Kit Mexican Style 1.04kg,$10.80,International Foods,https://www.woolworths.com.au/shop/productdetails/87865/old-el-paso-bulk-enchilada-kit-mexican-style,https://cdn1.woolworths.media/content/wowproductimages/large/087865.jpg,1.04kg,Old El Paso
Cholula Original Taco Spice Seasoning Mix 28g,$3.00,International Foods,https://www.woolworths.com.au/shop/productdetails/6005486/cholula-original-taco-spice-seasoning-mix,https://cdn1.woolworths.media/content/wowproductimages/large/6005486.jpg,28g,Cholula
Mr Chen's Hokkien Noodles 400g,$1.85,International Foods,https://www.woolworths.com.au/shop/productdetails/123586/mr-chen-s-hokkien-noodles,https://cdn1.woolworths.media/content/wowproductimages/large/123586.jpg,400g,Mr Chen's
Essentials Coconut Milk 400mL,$1.10,International Foods,https://www.woolworths.com.au/shop/productdetails/694751/essentials-coconut-milk,https://cdn1.woolworths.media/content/wowproductimages/large/694751.jpg,400ml,Essentials
Essentials Coconut Cream 400mL,$1.10,International Foods,https://www.woolworths.com.au/shop/productdetails/31370/essentials-coconut-cream,https://cdn1.woolworths.media/content/wowproductimages/large/031370.jpg,400ml,Essentials
Old El Paso Taco Spice Mix Taco Spice Mix 30g,$2.70,International Foods,https://www.woolworths.com.au/shop/productdetails/93444/old-el-paso-taco-spice-mix-taco-spice-mix,https://cdn1.woolworths.media/content/wowproductimages/large/093444.jpg,30g,Old El Paso
Woolworths Taco Seasoning Mix 35g,$1.45,International Foods,https://www.woolworths.com.au/shop/productdetails/29767/woolworths-taco-seasoning-mix,https://cdn1.woolworths.media/content/wowproductimages/large/029767.jpg,35g,Woolworths
Mission Street Mini Tacos 10 pack,$4.40,International Foods,https://www.woolworths.com.au/shop/productdetails/610345/mission-street-mini-tacos,https://cdn1.woolworths.media/content/wowproductimages/large/610345.jpg,10,Mission
Macro Organic Coconut Milk 400mL,$2.35,International Foods,https://www.woolworths.com.au/shop/productdetails/684034/macro-organic-coconut-milk,https://cdn1.woolworths.media/content/wowproductimages/large/684034.jpg,400ml,Macro
Old El Paso Burrito Dinner Kit Mexican Style 485g,$8.50,International Foods,https://www.woolworths.com.au/shop/productdetails/68619/old-el-paso-burrito-dinner-kit-mexican-style,https://cdn1.woolworths.media/content/wowproductimages/large/068619.jpg,485g,Old El Paso
Mr Chen's Japanese Ramen Meal Kit 254g,$8.00,International Foods,https://www.woolworths.com.au/shop/productdetails/6004951/mr-chen-s-japanese-ramen-meal-kit,https://cdn1.woolworths.media/content/wowproductimages/large/6004951.jpg,254g,Mr Chen's
Old El Paso Bulk Hard & Soft Taco Kit Mexican Style 560g,$10.80,International Foods,https://www.woolworths.com.au/shop/productdetails/8317/old-el-paso-bulk-hard-soft-taco-kit-mexican-style,https://cdn1.woolworths.media/content/wowproductimages/large/008317.jpg,560g,Old El Paso
Macro Organic Coconut Cream 400mL,$2.35,International Foods,https://www.woolworths.com.au/shop/productdetails/297000/macro-organic-coconut-cream,https://cdn1.woolworths.media/content/wowproductimages/large/297000.jpg,400ml,Macro
Ayam 100% Natural Coconut Milk 400mL,$5.00,International Foods,https://www.woolworths.com.au/shop/productdetails/489128/ayam-100-natural-coconut-milk,https://cdn1.woolworths.media/content/wowproductimages/large/489128.jpg,400ml,Ayam
Pandaroo Coconut Milk 400mL,$2.25,International Foods,https://www.woolworths.com.au/shop/productdetails/189725/pandaroo-coconut-milk,https://cdn1.woolworths.media/content/wowproductimages/large/189725.jpg,400ml,Pandaroo
Erawan Rice Noodles Stick Pad Thai 200g,$2.20,International Foods,https://www.woolworths.com.au/shop/productdetails/313632/erawan-rice-noodles-stick-pad-thai,https://cdn1.woolworths.media/content/wowproductimages/large/313632.jpg,200g,Erawan
Obento Japanese Yaki Nori For Sushi each,$4.00,International Foods,https://www.woolworths.com.au/shop/productdetails/185395/obento-japanese-yaki-nori-for-sushi,https://cdn1.woolworths.media/content/wowproductimages/large/185395.jpg,1,Obento
Old El Paso Stand 'N Stuff Taco Shells Taco Shells 10 pack,$5.50,International Foods,https://www.woolworths.com.au/shop/productdetails/514871/old-el-paso-stand-n-stuff-taco-shells-taco-shells,https://cdn1.woolworths.media/content/wowproductimages/large/514871.jpg,10,Old El Paso
Old El Paso Reduced Salt Taco Spice Mix Taco Spice Mix 30g,$2.70,International Foods,https://www.woolworths.com.au/shop/productdetails/65083/old-el-paso-reduced-salt-taco-spice-mix-taco-spice-mix,https://cdn1.woolworths.media/content/wowproductimages/large/065083.jpg,30g,Old El Paso
Kewpie Japanese Mayonnaise 300g,$4.00,International Foods,https://www.woolworths.com.au/shop/productdetails/250311/kewpie-japanese-mayonnaise,https://cdn1.woolworths.media/content/wowproductimages/large/250311.jpg,300g,Kewpie
Old El Paso Fajita Tortilla Wraps 10 pack,$5.50,International Foods,https://www.woolworths.com.au/shop/productdetails/67866/old-el-paso-fajita-tortilla-wraps,https://cdn1.woolworths.media/content/wowproductimages/large/067866.jpg,10,Old El Paso
Mr Chen's Vermicelli Rice Noodles 300g,$2.15,International Foods,https://www.woolworths.com.au/shop/productdetails/123892/mr-chen-s-vermicelli-rice-noodles,https://cdn1.woolworths.media/content/wowproductimages/large/123892.jpg,300g,Mr Chen's
Mission Corn Chips Cheesy Nachos 230g,$4.00,International Foods,https://www.woolworths.com.au/shop/productdetails/728159/mission-corn-chips-cheesy-nachos,https://cdn1.woolworths.media/content/wowproductimages/large/728159.jpg,230g,Mission
Sea Friend Roasted Seaweed 8 pack,$3.80,International Foods,https://www.woolworths.com.au/shop/productdetails/813764/sea-friend-roasted-seaweed,https://cdn1.woolworths.media/content/wowproductimages/large/813764.jpg,8,Sea Friend
