title,price,category,producturl,imageurl,size,brand
Woolworths Spring Water Bottles 600mL x 24 pack,$8.00,Lunch Box,https://www.woolworths.com.au/shop/productdetails/116784/woolworths-spring-water-bottles,https://cdn1.woolworths.media/content/wowproductimages/large/116784.jpg,24x600ml,Woolworths
Woolworths Spring Water Bottles 1.5L x 6 pack,$4.90,Lunch Box,https://www.woolworths.com.au/shop/productdetails/749792/woolworths-spring-water-bottles,https://cdn1.woolworths.media/content/wowproductimages/large/749792.jpg,6x1.5l,Woolworths
Sirena Tuna In Oil Italian Style 95g,$2.95,Lunch Box,https://www.woolworths.com.au/shop/productdetails/38609/sirena-tuna-in-oil-italian-style,https://cdn1.woolworths.media/content/wowproductimages/large/038609.jpg,95g,Sirena
Primo Champagne Ham Sliced 100g,$3.95,Lunch Box,https://www.woolworths.com.au/shop/productdetails/544761/primo-champagne-ham-sliced-thinly-sliced,https://cdn1.woolworths.media/content/wowproductimages/large/544761.jpg,100g,Primo
KRC Hungarian Salami Mild Shaved From The Deli,$36.00,Lunch Box,https://www.woolworths.com.au/shop/productdetails/777945/krc-hungarian-salami-mild-shaved-from-the-deli,https://cdn1.woolworths.media/content/wowproductimages/large/777945.jpg,,KRC
Nu Pure Still Spring Water 600mL x 20 pack,$9.85,Lunch Box,https://www.woolworths.com.au/shop/productdetails/81274/nu-pure-still-spring-water,https://cdn1.woolworths.media/content/wowproductimages/large/081274.jpg,20x600ml,Nu Pure
John West Tuna Chunks In Springwater 95g,$2.00,Lunch Box,https://www.woolworths.com.au/shop/productdetails/340411/john-west-tuna-chunks-in-springwater-tempter-in-springwater,https://cdn1.woolworths.media/content/wowproductimages/large/340411.jpg,95g,John West
D'Orsogna Champagne Leg Ham Sliced From The Deli,$23.50,Lunch Box,https://www.woolworths.com.au/shop/productdetails/127959/d-orsogna-champagne-leg-ham-sliced-from-the-deli,https://cdn1.woolworths.media/content/wowproductimages/large/127959.jpg,,D'Orsogna
Woolworths Spring Water Minis 250mL x 20 pack,$8.00,Lunch Box,https://www.woolworths.com.au/shop/productdetails/633876/woolworths-spring-water-minis,https://cdn1.woolworths.media/content/wowproductimages/large/633876.jpg,20x250ml,Woolworths
Greenseas Tuna Chunks In Springwater 95g,$1.70,Lunch Box,https://www.woolworths.com.au/shop/productdetails/37250/greenseas-tuna-chunks-in-springwater-chunk-in-spring-water,https://cdn1.woolworths.media/content/wowproductimages/large/037250.jpg,95g,Greenseas
Capilano 100% Pure Australian Honey Squeeze 500g,$8.60,Lunch Box,https://www.woolworths.com.au/shop/productdetails/262206/capilano-100-pure-australian-honey-squeeze,https://cdn1.woolworths.media/content/wowproductimages/large/262206.jpg,500g,Capilano
Armada Baking Paper 15m,$2.70,Lunch Box,https://www.woolworths.com.au/shop/productdetails/252787/armada-baking-paper,https://cdn1.woolworths.media/content/wowproductimages/large/252787.jpg,15m,Armada
Infuzions Veggie Straws Sour Cream & Herb 90g,$4.50,Lunch Box,https://www.woolworths.com.au/shop/productdetails/203073/infuzions-veggie-straws-sour-cream-herb,https://cdn1.woolworths.media/content/wowproductimages/large/203073.jpg,90g,Infuzions
D'Orsogna Leg Ham Shaved 4 pack,$7.00,Lunch Box,https://www.woolworths.com.au/shop/productdetails/390450/d-orsogna-leg-ham-shaved,https://cdn1.woolworths.media/content/wowproductimages/large/390450.jpg,4,D'Orsogna
John West Chunky Tuna In Olive Oil Blend 95g,$2.00,Lunch Box,https://www.woolworths.com.au/shop/productdetails/257360/john-west-chunky-tuna-in-olive-oil-blend,https://cdn1.woolworths.media/content/wowproductimages/large/257360.jpg,95g,John West
Primo Mild Hungarian Sliced Salami 80g,$3.95,Lunch Box,https://www.woolworths.com.au/shop/productdetails/544764/primo-mild-hungarian-sliced-salami-mild,https://cdn1.woolworths.media/content/wowproductimages/large/544764.jpg,80g,Primo
