title,price,category,producturl,imageurl,size,brand
Dari's Chicken Noodle Soup 550g,$6.80,Meal Occasions,https://www.woolworths.com.au/shop/productdetails/181143/dari-s-chicken-noodle-soup,https://cdn1.woolworths.media/content/wowproductimages/large/181143.jpg,550g,Dari's
Dari's Hearty Chicken Soup 550g,$6.80,Meal Occasions,https://www.woolworths.com.au/shop/productdetails/180787/dari-s-hearty-chicken-soup,https://cdn1.woolworths.media/content/wowproductimages/large/180787.jpg,550g,Dari's
Global Bakehouse Value Garlic Bread 225g x 2 pack,$2.10,Meal Occasions,https://www.woolworths.com.au/shop/productdetails/364853/global-bakehouse-value-garlic-bread,https://cdn1.woolworths.media/content/wowproductimages/large/364853.jpg,2x225g,Global
Dari's Chicken & Corn Soup 550g,$6.80,Meal Occasions,https://www.woolworths.com.au/shop/productdetails/181922/dari-s-chicken-corn-soup,https://cdn1.woolworths.media/content/wowproductimages/large/181922.jpg,550g,Dari's
Dari's Classic Pumpkin Soup 550g,$6.80,Meal Occasions,https://www.woolworths.com.au/shop/productdetails/210591/dari-s-classic-pumpkin-soup,https://cdn1.woolworths.media/content/wowproductimages/large/210591.jpg,550g,Dari's
Dari's Classic Vegetable Soup 550g,$6.80,Meal Occasions,https://www.woolworths.com.au/shop/productdetails/180711/dari-s-classic-vegetable-soup,https://cdn1.woolworths.media/content/wowproductimages/large/180711.jpg,550g,Dari's
Dari's Lentil Soup 550g,$6.80,Meal Occasions,https://www.woolworths.com.au/shop/productdetails/180479/dari-s-lentil-soup,https://cdn1.woolworths.media/content/wowproductimages/large/180479.jpg,550g,Dari's
Good Bones Organic Bone Broth Chicken 500mL,$13.00,Meal Occasions,https://www.woolworths.com.au/shop/productdetails/870931/good-bones-organic-bone-broth-chicken,https://cdn1.woolworths.media/content/wowproductimages/large/870931.jpg,500ml,Good Bones
La Famiglia Garlic Bread Slices 270g,$6.50,Meal Occasions,https://www.woolworths.com.au/shop/productdetails/184335/la-famiglia-garlic-bread-slices,https://cdn1.woolworths.media/content/wowproductimages/large/184335.jpg,270g,La Famiglia
Dari's Chicken Noodle Soup 550g,$6.80,Meal Occasions,https://www.woolworths.com.au/shop/productdetails/181143/dari-s-chicken-noodle-soup,https://cdn1.woolworths.media/content/wowproductimages/large/181143.jpg,550g,Dari's
Dari's Hearty Chicken Soup 550g,$6.80,Meal Occasions,https://www.woolworths.com.au/shop/productdetails/180787/dari-s-hearty-chicken-soup,https://cdn1.woolworths.media/content/wowproductimages/large/180787.jpg,550g,Dari's
Dari's Chicken & Corn Soup 550g,$6.80,Meal Occasions,https://www.woolworths.com.au/shop/productdetails/181922/dari-s-chicken-corn-soup,https://cdn1.woolworths.media/content/wowproductimages/large/181922.jpg,550g,Dari's
Dari's Classic Pumpkin Soup 550g,$6.80,Meal Occasions,https://www.woolworths.com.au/shop/productdetails/210591/dari-s-classic-pumpkin-soup,https://cdn1.woolworths.media/content/wowproductimages/large/210591.jpg,550g,Dari's
Dari's Classic Vegetable Soup 550g,$6.80,Meal Occasions,https://www.woolworths.com.au/shop/productdetails/180711/dari-s-classic-vegetable-soup,https://cdn1.woolworths.media/content/wowproductimages/large/180711.jpg,550g,Dari's
