title,price,category,producturl,imageurl,size,brand
Dilmah Extra Strength Tea Bags 50 pack,$4.80,Pantry,https://www.woolworths.com.au/shop/productdetails/199689/dilmah-extra-strength-tea-bags,https://cdn1.woolworths.media/content/wowproductimages/large/199689.jpg,50,Dilmah
Dilmah Premium Quality Tea Bags 100 pack,$7.20,Pantry,https://www.woolworths.com.au/shop/productdetails/38288/dilmah-premium-quality-tea-bags,https://cdn1.woolworths.media/content/wowproductimages/large/038288.jpg,100,Dilmah
Cadbury Baking Milk Chocolate Chips Value Pack 410g,$8.40,Pantry,https://www.woolworths.com.au/shop/productdetails/208101/cadbury-baking-milk-chocolate-chips-value-pack,https://cdn1.woolworths.media/content/wowproductimages/large/208101.jpg,410g,Cadbury
Woolworths Diced Italian Tomatoes 400g,$1.10,Pantry,https://www.woolworths.com.au/shop/productdetails/770320/woolworths-diced-italian-tomatoes,https://cdn1.woolworths.media/content/wowproductimages/large/770320.jpg,400g,Woolworths
Dilmah Extra Strength Tea Bags 100 pack,$8.80,Pantry,https://www.woolworths.com.au/shop/productdetails/196566/dilmah-extra-strength-tea-bags,https://cdn1.woolworths.media/content/wowproductimages/large/196566.jpg,100,Dilmah
Cadbury Baking Milk Chocolate Chips 200g,$6.00,Pantry,https://www.woolworths.com.au/shop/productdetails/829004/cadbury-baking-milk-chocolate-chips,https://cdn1.woolworths.media/content/wowproductimages/large/829004.jpg,200g,Cadbury
Raguletto Red Wine Bolognese Pasta Sauce With Tomato & Garlic 500g,$2.70,Pantry,https://www.woolworths.com.au/shop/productdetails/15479/raguletto-red-wine-bolognese-pasta-sauce-with-tomato-garlic,https://cdn1.woolworths.media/content/wowproductimages/large/015479.jpg,500g,Raguletto
Woolworths Corn Sweet Kernels 420g,$1.20,Pantry,https://www.woolworths.com.au/shop/productdetails/218926/woolworths-corn-sweet-kernels,https://cdn1.woolworths.media/content/wowproductimages/large/218926.jpg,420g,Woolworths
La Gina Italian Tomato Paste Passata 680g,$1.95,Pantry,https://www.woolworths.com.au/shop/productdetails/63005/la-gina-italian-tomato-paste-passata,https://cdn1.woolworths.media/content/wowproductimages/large/063005.jpg,680g,La Gina
Woolworths Tuna In Springwater 95g,$1.10,Pantry,https://www.woolworths.com.au/shop/productdetails/476700/woolworths-tuna-in-springwater,https://cdn1.woolworths.media/content/wowproductimages/large/476700.jpg,95g,Woolworths
