title,price,category,producturl,imageurl,size,brand
Schick Hydro Silk Touch Up Disposable Razors 3 pack,$13.00,Personal Care,https://www.woolworths.com.au/shop/productdetails/139037/schick-hydro-silk-touch-up-disposable-razors,https://cdn1.woolworths.media/content/wowproductimages/large/139037.jpg,3,Schmick
Schick Intuition Razor Pure Nourish Cartridges 3 pack,$16.50,Personal Care,https://www.woolworths.com.au/shop/productdetails/793575/schick-intuition-razor-pure-nourish-cartridges,https://cdn1.woolworths.media/content/wowproductimages/large/793575.jpg,3,Schmick
Essentials Facial Tissues 224 pack,$1.90,Personal Care,https://www.woolworths.com.au/shop/productdetails/759496/essentials-facial-tissues,https://cdn1.woolworths.media/content/wowproductimages/large/759496.jpg,224,Essentials
Kleenex Aloe Vera & Vitamin E 3 Ply Facial Tissues 95 pack,$2.60,Personal Care,https://www.woolworths.com.au/shop/productdetails/79502/kleenex-aloe-vera-vitamin-e-3-ply-facial-tissues,https://cdn1.woolworths.media/content/wowproductimages/large/079502.jpg,95,Kleenex
Symphony Facial Tissues White 228Ss 3 pack,$5.00,Personal Care,https://www.woolworths.com.au/shop/productdetails/183671/symphony-facial-tissues-white-228ss,https://cdn1.woolworths.media/content/wowproductimages/large/183671.jpg,3,Symphony
Kleenex Everyday 2 Ply Facial Tissues 200 pack,$3.00,Personal Care,https://www.woolworths.com.au/shop/productdetails/63899/kleenex-everyday-2-ply-facial-tissues,https://cdn1.woolworths.media/content/wowproductimages/large/063899.jpg,200,Kleenex
Quilton 2Ply Tissue Hypo-Allergenic 250 pack,$2.90,Personal Care,https://www.woolworths.com.au/shop/productdetails/644239/quilton-2ply-tissue-hypo-allergenic,https://cdn1.woolworths.media/content/wowproductimages/large/644239.jpg,250,Quilton
Kleenex Large & Thick 3 Ply Facial Tissues 95 pack,$3.50,Personal Care,https://www.woolworths.com.au/shop/productdetails/172610/kleenex-large-thick-3-ply-facial-tissues,https://cdn1.woolworths.media/content/wowproductimages/large/172610.jpg,95,Kleenex
LYNX Deodorant Body Spray Africa 48h 165mL,$5.00,Personal Care,https://www.woolworths.com.au/shop/productdetails/78757/lynx-deodorant-body-spray-africa-48h,https://cdn1.woolworths.media/content/wowproductimages/large/078757.jpg,165ml,Lynx
Rexona Men Advanced Sport Anti Perspirant 220mL x 2 pack,$13.50,Personal Care,https://www.woolworths.com.au/shop/productdetails/904797/rexona-men-advanced-sport-anti-perspirant,https://cdn1.woolworths.media/content/wowproductimages/large/904797.jpg,2x220ml,Rexona
Colgate Cavity Protection Toothpaste Great Regular Flavour 180g,$3.45,Personal Care,https://www.woolworths.com.au/shop/productdetails/178201/colgate-cavity-protection-toothpaste-great-regular-flavour,https://cdn1.woolworths.media/content/wowproductimages/large/178201.jpg,180g,Colgate
Colgate Toothpaste Triple Action Micro Cleaning 165g,$3.45,Personal Care,https://www.woolworths.com.au/shop/productdetails/179253/colgate-toothpaste-triple-action-micro-cleaning,https://cdn1.woolworths.media/content/wowproductimages/large/179253.jpg,165g,Colgate
Colgate Whitening Toothpaste Advanced Whiten Tartar Control 200g,$10.00,Personal Care,https://www.woolworths.com.au/shop/productdetails/197044/colgate-whitening-toothpaste-advanced-whiten-tartar-control,https://cdn1.woolworths.media/content/wowproductimages/large/197044.jpg,200g,Colgate
Kleenex Eucalyptus 3 Ply Facial Tissues 95 pack,$2.60,Personal Care,https://www.woolworths.com.au/shop/productdetails/79492/kleenex-eucalyptus-3-ply-facial-tissues,https://cdn1.woolworths.media/content/wowproductimages/large/079492.jpg,95,Kleenex
Quilton Gold 4 Ply Tissues Aloe Vera 100 pack,$2.00,Personal Care,https://www.woolworths.com.au/shop/productdetails/644240/quilton-gold-4-ply-tissues-aloe-vera,https://cdn1.woolworths.media/content/wowproductimages/large/644240.jpg,100,Quilton
Palmolive Liquid Hand Wash Soap Odour Neutralising 250mL,$3.50,Personal Care,https://www.woolworths.com.au/shop/productdetails/325881/palmolive-liquid-hand-wash-soap-odour-neutralising,https://cdn1.woolworths.media/content/wowproductimages/large/325881.jpg,250ml,Palmolive
Dettol Antibacterial Liquid Hand Wash Hand Soap Pump Refresh 250mL,$2.80,Personal Care,https://www.woolworths.com.au/shop/productdetails/97088/dettol-antibacterial-liquid-hand-wash-hand-soap-pump-refresh,https://cdn1.woolworths.media/content/wowproductimages/large/097088.jpg,250ml,Dettol
Kleenex Aloe Vera & Vitamin E 3 Ply Facial Tissues 140 pack,$4.50,Personal Care,https://www.woolworths.com.au/shop/productdetails/32969/kleenex-aloe-vera-vitamin-e-3-ply-facial-tissues,https://cdn1.woolworths.media/content/wowproductimages/large/032969.jpg,140,Kleenex
