title,price,category,producturl,imageurl,size,brand
Felix Adult SensationsÂ Jellies Favourites Menu Wet Cat Food 85g x 12 pack,$10.00,Pet,https://www.woolworths.com.au/shop/productdetails/477601/felix-adult-sensations-jellies-favourites-menu-wet-cat-food,https://cdn1.woolworths.media/content/wowproductimages/large/477601.jpg,12x85g,Felix
Felix Adult SensationsÂ Jellies Fish Selection Wet Cat Food 85g x 12 pack,$10.00,Pet,https://www.woolworths.com.au/shop/productdetails/477589/felix-adult-sensations-jellies-fish-selection-wet-cat-food,https://cdn1.woolworths.media/content/wowproductimages/large/477589.jpg,12x85g,Felix
Purina One Indoor Advantage With Chicken 1+ Years Dry Cat Food 1.4kg,$20.00,Pet,https://www.woolworths.com.au/shop/productdetails/203801/purina-one-indoor-advantage-with-chicken-1-years-dry-cat-food,https://cdn1.woolworths.media/content/wowproductimages/large/203801.jpg,1.4kg,Purina One
Friskies Adult Indoor Delights Dry Cat Food 2.5kg,$13.90,Pet,https://www.woolworths.com.au/shop/productdetails/118647/friskies-adult-indoor-delights-dry-cat-food,https://cdn1.woolworths.media/content/wowproductimages/large/118647.jpg,2.5kg,Friskies
Whiskas Adult 1+ Years Wet Cat Food with Chicken Mince Can 400g,$2.70,Pet,https://www.woolworths.com.au/shop/productdetails/78599/whiskas-adult-1-years-wet-cat-food-with-chicken-mince-can,https://cdn1.woolworths.media/content/wowproductimages/large/078599.jpg,400g,Whiskas
Whiskas Adult 1+ Years Wet Cat Food with Beef Mince Can 400g,$2.70,Pet,https://www.woolworths.com.au/shop/productdetails/53224/whiskas-adult-1-years-wet-cat-food-with-beef-mince-can,https://cdn1.woolworths.media/content/wowproductimages/large/053224.jpg,400g,Whiskas
Fancy Feast Adult Classic Savory Salmon Feast Patè Wet Cat Food 85g,$1.60,Pet,https://www.woolworths.com.au/shop/productdetails/268308/fancy-feast-adult-classic-savory-salmon-feast-pat-wet-cat-food,https://cdn1.woolworths.media/content/wowproductimages/large/268308.jpg,85g,Fancy Feast
Whiskas 1+ Years Wet Cat Food Lamb Mince 400g,$2.70,Pet,https://www.woolworths.com.au/shop/productdetails/78609/whiskas-1-years-wet-cat-food-lamb-mince,https://cdn1.woolworths.media/content/wowproductimages/large/078609.jpg,400g,Whiskas
Smitten Cat Litter Clay Clumping 4.5kg,$4.15,Pet,https://www.woolworths.com.au/shop/productdetails/201220/smitten-cat-litter-clay-clumping,https://cdn1.woolworths.media/content/wowproductimages/large/201220.jpg,4.5kg,Smitten
Fancy Feast Chicken Feast Classic Pate Wet Cat Food 85g,$1.60,Pet,https://www.woolworths.com.au/shop/productdetails/268524/fancy-feast-chicken-feast-classic-pate-wet-cat-food,https://cdn1.woolworths.media/content/wowproductimages/large/268524.jpg,85g,Fancy Feast
Fancy Feast Adult Inspirations Chicken Collection Wet Cat Food 70g x12 pack,$19.00,Pet,https://www.woolworths.com.au/shop/productdetails/726535/fancy-feast-adult-inspirations-chicken-collection-wet-cat-food,https://cdn1.woolworths.media/content/wowproductimages/large/726535.jpg,12x70g,Fancy Feast
Friskies Adult Meaty Grills Dry Cat Food 2.5kg,$13.90,Pet,https://www.woolworths.com.au/shop/productdetails/867016/friskies-adult-meaty-grills-dry-cat-food,https://cdn1.woolworths.media/content/wowproductimages/large/867016.jpg,2.5kg,Friskies
Supercoat Adult Beef Dry Dog Food 7kg,$36.00,Pet,https://www.woolworths.com.au/shop/productdetails/241373/supercoat-adult-beef-dry-dog-food,https://cdn1.woolworths.media/content/wowproductimages/large/241373.jpg,7kg,Supercoat
Purina One Healthy Adult With Salmon & Tuna 1+ Years Dry Cat Food 1.5kg,$20.00,Pet,https://www.woolworths.com.au/shop/productdetails/198811/purina-one-healthy-adult-with-salmon-tuna-1-years-dry-cat-food,https://cdn1.woolworths.media/content/wowproductimages/large/198811.jpg,1.5kg,Purina One
Whiskas 1+ Years Wet Cat Food Ocean Fish Loaf 400g,$2.70,Pet,https://www.woolworths.com.au/shop/productdetails/38833/whiskas-1-years-wet-cat-food-ocean-fish-loaf,https://cdn1.woolworths.media/content/wowproductimages/large/038833.jpg,400g,Whiskas
Dine Melting Soup Adult Wet Cat Food Tuna & Chicken Pouch 40g,$1.70,Pet,https://www.woolworths.com.au/shop/productdetails/772717/dine-melting-soup-adult-wet-cat-food-tuna-chicken-pouch,https://cdn1.woolworths.media/content/wowproductimages/large/772717.jpg,40g,Dine
My Dog Adult Wet Dog Food Classic Loaf with Gourmet Beef Can 400g,$2.40,Pet,https://www.woolworths.com.au/shop/productdetails/169449/my-dog-adult-wet-dog-food-classic-loaf-with-gourmet-beef-can,https://cdn1.woolworths.media/content/wowproductimages/large/169449.jpg,400g,My Dog
Breeders Choice Paper Cat Litter 24l,$30.00,Pet,https://www.woolworths.com.au/shop/productdetails/183885/breeders-choice-paper-cat-litter,https://cdn1.woolworths.media/content/wowproductimages/large/183885.jpg,24l,Breeder's Choice
My Dog Adult Wet Dog Food Classic Loaf with Chicken & Turkey Can 400g,$2.40,Pet,https://www.woolworths.com.au/shop/productdetails/13825/my-dog-adult-wet-dog-food-classic-loaf-with-chicken-turkey-can,https://cdn1.woolworths.media/content/wowproductimages/large/013825.jpg,400g,My Dog
V.I.P. Chunkers Adult Chilled Fresh Dog Food Lamb & Veges Meatball 1kg,$6.50,Pet,https://www.woolworths.com.au/shop/productdetails/217233/v-i-p-chunkers-adult-chilled-fresh-dog-food-lamb-veges-meatball,https://cdn1.woolworths.media/content/wowproductimages/large/217233.jpg,1kg,V.I.P. Petfoods
Dine Melting Soup Adult Wet Cat Food Tuna & Salmon Pouch 40g,$1.70,Pet,https://www.woolworths.com.au/shop/productdetails/772780/dine-melting-soup-adult-wet-cat-food-tuna-salmon-pouch,https://cdn1.woolworths.media/content/wowproductimages/large/772780.jpg,40g,Dine
Fancy Feast Adult Delights Chicken & Cheddar Cheese Wet Cat Food 85g,$1.60,Pet,https://www.woolworths.com.au/shop/productdetails/382716/fancy-feast-adult-delights-chicken-cheddar-cheese-wet-cat-food,https://cdn1.woolworths.media/content/wowproductimages/large/382716.jpg,85g,Fancy Feast
Dine Adult Wet Cat Food Slices with Succulent Chicken Trays 85g x 7 pack,$10.00,Pet,https://www.woolworths.com.au/shop/productdetails/477608/dine-adult-wet-cat-food-slices-with-succulent-chicken-trays,https://cdn1.woolworths.media/content/wowproductimages/large/477608.jpg,7x85g,Dine
