title,price,category,producturl,imageurl,size,brand
Cooke Seafood Spanish Sea Bass 220g,$16.00,"Poultry, Meat & Seafood",https://www.woolworths.com.au/shop/productdetails/119310/cooke-seafood-spanish-sea-bass,https://cdn1.woolworths.media/content/wowproductimages/large/119310.jpg,220g,Cooke Seafood
Cooke Seafood Smoked Salmon 100g,$8.00,"Poultry, Meat & Seafood",https://www.woolworths.com.au/shop/productdetails/804567/cooke-seafood-smoked-salmon,https://cdn1.woolworths.media/content/wowproductimages/large/804567.jpg,100g,Cooke Seafood
Woolworths Heart Smart Extra Lean Beef Mince 500g,$10.00,"Poultry, Meat & Seafood",https://www.woolworths.com.au/shop/productdetails/577860/woolworths-heart-smart-extra-lean-beef-mince,https://cdn1.woolworths.media/content/wowproductimages/large/577860.jpg,500g,Woolworths
Woolworths RSPCA Approved Chicken Breast Fillet Min. 300g,$12.00,"Poultry, Meat & Seafood",https://www.woolworths.com.au/shop/productdetails/25734/woolworths-rspca-approved-chicken-breast-fillet-min-300g,https://cdn1.woolworths.media/content/wowproductimages/large/025734.jpg,300g,Woolworths
D'Orsogna Champagne Leg Ham Shaved From The Deli,$23.50,"Poultry, Meat & Seafood",https://www.woolworths.com.au/shop/productdetails/129693/d-orsogna-champagne-leg-ham-shaved-from-the-deli,https://cdn1.woolworths.media/content/wowproductimages/large/129693.jpg,,D'Orsogna
Woolworths RSPCA Approved Chicken Thigh Fillet,$15.00,"Poultry, Meat & Seafood",https://www.woolworths.com.au/shop/productdetails/77038/woolworths-rspca-approved-chicken-thigh-fillet,https://cdn1.woolworths.media/content/wowproductimages/large/077038.jpg,,Woolworths
Woolworths Beef Mince 1kg,$12.00,"Poultry, Meat & Seafood",https://www.woolworths.com.au/shop/productdetails/577864/woolworths-beef-mince,https://cdn1.woolworths.media/content/wowproductimages/large/577864.jpg,1kg,Woolworths
Woolworths Lean Beef Mince 1kg,$17.00,"Poultry, Meat & Seafood",https://www.woolworths.com.au/shop/productdetails/577862/woolworths-lean-beef-mince,https://cdn1.woolworths.media/content/wowproductimages/large/577862.jpg,1kg,Woolworths
D'Orsogna Plain Streaky Bacon From The Deli,$23.00,"Poultry, Meat & Seafood",https://www.woolworths.com.au/shop/productdetails/746376/d-orsogna-plain-streaky-bacon-from-the-deli,https://cdn1.woolworths.media/content/wowproductimages/large/746376.jpg,,D'Orsogna
Woolworths Lean Beef Mince 500g,$9.50,"Poultry, Meat & Seafood",https://www.woolworths.com.au/shop/productdetails/577861/woolworths-lean-beef-mince,https://cdn1.woolworths.media/content/wowproductimages/large/577861.jpg,500g,Woolworths
Woolworths Salmon Tasmanian Atlantic Fillets Skin On,$44.00,"Poultry, Meat & Seafood",https://www.woolworths.com.au/shop/productdetails/95171/woolworths-salmon-tasmanian-atlantic-fillets-skin-on,https://cdn1.woolworths.media/content/wowproductimages/large/095171.jpg,,Woolworths
D'Orsogna Ham Leg Triple Smoked 97% Fat Free Shaved,$23.00,"Poultry, Meat & Seafood",https://www.woolworths.com.au/shop/productdetails/175734/d-orsogna-ham-leg-triple-smoked-97-fat-free-shaved,https://cdn1.woolworths.media/content/wowproductimages/large/175734.jpg,,D'Orsogna
D'Orsogna Honey Ham Shaved From The Deli,$26.00,"Poultry, Meat & Seafood",https://www.woolworths.com.au/shop/productdetails/103449/d-orsogna-honey-ham-shaved-from-the-deli,https://cdn1.woolworths.media/content/wowproductimages/large/103449.jpg,,D'Orsogna
Market Value 26 Thin BBQ Sausages 1.8kg,$11.00,"Poultry, Meat & Seafood",https://www.woolworths.com.au/shop/productdetails/901719/market-value-26-thin-bbq-sausages,https://cdn1.woolworths.media/content/wowproductimages/large/901719.jpg,1.8kg,Market Value
Woolworths RSPCA Approved Chicken Breast Fillet 1.5kg - 1.7kg,$14.45,"Poultry, Meat & Seafood",https://www.woolworths.com.au/shop/productdetails/969723/woolworths-rspca-approved-chicken-breast-fillet,https://cdn1.woolworths.media/content/wowproductimages/large/969723.jpg,1.7kg,Woolworths
Woolworths Beef Mince 500g,$7.00,"Poultry, Meat & Seafood",https://www.woolworths.com.au/shop/productdetails/577863/woolworths-beef-mince,https://cdn1.woolworths.media/content/wowproductimages/large/577863.jpg,500g,Woolworths
Woolworths 10 Beef Sausages 550g,$6.50,"Poultry, Meat & Seafood",https://www.woolworths.com.au/shop/productdetails/901649/woolworths-10-beef-sausages,https://cdn1.woolworths.media/content/wowproductimages/large/901649.jpg,550g,Woolworths
D'Orsogna Shortcut Bacon,$21.00,"Poultry, Meat & Seafood",https://www.woolworths.com.au/shop/productdetails/71841/d-orsogna-shortcut-bacon,https://cdn1.woolworths.media/content/wowproductimages/large/071841.jpg,,D'Orsogna
Hans Middle Bacon Rashers From the Deli,$16.00,"Poultry, Meat & Seafood",https://www.woolworths.com.au/shop/productdetails/714680/hans-middle-bacon-rashers-from-the-deli,https://cdn1.woolworths.media/content/wowproductimages/large/714680.jpg,,Hans
Woolworths Pork & Beef Mince 500g,$6.50,"Poultry, Meat & Seafood",https://www.woolworths.com.au/shop/productdetails/239598/woolworths-pork-beef-mince,https://cdn1.woolworths.media/content/wowproductimages/large/239598.jpg,500g,Woolworths
Moira Mac's Oven Roasted Chicken Breast Shredded From The Deli,$29.50,"Poultry, Meat & Seafood",https://www.woolworths.com.au/shop/productdetails/785788/moira-mac-s-oven-roasted-chicken-breast-shredded-from-the-deli,https://cdn1.woolworths.media/content/wowproductimages/large/785788.jpg,,Moira Mac's
Woolworths Beef Porterhouse Steak & Butter 400g,$14.00,"Poultry, Meat & Seafood",https://www.woolworths.com.au/shop/productdetails/243050/woolworths-beef-porterhouse-steak-butter,https://cdn1.woolworths.media/content/wowproductimages/large/243050.jpg,400g,Woolworths
Woolworths Shortcut Bacon 1kg,$11.50,"Poultry, Meat & Seafood",https://www.woolworths.com.au/shop/productdetails/55375/woolworths-shortcut-bacon,https://cdn1.woolworths.media/content/wowproductimages/large/055375.jpg,1kg,Woolworths
D'Orsogna Premium Ham Off The Bone Shaved From The Deli,$35.00,"Poultry, Meat & Seafood",https://www.woolworths.com.au/shop/productdetails/937258/d-orsogna-premium-ham-off-the-bone-shaved-from-the-deli,https://cdn1.woolworths.media/content/wowproductimages/large/937258.jpg,,D'Orsogna
Woolworths Beef Stir Fry 500g,$12.00,"Poultry, Meat & Seafood",https://www.woolworths.com.au/shop/productdetails/531015/woolworths-beef-stir-fry,https://cdn1.woolworths.media/content/wowproductimages/large/531015.jpg,500g,Woolworths
Cooke Seafood Spanish Sea Bass 220g,$16.00,"Poultry, Meat & Seafood",https://www.woolworths.com.au/shop/productdetails/119310/cooke-seafood-spanish-sea-bass,https://cdn1.woolworths.media/content/wowproductimages/large/119310.jpg,220g,Cooke Seafood
Cooke Seafood Smoked Salmon 100g,$8.00,"Poultry, Meat & Seafood",https://www.woolworths.com.au/shop/productdetails/804567/cooke-seafood-smoked-salmon,https://cdn1.woolworths.media/content/wowproductimages/large/804567.jpg,100g,Cooke Seafood
Woolworths RSPCA Approved Chicken Breast Fillet Skinless Small 500g - 650g,$9.43,"Poultry, Meat & Seafood",https://www.woolworths.com.au/shop/productdetails/119259/woolworths-rspca-approved-chicken-breast-fillet-skinless-small,https://cdn1.woolworths.media/content/wowproductimages/large/119259.jpg,650g,Woolworths
Macro Chicken Breast Fillets Free Range 700g - 1.4kg,$18.90,"Poultry, Meat & Seafood",https://www.woolworths.com.au/shop/productdetails/700228/macro-chicken-breast-fillets-free-range,https://cdn1.woolworths.media/content/wowproductimages/large/700228.jpg,1.4kg,Macro
Woolworths Lean Pork Mince 500g,$6.00,"Poultry, Meat & Seafood",https://www.woolworths.com.au/shop/productdetails/582608/woolworths-lean-pork-mince,https://cdn1.woolworths.media/content/wowproductimages/large/582608.jpg,500g,Woolworths
