title,price,category,producturl,imageurl,size,brand
Parker's Pretzel Minis Snacktime Multipack 8 pack,$3.50,Snacks & Confectionery,https://www.woolworths.com.au/shop/productdetails/6019911/parker-s-pretzel-minis-snacktime-multipack,https://cdn1.woolworths.media/content/wowproductimages/large/6019911.jpg,8,Parker's
Sunbites Grainwaves Sour Cream & Chives Snacktime Multipack 8 pack,$3.50,Snacks & Confectionery,https://www.woolworths.com.au/shop/productdetails/6030588/sunbites-grainwaves-sour-cream-chives-snacktime-multipack,https://cdn1.woolworths.media/content/wowproductimages/large/6030588.jpg,8,Sunbites
Arnotts Tim Tam Original Chocolate Biscuits 200g,$6.00,Snacks & Confectionery,https://www.woolworths.com.au/shop/productdetails/36066/arnotts-tim-tam-original-chocolate-biscuits,https://cdn1.woolworths.media/content/wowproductimages/large/036066.jpg,200g,Arnott's
KitKat Chocolate Bar 42g,$3.00,Snacks & Confectionery,https://www.woolworths.com.au/shop/productdetails/6115/kitkat-chocolate-bar,https://cdn1.woolworths.media/content/wowproductimages/large/006115.jpg,42g,Kit Kat
Real Foods Corn Thins Original 150g,$1.90,Snacks & Confectionery,https://www.woolworths.com.au/shop/productdetails/71422/real-foods-corn-thins-original,https://cdn1.woolworths.media/content/wowproductimages/large/071422.jpg,150g,Real Foods 
Mars Chocolate Bar with Nougat & Caramel 47g,$2.50,Snacks & Confectionery,https://www.woolworths.com.au/shop/productdetails/160905/mars-chocolate-bar-with-nougat-caramel,https://cdn1.woolworths.media/content/wowproductimages/large/160905.jpg,47g,Mars Australia
Doritos Corn Chips Cheese Supreme Share Pack 170g,$5.00,Snacks & Confectionery,https://www.woolworths.com.au/shop/productdetails/826731/doritos-corn-chips-cheese-supreme-share-pack,https://cdn1.woolworths.media/content/wowproductimages/large/826731.jpg,170g,Doritos
Arnotts Salada Original Crispbreads 250g,$4.00,Snacks & Confectionery,https://www.woolworths.com.au/shop/productdetails/36019/arnotts-salada-original-crispbreads,https://cdn1.woolworths.media/content/wowproductimages/large/036019.jpg,250g,Arnott's
Doritos Corn Chips Cheese Supreme Snacktime Multipack 8 pack,$3.50,Snacks & Confectionery,https://www.woolworths.com.au/shop/productdetails/6031431/doritos-corn-chips-cheese-supreme-snacktime-multipack,https://cdn1.woolworths.media/content/wowproductimages/large/6031431.jpg,8,Doritos
Cheetos Cheese & Bacon Balls Snacktime Multipack 8 pack,$3.50,Snacks & Confectionery,https://www.woolworths.com.au/shop/productdetails/6031334/cheetos-cheese-bacon-balls-snacktime-multipack,https://cdn1.woolworths.media/content/wowproductimages/large/6031334.jpg,8,Cheetos
Sakata Stars Snack Mix 12 pack,$5.50,Snacks & Confectionery,https://www.woolworths.com.au/shop/productdetails/6034159/sakata-stars-snack-mix,https://cdn1.woolworths.media/content/wowproductimages/large/6034159.jpg,12,Sakata
Oreo Mini Original Cookies 10 pack,$2.50,Snacks & Confectionery,https://www.woolworths.com.au/shop/productdetails/317455/oreo-mini-original-cookies-multipack,https://cdn1.woolworths.media/content/wowproductimages/large/317455.jpg,10,Oreo
Cobs Natural Popcorn Sea Salt Multipack 5 pack,$4.00,Snacks & Confectionery,https://www.woolworths.com.au/shop/productdetails/820459/cobs-natural-popcorn-sea-salt-multipack,https://cdn1.woolworths.media/content/wowproductimages/large/820459.jpg,5,Cobs
Fantastic Rice Crackers Original 100g,$2.50,Snacks & Confectionery,https://www.woolworths.com.au/shop/productdetails/35231/fantastic-rice-crackers-original,https://cdn1.woolworths.media/content/wowproductimages/large/035231.jpg,100g,Fantastic
Woolworths Mild Salsa 300g,$1.90,Snacks & Confectionery,https://www.woolworths.com.au/shop/productdetails/311121/woolworths-mild-salsa,https://cdn1.woolworths.media/content/wowproductimages/large/311121.jpg,300g,Woolworths
Woolworths Original Rice Crackers 100g,$1.00,Snacks & Confectionery,https://www.woolworths.com.au/shop/productdetails/331286/woolworths-original-rice-crackers,https://cdn1.woolworths.media/content/wowproductimages/large/331286.jpg,100g,Woolworths
Woolworths Original Salted Corn Chips 175g,$2.20,Snacks & Confectionery,https://www.woolworths.com.au/shop/productdetails/340997/woolworths-original-salted-corn-chips,https://cdn1.woolworths.media/content/wowproductimages/large/340997.jpg,175g,Woolworths
Snickers Chocolate Bar Peanuts Caramel Nougat 44g,$2.50,Snacks & Confectionery,https://www.woolworths.com.au/shop/productdetails/206890/snickers-chocolate-bar-peanuts-caramel-nougat,https://cdn1.woolworths.media/content/wowproductimages/large/206890.jpg,44g,Snickers
Arnotts Scotch Finger Plain Biscuits 250g,$3.30,Snacks & Confectionery,https://www.woolworths.com.au/shop/productdetails/36013/arnotts-scotch-finger-plain-biscuits,https://cdn1.woolworths.media/content/wowproductimages/large/036013.jpg,250g,Arnott's
Arnotts Tim Tam Double Chocolate Biscuits 200g,$6.00,Snacks & Confectionery,https://www.woolworths.com.au/shop/productdetails/32257/arnotts-tim-tam-double-chocolate-biscuits,https://cdn1.woolworths.media/content/wowproductimages/large/032257.jpg,200g,Arnott's
Arnotts Shapes Gluten Free Crackers Chicken Crimpy 110g,$5.50,Snacks & Confectionery,https://www.woolworths.com.au/shop/productdetails/6035081/arnotts-shapes-gluten-free-crackers-chicken-crimpy,https://cdn1.woolworths.media/content/wowproductimages/large/6035081.jpg,110g,Arnott's
Arnotts Arnott's Cream Favourites Assorted Biscuits 500g,$6.50,Snacks & Confectionery,https://www.woolworths.com.au/shop/productdetails/36022/arnotts-arnott-s-cream-favourites-assorted-biscuits,https://cdn1.woolworths.media/content/wowproductimages/large/036022.jpg,500g,Arnott's
Arnotts Shapes Chicken Crimpy Cracker Biscuits 175g,$4.00,Snacks & Confectionery,https://www.woolworths.com.au/shop/productdetails/384245/arnotts-shapes-chicken-crimpy-cracker-biscuits,https://cdn1.woolworths.media/content/wowproductimages/large/384245.jpg,175g,Arnott's
Woolworths Original Gluten Free Popcorn 10 pack,$2.60,Snacks & Confectionery,https://www.woolworths.com.au/shop/productdetails/510726/woolworths-original-gluten-free-popcorn,https://cdn1.woolworths.media/content/wowproductimages/large/510726.jpg,10,Woolworths
